time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
2118,8,860,-14.290998339999998,18290,23.59,0.00073,2.0330982208251953,0.053739070892333984,15289,22.798538208007812,-56.51674270629883
2142,8,870,-13.8357982,18464,22.95,0.00073,7.338830947875977,0.05306171625852585,15463,20.9344482421875,-53.94651794433594
2171,8,880,-13.491593130000002,18679,22.88,0.00073,-1.6615036725997925,0.05245174467563629,15678,24.753135681152344,-56.46443176269531
2210,8,890,-13.70652849,18967,23.31,0.00073,9.550530433654785,0.051425181329250336,15966,17.806594848632812,-55.62007522583008
2241,8,900,-13.801229759999998,19197,22.7,0.00073,6.906896591186523,0.0512627512216568,16196,16.219070434570312,-59.68584060668945
2269,8,910,-13.717904440000002,19405,22.43,0.00073,-0.8580529689788818,0.049720365554094315,16404,23.655113220214844,-54.97488784790039
2308,8,920,-13.73027128,19693,23.32,0.00073,3.4016547203063965,0.049981262534856796,16692,18.521066665649414,-54.16246032714844
2348,8,930,-14.04722733,19989,24.3,0.00073,7.460064888000488,0.047361016273498535,16988,20.08411407470703,-54.340538024902344
2382,8,940,-13.97005808,20238,24.02,0.00073,-14.165356636047363,0.046894192695617676,17237,14.800342559814453,-40.16984558105469
2409,8,950,-13.720959769999997,20442,23.57,0.00073,-8.26694107055664,0.04606582596898079,17441,17.57540512084961,-50.150970458984375
2437,8,960,-13.805395169999999,20644,23.54,0.00073,-3.083132266998291,0.04384376108646393,17643,21.106746673583984,-47.960777282714844
2470,8,970,-14.043180900000003,20888,24.24,0.00073,0.6914974451065063,0.04857436195015907,17887,20.052431106567383,-47.18865966796875
2507,8,980,-14.193269159999998,21168,24.89,0.00073,-9.716560363769531,0.04617986083030701,18167,25.644248962402344,-52.8892822265625
2533,8,990,-13.80794058,21362,23.95,0.00073,1.708909511566162,0.04521293193101883,18361,19.111125946044922,-49.039283752441406
2565,8,1000,-13.49192679,21597,24.0,0.00073,4.270885467529297,0.04533679783344269,18596,19.036113739013672,-50.531883239746094
2602,8,1010,-13.575112940000002,21873,24.68,0.00073,-0.7647812366485596,0.045728787779808044,18872,21.676361083984375,-44.70173645019531
2644,8,1020,-13.509489280000002,22185,24.92,0.00073,-0.6372987031936646,0.04394040256738663,19184,20.277578353881836,-50.623111724853516
2673,8,1030,-13.198821090000001,22404,24.15,0.00073,-7.921629428863525,0.04406984522938728,19403,17.044071197509766,-41.64630126953125
2707,8,1040,-13.645840940000001,22653,24.15,0.00073,-12.22102165222168,0.04303515702486038,19652,15.779993057250977,-42.16423416137695
2736,8,1050,-14.07335972,22872,24.3,0.00073,-5.48151159286499,0.042989932000637054,19871,24.966625213623047,-46.71418380737305
2766,8,1060,-14.085675210000002,23097,24.53,0.00073,-0.9356056451797485,0.04122031107544899,20096,13.79336166381836,-47.639163970947266
2804,8,1070,-14.223137519999998,23377,24.89,0.00073,-0.5965917110443115,0.04272391274571419,20376,14.8461332321167,-40.42951583862305
2841,8,1080,-14.40502023,23649,24.81,0.00073,1.1292648315429688,0.04314170032739639,20648,14.47564697265625,-42.43266296386719
2888,8,1090,-15.184054859999998,23997,26.35,0.00073,-11.008158683776855,0.042660802602767944,20996,17.238197326660156,-42.18490982055664
2923,8,1100,-15.3297768,24256,26.59,0.00073,-0.778641939163208,0.04195799306035042,21255,18.255521774291992,-40.64353942871094
2946,8,1110,-15.38728393,24425,25.52,0.00073,-5.751733303070068,0.03978327289223671,21424,13.191654205322266,-39.261104583740234
2982,8,1120,-15.26143842,24696,25.11,0.00073,-5.7198004722595215,0.04033796861767769,21695,15.390565872192383,-43.341121673583984
3020,8,1130,-15.214894899999999,24975,25.71,0.00073,-7.409399032592773,0.04155360162258148,21974,16.542598724365234,-38.35850524902344
3061,8,1140,-14.990786360000001,25287,26.34,0.00073,-2.83064341545105,0.04026399180293083,22286,13.296348571777344,-39.718177795410156
3083,8,1150,-14.4780189,25448,25.76,0.00073,-4.815310478210449,0.03816838189959526,22447,15.161310195922852,-38.00245666503906
3110,8,1160,-14.801636809999998,25647,25.5,0.00073,2.507025718688965,0.03900173306465149,22646,14.610808372497559,-38.582916259765625
3139,8,1170,-14.968187069999999,25856,24.79,0.00073,-9.678461074829102,0.03783511742949486,22855,12.719558715820312,-34.601192474365234
3168,8,1180,-14.665906559999998,26075,24.26,0.00073,-3.3163530826568604,0.037832774221897125,23074,13.740676879882812,-34.72844696044922
3202,8,1190,-14.049993699999998,26327,23.3,0.00073,-1.164000391960144,0.03707446902990341,23326,14.864824295043945,-38.037254333496094
3235,8,1200,-14.070319569999999,26574,23.18,0.00073,2.7735772132873535,0.037337951362133026,23573,12.142481803894043,-35.93053436279297
3274,8,1210,-13.997224530000004,26864,24.39,0.00073,0.1119765043258667,0.036632098257541656,23863,12.525785446166992,-32.05530548095703
3307,8,1220,-13.906618480000002,27110,24.14,0.00073,-2.6284122467041016,0.03531062975525856,24109,13.764888763427734,-33.051719665527344
3341,8,1230,-14.31297776,27370,23.95,0.00073,0.08554613590240479,0.03482064977288246,24369,12.658336639404297,-33.47862243652344
3376,8,1240,-14.29802639,27628,23.41,0.00073,12.9686279296875,0.03426145017147064,24627,13.664145469665527,-36.891571044921875
3413,8,1250,-14.778116359999999,27901,24.53,0.00073,8.529045104980469,0.03367225453257561,24900,12.6221923828125,-35.08135223388672
3448,8,1260,-14.653650289999998,28153,25.06,0.00073,17.30154800415039,0.03370440751314163,25152,15.070395469665527,-38.40668487548828
3475,8,1270,-14.370892329999995,28355,24.99,0.00073,6.503615379333496,0.03356507420539856,25354,13.742029190063477,-33.59785842895508
3504,8,1280,-14.5797437,28577,25.02,0.00073,2.1485962867736816,0.03401726856827736,25576,11.40499496459961,-32.22931671142578
3540,8,1290,-14.80011627,28840,25.13,0.00073,-6.075264930725098,0.03370856121182442,25839,10.911092758178711,-31.60228729248047
3580,8,1300,-14.997451919999998,29138,25.64,0.00073,-5.126484394073486,0.03291657939553261,26137,10.315677642822266,-28.770448684692383
3612,8,1310,-14.76023856,29371,25.07,0.00073,-3.3861641883850098,0.03141339123249054,26370,11.19941520690918,-29.17438316345215
3649,8,1320,-14.918517529999999,29650,25.4,0.00073,6.456605911254883,0.031215447932481766,26649,10.223150253295898,-30.398168563842773
3692,8,1330,-14.95275941,29972,26.02,0.00073,8.153162002563477,0.03122786432504654,26971,8.834223747253418,-28.334598541259766
3727,8,1340,-14.90404361,30236,26.08,0.00073,-3.737070083618164,0.030651189386844635,27235,10.477208137512207,-25.49928855895996
3754,8,1350,-14.820345260000002,30437,25.36,0.00073,13.009693145751953,0.030244527384638786,27436,9.551872253417969,-28.128368377685547
3786,8,1360,-14.957784329999999,30673,25.2,0.00073,-4.844019412994385,0.029969215393066406,27672,12.082345008850098,-25.110410690307617
3812,8,1370,-14.849996499999998,30868,25.13,0.00073,-4.647887706756592,0.03034137934446335,27867,12.011260986328125,-24.293182373046875
