rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/n_updates
-13.834416509999999,40.78,41993,5337,1110,7,0.00073,1180.386962890625,-0.471801221370697,0.5340775847434998,-1676.3751220703125,38992
-14.68258153,40.78,42493,5405,1120,7,0.00073,1541.0811767578125,0.7806861400604248,0.5031453967094421,-1785.1026611328125,39492
-15.77342925,42.05,42993,5473,1130,7,0.00073,1490.6923828125,-1.1210684776306152,0.4943583011627197,-1849.171142578125,39992
-15.795497959999999,45.2,43493,5541,1140,7,0.00073,4092.15966796875,-0.7506694793701172,0.5301189422607422,-1947.5543212890625,40492
-15.069663270000001,48.57,43978,5607,1150,7,0.00073,4872.81396484375,-0.30911609530448914,0.5626305937767029,-2040.784912109375,40977
-15.102959529999996,48.52,44373,5660,1160,7,0.00073,3415.98876953125,-1.0327714681625366,0.5662080645561218,-2155.300048828125,41372
-14.977687840000002,45.07,44528,5681,1170,7,0.00073,6792.861328125,0.40106967091560364,0.5654491782188416,-2209.49560546875,41527
-14.445085640000002,42.46,44767,5713,1180,7,0.00073,6945.859375,-0.6697308421134949,0.5674276351928711,-2233.175048828125,41766
-13.75082834,42.2,45213,5773,1190,7,0.00073,12164.158203125,-0.8835437297821045,0.6292523741722107,-2269.7509765625,42212
-12.766449640000001,42.2,45713,5842,1200,7,0.00073,2736.585693359375,-0.12172099947929382,0.6562868356704712,-2315.8935546875,42712
-13.179020979999997,42.2,46213,5910,1210,7,0.00073,3363.822265625,-0.7472662925720215,0.614612340927124,-2383.789306640625,43212
-12.664415649999999,40.27,46520,5951,1220,7,0.00073,2400.083984375,0.18495821952819824,0.6466874480247498,-2338.8505859375,43519
-11.16057012,39.99,46992,6015,1230,7,0.00073,2820.5986328125,-0.5658284425735474,0.6109045743942261,-2317.77880859375,43991
-9.6908045,39.57,47450,6077,1240,7,0.00073,3225.892578125,-0.43340760469436646,0.6279347538948059,-2299.7978515625,44449
-10.582397,39.72,47950,6146,1250,7,0.00073,2494.24267578125,0.03649688512086868,0.6208742260932922,-2385.14990234375,44949
-10.76279538,40.77,48450,6216,1260,7,0.00073,2454.58349609375,0.07640205323696136,0.6301727294921875,-2396.40380859375,45449
-9.72176146,44.17,48945,6283,1270,7,0.00073,3917.358642578125,0.11475332081317902,0.6354491710662842,-2461.9072265625,45944
-9.105561869999999,44.14,49181,6316,1280,7,0.00073,2632.423828125,-0.1374819129705429,0.6466944813728333,-2486.64794921875,46180
-8.69584327,40.92,49305,6333,1290,7,0.00073,7215.27099609375,-1.6617481708526611,0.6235390305519104,-2450.6064453125,46304
-9.293499120000002,37.31,49444,6352,1300,7,0.00073,5792.056640625,-0.34734123945236206,0.6305914521217346,-2522.38818359375,46443
-10.397046530000003,35.37,49750,6394,1310,7,0.00073,4986.90576171875,0.09859217703342438,0.720168948173523,-2475.89990234375,46749
-10.432414799999998,37.3,50250,6463,1320,7,0.00073,21185.126953125,-0.5863080024719238,0.692435622215271,-2542.84423828125,47249
-10.234693049999999,37.55,50747,6531,1330,7,0.00073,4089.28564453125,0.2885114550590515,0.6751627922058105,-2635.66650390625,47746
-11.713444390000005,37.66,51216,6595,1340,7,0.00073,2917.32373046875,0.36279845237731934,0.6934338212013245,-2713.462890625,48215
-12.621617119999998,37.66,51716,6663,1350,7,0.00073,9038.18359375,-0.20178447663784027,0.6947739124298096,-2736.099609375,48715
-12.892547460000001,37.0,52150,6722,1360,7,0.00073,13133.4638671875,0.2404557764530182,0.7463043928146362,-2754.35791015625,49149
-13.814256639999998,37.05,52650,6790,1370,7,0.00073,3635.88623046875,-0.003898029215633869,0.8191413283348083,-2906.370361328125,49649
-13.815828290000002,39.39,53120,6854,1380,7,0.00073,3943.1748046875,-0.026271268725395203,0.7992878556251526,-2992.415283203125,50119
-17.982784849999998,42.99,53604,6920,1390,7,0.00073,4343.39453125,-0.2057783454656601,0.73750901222229,-3045.14599609375,50603
-20.196592680000002,46.41,54085,6985,1400,7,0.00073,36910.2578125,0.1451984941959381,0.7906880378723145,-2899.633544921875,51084
-19.80623469,48.35,54585,7053,1410,7,0.00073,4730.98046875,-0.0937790721654892,0.7864354252815247,-2876.24951171875,51584
-19.42966318,48.35,55085,7119,1420,7,0.00073,3278.501953125,0.3147994875907898,0.7298446297645569,-2877.123046875,52084
-19.145292099999995,48.38,55585,7186,1430,7,0.00073,18925.65234375,-0.26840507984161377,0.7521096467971802,-2852.888427734375,52584
-17.95418145,48.43,56059,7250,1440,7,0.00073,5086.5341796875,-0.16401781141757965,0.750822901725769,-2710.33447265625,53058
-16.22606667,48.19,56535,7312,1450,7,0.00073,27594.2890625,0.5821282863616943,0.724320650100708,-2693.361083984375,53534
-15.694664539999998,48.85,57035,7379,1460,7,0.00073,7331.0322265625,0.0365113690495491,0.7019711136817932,-2665.051025390625,54034
-15.952149289999998,48.85,57535,7446,1470,7,0.00073,3185.28564453125,0.23312446475028992,0.7033660411834717,-2639.4375,54534
