time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
980,-12.170639229999999,22.64,20967,8,2568,0.00073,1.5731292963027954,0.004493492189794779,17966,-1.1041103601455688,0.17125537991523743
990,-11.961830870000002,21.9,21133,8,2591,0.00073,1.2246054410934448,0.0045362841337919235,18132,-2.5103962421417236,0.19356897473335266
1000,-12.071455130000002,22.0,21314,8,2616,0.00073,1.478758692741394,0.0045873322524130344,18313,-14.430179595947266,0.19282802939414978
1010,-11.894382359999998,21.88,21493,8,2640,0.00073,1.4822769165039062,0.0045247310772538185,18492,-0.19055843353271484,0.20104923844337463
1020,-12.013147420000003,22.0,21716,8,2672,0.00073,1.3874413967132568,0.0045326692052185535,18715,9.033614158630371,0.16833309829235077
1030,-11.89145328,21.71,21907,8,2699,0.00073,1.1178239583969116,0.004707978572696447,18906,-8.75317096710205,0.19293533265590668
1040,-11.869970600000002,21.85,22156,8,2735,0.00073,0.9682700037956238,0.004634791519492865,19155,19.491439819335938,0.17030100524425507
1050,-11.540819929999998,21.77,22436,8,2776,0.00073,1.1180787086486816,0.004540848545730114,19435,-0.5319147109985352,0.18473850190639496
1060,-11.21721268,20.67,22639,8,2805,0.00073,1.2175458669662476,0.004418693482875824,19638,-9.249282836914062,0.15883249044418335
1070,-11.562847730000003,21.18,22902,8,2842,0.00073,1.4971742630004883,0.004354699980467558,19901,7.258246421813965,0.16760540008544922
1080,-11.73572075,21.58,23125,8,2873,0.00073,1.7231824398040771,0.004065294750034809,20124,5.1733808517456055,0.16313543915748596
1090,-11.59939809,22.09,23342,8,2903,0.00073,1.6597280502319336,0.003906112164258957,20341,7.279578685760498,0.15328891575336456
1100,-11.788728070000001,22.36,23550,8,2932,0.00073,1.6715822219848633,0.0036776119377464056,20549,-11.950060844421387,0.16234956681728363
1110,-12.2627159,23.35,23828,8,2972,0.00073,1.525647521018982,0.003680627793073654,20827,15.489441871643066,0.15797731280326843
1120,-12.511381409999997,23.92,24108,8,3012,0.00073,1.9217875003814697,0.0038829806726425886,21107,7.37757682800293,0.14563384652137756
1130,-12.5224272,24.28,24335,7,3043,0.00073,1.9374873638153076,0.0037825810723006725,21334,-1.2681012153625488,0.1554032862186432
1140,-12.48305225,23.91,24547,7,3073,0.00073,1.8918043375015259,0.003936389461159706,21546,0.21615064144134521,0.14809668064117432
1150,-12.885563310000002,24.19,24855,7,3116,0.00073,1.995359182357788,0.0037254951894283295,21854,-11.046124458312988,0.12721888720989227
1160,-12.956640669999997,24.27,25066,7,3146,0.00073,1.74788236618042,0.003929044120013714,22065,10.4325590133667,0.14683492481708527
1170,-12.64964405,23.62,25264,7,3173,0.00073,1.918097972869873,0.003645168384537101,22263,-5.684737205505371,0.1277589499950409
1180,-12.603915010000001,23.73,25498,7,3206,0.00073,1.9465506076812744,0.003492585150524974,22497,3.2230920791625977,0.1388048529624939
1190,-12.741613600000003,23.59,25701,7,3234,0.00073,2.390341281890869,0.0033494029194116592,22700,-13.330716133117676,0.11716320365667343
1200,-12.895253890000003,24.38,25988,7,3275,0.00073,2.327591896057129,0.00309328967705369,22987,3.7025909423828125,0.12231291830539703
1210,-12.6697792,23.61,26189,7,3303,0.00073,2.9223337173461914,0.0029828741680830717,23188,6.319028854370117,0.10217991471290588
1220,-12.221021969999999,23.11,26419,7,3334,0.00073,3.128493309020996,0.002935021882876754,23418,-2.012824058532715,0.09079812467098236
1230,-12.19895135,23.03,26638,7,3365,0.00073,2.588992118835449,0.0028703424613922834,23637,-7.937892913818359,0.08953358232975006
1240,-12.023024259999994,23.17,26864,7,3397,0.00073,3.0452470779418945,0.0027150611858814955,23863,-9.206703186035156,0.09702537953853607
1250,-11.59149533,22.61,27116,7,3432,0.00073,3.2651407718658447,0.0028289833571761847,24115,1.4039734601974487,0.09668701887130737
1260,-11.625399720000003,22.77,27343,7,3464,0.00073,3.08105731010437,0.002876277780160308,24342,3.8047680854797363,0.08883947879076004
1270,-11.68469691,22.77,27541,7,3492,0.00073,3.202422857284546,0.0026524236891418695,24540,-16.402008056640625,0.09521724283695221
1280,-11.760974580000003,22.51,27749,7,3522,0.00073,3.212100028991699,0.002524228999391198,24748,-10.214261054992676,0.08729475736618042
1290,-11.60070125,22.63,27964,7,3552,0.00073,3.37375545501709,0.0025762522127479315,24963,4.10209321975708,0.11263391375541687
1300,-11.2572632,22.2,28208,7,3587,0.00073,3.6822683811187744,0.002418919000774622,25207,3.193594217300415,0.07913611829280853
1310,-11.263703519999996,22.96,28485,7,3627,0.00073,3.4421403408050537,0.002298186533153057,25484,-2.2944366931915283,0.08294575661420822
1320,-11.19209744,23.18,28737,7,3662,0.00073,3.537008762359619,0.002433223184198141,25736,-11.785595893859863,0.07706933468580246
1330,-11.229253289999999,23.47,28985,7,3697,0.00073,3.4537668228149414,0.002251011785119772,25984,-13.60413932800293,0.061731789261102676
1340,-11.257290489999997,23.24,29188,7,3726,0.00073,3.46425461769104,0.0021979950834065676,26187,-12.960241317749023,0.07202447950839996
1350,-11.171150110000003,22.61,29377,7,3753,0.00073,3.5297791957855225,0.0021676092874258757,26376,-16.93358612060547,0.07531237602233887
1360,-10.886756630000002,22.17,29560,7,3778,0.00073,3.5860698223114014,0.0021074980031698942,26559,-14.146711349487305,0.06610254943370819
1370,-10.92135781,22.49,29790,7,3810,0.00073,3.8158349990844727,0.002112339250743389,26789,-10.83708667755127,0.07394237071275711
1380,-10.79670633,22.89,30038,7,3845,0.00073,3.9414968490600586,0.0019282047869637609,27037,4.1029205322265625,0.07132147997617722
1390,-10.751338789999998,22.99,30263,7,3877,0.00073,3.7487435340881348,0.0019936813041567802,27262,2.771414041519165,0.06393949687480927
1400,-10.606784219999998,22.39,30447,7,3903,0.00073,3.6746511459350586,0.001998462015762925,27446,2.3439412117004395,0.05592597275972366
1410,-10.46363508,21.62,30647,7,3932,0.00073,3.84110689163208,0.001942911883816123,27646,1.3069268465042114,0.060022152960300446
1420,-10.342289289999998,21.04,30841,7,3959,0.00073,3.919593572616577,0.0020009279251098633,27840,10.48066520690918,0.06031714752316475
1430,-10.050384849999999,20.56,31041,7,3989,0.00073,3.849402904510498,0.001898757996968925,28040,4.263321876525879,0.0571143664419651
1440,-9.996935170000002,20.8,31268,7,4021,0.00073,4.099890232086182,0.0019131319131702185,28267,1.4619388580322266,0.0703851506114006
1450,-9.71212925,20.76,31453,7,4048,0.00073,3.8530750274658203,0.0018665521638467908,28452,4.845870494842529,0.06932976841926575
1460,-9.76721784,20.9,31650,7,4076,0.00073,3.879145622253418,0.0017495497595518827,28649,-5.847561836242676,0.06125842407345772
1470,-9.459973109999998,20.43,31833,7,4102,0.00073,3.9641106128692627,0.0017601399449631572,28832,14.171539306640625,0.06151483207941055
1480,-9.41927972,19.98,32036,7,4131,0.00073,3.9400322437286377,0.0017434395849704742,29035,3.3160972595214844,0.052030693739652634
1490,-9.303223039999999,19.62,32225,7,4157,0.00073,4.029239654541016,0.0017014197073876858,29224,-1.9499614238739014,0.057981982827186584
1500,-9.32943493,19.79,32426,7,4186,0.00073,3.9519646167755127,0.0017033192561939359,29425,-0.5211102962493896,0.04928445816040039
1510,-9.5440464,19.81,32628,7,4215,0.00073,3.953620672225952,0.0016965531976893544,29627,5.891874313354492,0.0681920200586319
1520,-10.066074429999999,20.74,32915,7,4256,0.00073,4.0341925621032715,0.0017200503498315811,29914,18.725862503051758,0.058346036821603775
1530,-10.190778989999998,20.8,33121,7,4285,0.00073,4.22898530960083,0.001671440084464848,30120,-3.55047869682312,0.05606625974178314
1540,-10.06809114,20.33,33301,7,4310,0.00073,4.202585220336914,0.001747281290590763,30300,2.6578798294067383,0.05314520746469498
1550,-10.285623600000001,20.88,33541,7,4344,0.00073,4.249271392822266,0.0016156613128259778,30540,8.570751190185547,0.05588003620505333
1560,-10.557875710000001,20.53,33703,7,4367,0.00073,4.040942192077637,0.0016286033205688,30702,8.722925186157227,0.059127077460289
1570,-10.89835989,20.73,33906,7,4396,0.00073,4.107761383056641,0.001675760722719133,30905,12.545454025268555,0.056826069951057434
1580,-10.83369373,20.6,34096,7,4422,0.00073,4.078661918640137,0.0016325204633176327,31095,1.678675651550293,0.06270994246006012
1590,-11.04783663,20.87,34312,7,4453,0.00073,4.058913707733154,0.0016112582525238395,31311,8.472545623779297,0.04777902364730835
1600,-11.072669399999997,21.12,34538,7,4485,0.00073,4.106823444366455,0.0016703956061974168,31537,4.478694438934326,0.059901148080825806
1610,-10.893536309999996,21.36,34764,7,4517,0.00073,4.076470375061035,0.0015655823517590761,31763,7.295037746429443,0.0586475245654583
1620,-10.382520089999998,20.52,34967,7,4546,0.00073,4.1455769538879395,0.0015972349792718887,31966,-4.530147552490234,0.04815297573804855
1630,-10.324304259999998,21.02,35223,7,4582,0.00073,4.220731258392334,0.001515499665401876,32222,-6.876758098602295,0.0462898313999176
1640,-10.23465288,21.24,35425,7,4610,0.00073,4.296038627624512,0.0015308251604437828,32424,1.398550033569336,0.041647106409072876
1650,-10.30413777,21.28,35669,7,4645,0.00073,3.9591355323791504,0.0015944954939186573,32668,-10.549169540405273,0.04736551642417908
1660,-10.03622019,21.55,35858,7,4671,0.00073,4.363237380981445,0.0015077388379722834,32857,13.921363830566406,0.052341021597385406
1670,-9.71900615,21.3,36036,7,4697,0.00073,4.246397018432617,0.001468952395953238,33035,6.2734246253967285,0.04494217783212662
1680,-9.78124859,21.26,36222,7,4723,0.00073,4.322780609130859,0.001455995487049222,33221,12.74706745147705,0.03729014843702316
1690,-9.59904806,21.18,36430,7,4752,0.00073,4.270991802215576,0.0014732847921550274,33429,-2.711672782897949,0.03945942223072052
1700,-9.573719169999999,21.03,36641,7,4781,0.00073,4.396947383880615,0.001459614373743534,33640,3.7409656047821045,0.05213547497987747
1710,-9.261272270000001,20.68,36832,7,4808,0.00073,4.229055404663086,0.0014952723868191242,33831,4.125764846801758,0.04682762548327446
1720,-9.14334092,20.68,37035,7,4837,0.00073,4.323472499847412,0.0014970273477956653,34034,-1.4128665924072266,0.04048194736242294
1730,-9.174843860000001,20.02,37225,7,4863,0.00073,4.271809101104736,0.0014475451316684484,34224,-3.784771680831909,0.046386923640966415
1740,-9.28541528,19.86,37411,7,4889,0.00073,4.374164581298828,0.001346684293821454,34410,-1.1624963283538818,0.03385785222053528
1750,-9.247820509999999,19.3,37599,7,4915,0.00073,4.167435169219971,0.0013447861419990659,34598,-10.734847068786621,0.04204382002353668
1760,-9.3059118,19.46,37804,7,4947,0.00073,4.373864650726318,0.0013474461156874895,34803,12.460442543029785,0.0387226864695549
1770,-9.606451510000001,20.03,38039,7,4983,0.00073,4.3458991050720215,0.0013398627052083611,35038,-1.797218680381775,0.042112067341804504
1780,-9.58805231,20.51,38273,7,5026,0.00073,4.27201509475708,0.0012999740429222584,35272,9.545126914978027,0.04415430128574371
1790,-9.58094859,20.8,38510,7,5063,0.00073,4.506368637084961,0.001313435030169785,35509,3.9104626178741455,0.03587306663393974
1800,-9.39639814,20.43,38684,7,5094,0.00073,4.446755409240723,0.0012799290707334876,35683,3.279686212539673,0.04661678522825241
1810,-9.501291239999999,20.43,38875,7,5124,0.00073,4.4519853591918945,0.0012903970200568438,35874,5.872047424316406,0.036731328815221786
1820,-9.7933851,20.15,39050,7,5154,0.00073,4.409668922424316,0.001355792977847159,36049,8.268815994262695,0.036302581429481506
1830,-9.84426345,19.99,39224,7,5179,0.00073,4.517903804779053,0.0013767766067758203,36223,-13.445279121398926,0.04078618809580803
1840,-9.79259982,20.13,39424,7,5208,0.00073,4.385363578796387,0.001287247403524816,36423,3.891145944595337,0.0398743636906147
1850,-9.53630602,20.5,39649,7,5240,0.00073,4.428776741027832,0.001290239510126412,36648,5.920343399047852,0.037749968469142914
1860,-9.450405819999999,20.57,39861,7,5271,0.00073,4.3207478523254395,0.0012469476787373424,36860,16.607791900634766,0.03981056809425354
1870,-9.223625559999999,20.33,40072,7,5300,0.00073,4.4168806076049805,0.0012716858182102442,37071,-8.153645515441895,0.03107437863945961
1880,-9.20636433,20.16,40289,7,5331,0.00073,4.4046502113342285,0.001247064908966422,37288,12.838245391845703,0.03204695135354996
1890,-9.17628198,20.08,40518,7,5364,0.00073,4.33656120300293,0.0012779360404238105,37517,5.1202569007873535,0.03518032282590866
1900,-9.3932583,20.86,40770,7,5399,0.00073,4.359611988067627,0.0012693576281890273,37769,4.9548258781433105,0.037055276334285736
1910,-9.30583891,20.97,40972,7,5428,0.00073,4.352596282958984,0.0012409437913447618,37971,-11.482955932617188,0.034516945481300354
1920,-8.99255291,21.31,41181,7,5458,0.00073,4.418807506561279,0.0012806677259504795,38180,12.407289505004883,0.038793954998254776
1930,-8.65678821,21.51,41375,7,5485,0.00073,4.547524452209473,0.0012847963953390718,38374,-5.052183151245117,0.034205496311187744
1940,-8.46050671,21.39,41563,7,5511,0.00073,4.368391513824463,0.0012610539561137557,38562,18.807781219482422,0.0442284420132637
1950,-8.473642090000002,21.05,41754,7,5538,0.00073,4.443302631378174,0.0012650993885472417,38753,9.605151176452637,0.035997532308101654
1960,-8.58328631,20.76,41937,7,5563,0.00073,4.207439422607422,0.00129492930136621,38936,-16.432371139526367,0.03574300557374954
1970,-8.435240089999999,20.78,42150,7,5593,0.00073,4.287022590637207,0.0013530520955100656,39149,-5.619035243988037,0.031942255795001984
1980,-8.30925835,20.4,42329,7,5618,0.00073,4.373529434204102,0.0013764641480520368,39328,-6.395412921905518,0.028455089777708054
1990,-8.17177977,19.96,42514,7,5644,0.00073,4.427674770355225,0.0012927348725497723,39513,-16.54262351989746,0.03512903302907944
2000,-8.04062386,19.65,42735,7,5675,0.00073,4.3895649909973145,0.0012651236029341817,39734,-1.1922640800476074,0.033749859780073166
2010,-8.186787760000001,19.72,42944,7,5704,0.00073,4.364786148071289,0.0012612270656973124,39943,6.035152435302734,0.034998875111341476
2020,-8.174137659999998,19.66,43147,7,5733,0.00073,4.572765827178955,0.0012267003767192364,40146,-14.360984802246094,0.03747882694005966
2030,-8.389232260000002,19.58,43333,7,5759,0.00073,4.5075201988220215,0.0011829592986032367,40332,0.8295812606811523,0.03380207344889641
2040,-8.55170797,19.48,43511,7,5785,0.00073,4.512109756469727,0.001203064457513392,40510,-4.534262180328369,0.03217460215091705
2050,-8.75695505,19.72,43726,7,5816,0.00073,4.39715576171875,0.0012164567597210407,40725,-7.751945972442627,0.03261524438858032
2060,-8.80797867,19.89,43926,7,5844,0.00073,4.4704508781433105,0.0011766001116484404,40925,-4.567271709442139,0.031851693987846375
2070,-9.00484221,20.06,44156,7,5876,0.00073,4.4810686111450195,0.001216406817547977,41155,-5.179434776306152,0.032859329134225845
2080,-9.10303783,20.57,44386,7,5908,0.00073,4.313536167144775,0.0011785042006522417,41385,-2.8671913146972656,0.036000415682792664
2090,-9.23707516,21.18,44632,7,5943,0.00073,4.372191429138184,0.0011896886862814426,41631,-1.184457778930664,0.03411008417606354
2100,-9.079708799999999,20.91,44826,7,5971,0.00073,4.522269248962402,0.0011493770871311426,41825,-6.120373725891113,0.029201727360486984
2110,-8.86150417,20.83,45027,7,5999,0.00073,4.363180160522461,0.001150383846834302,42026,2.1656408309936523,0.03648576885461807
2120,-8.9894699,20.69,45216,7,6026,0.00073,4.4370293617248535,0.001177496975287795,42215,-1.6214746236801147,0.03820508345961571
2130,-8.899122710000002,20.65,45398,7,6052,0.00073,4.374757766723633,0.0011715810978785157,42397,-17.308517456054688,0.03338044881820679
2140,-8.96815403,20.98,45609,7,6082,0.00073,4.317335605621338,0.0011955193476751447,42608,5.836239814758301,0.04819779843091965
2150,-8.69285786,20.9,45816,7,6111,0.00073,4.455921173095703,0.001268470659852028,42815,3.72147798538208,0.044600505381822586
2160,-8.409423519999999,21.02,46028,7,6141,0.00073,4.360751628875732,0.0012542521581053734,43027,4.563441753387451,0.03392130881547928
