time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss
61095,7863,7,372.9184582699999,100.0,840,3.5451889038085938,0.00073,0.025408735498785973,58094,-1.967748999595642,-189.29002380371094
62095,7998,7,374.36257687000005,100.0,850,5.870896816253662,0.00073,0.024755293503403664,59094,-2.3211121559143066,-190.18109130859375
63095,8133,7,375.64005731,100.0,860,5.318364143371582,0.00073,0.024192022159695625,60094,0.6552715301513672,-191.1767578125
64095,8270,7,379.15511721999997,100.0,870,4.256299018859863,0.00073,0.023955082520842552,61094,6.558338165283203,-191.29405212402344
65095,8406,7,379.37099200000006,100.0,880,11.74365234375,0.00073,0.023924803361296654,62094,5.675458908081055,-192.2776641845703
66095,8540,7,379.47323066999996,100.0,890,6.267822742462158,0.00073,0.023167748004198074,63094,-1.1321940422058105,-193.28994750976562
67095,8676,7,381.7081610800001,100.0,900,3.5029666423797607,0.00073,0.022968411445617676,64094,-4.761627197265625,-191.56529235839844
68095,8811,7,382.14523564,100.0,910,3.4093165397644043,0.00073,0.023309802636504173,65094,0.6229647397994995,-190.34634399414062
69095,8947,7,383.81654229,100.0,920,3.5588157176971436,0.00073,0.02292606048285961,66094,-5.547307014465332,-190.9072723388672
70095,9084,7,385.84727275000006,100.0,930,3.52604079246521,0.00073,0.022319409996271133,67094,-10.50078010559082,-191.47572326660156
71095,9220,7,385.9351075799999,100.0,940,5.9615678787231445,0.00073,0.022320298478007317,68094,-1.9865708351135254,-191.7320556640625
72095,9355,7,387.77269724000007,100.0,950,3.815643787384033,0.00073,0.022057194262742996,69094,-2.9332354068756104,-191.24746704101562
73095,9489,7,388.7242957700001,100.0,960,4.972220420837402,0.00073,0.02220502868294716,70094,-2.6969728469848633,-191.262939453125
74095,9626,7,391.0417385,100.0,970,4.062747001647949,0.00073,0.021450303494930267,71094,3.166719436645508,-191.32579040527344
75095,9763,7,391.68460567999995,100.0,980,3.558176040649414,0.00073,0.021577700972557068,72094,-5.617266654968262,-191.98568725585938
76095,9901,7,393.08232415000003,100.0,990,2.536328077316284,0.00073,0.021793536841869354,73094,-6.853602409362793,-194.57333374023438
