time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,train/critic_loss
1210,4328,36.29249829,35986,63.57,8,1.0583758354187012,0.00073,32985,-29701.72265625,11.27038288116455,568936.0625
1220,4404,38.910543800000006,36577,66.44,8,1.906623363494873,0.00073,33576,-28421.515625,10.478561401367188,724226.0
1230,4446,39.672638000000006,36894,68.82,8,-5.430279731750488,0.00073,33893,-28038.849609375,10.206870079040527,2265335.0
1240,4544,38.80050234,37645,71.43,8,-4.707038402557373,0.00073,34644,-27259.201171875,10.112977027893066,635659.375
1250,4658,37.25043747000001,38514,71.49,8,-5.700941562652588,0.00073,35513,-26827.03515625,9.289728164672852,659071.375
1260,4771,34.59546889,39384,72.51,8,5.909886360168457,0.00073,36383,-25982.646484375,9.20429801940918,823884.75
1270,4847,28.25796679,39970,71.07,8,0.5113625526428223,0.00073,36969,-24589.4453125,9.250411033630371,1150490.75
1280,4924,15.440737389999999,40558,67.93,8,0.9404975771903992,0.00073,37557,-24961.62109375,8.960147857666016,585749.6875
1290,4949,6.9922018900000005,40750,63.28,8,-2.861959457397461,0.00073,37749,-24786.623046875,8.942194938659668,566328.1875
1300,5023,4.772995739999999,41323,59.73,8,-2.234872341156006,0.00073,38322,-23480.88671875,8.460165977478027,510898.625
1310,5128,2.9624180600000005,42124,61.38,8,-4.364399433135986,0.00073,39123,-22908.318359375,7.550853252410889,769104.25
1320,5233,5.397704920000001,42911,63.34,8,0.789219319820404,0.00073,39910,-22314.087890625,7.379292011260986,1002063.625
1330,5357,16.990397709999996,43845,69.51,8,1.003116488456726,0.00073,40844,-20662.171875,6.738607883453369,393725.0625
1340,5424,17.649081439999996,44347,67.02,8,3.716745615005493,0.00073,41346,-19873.291015625,6.645345687866211,476127.21875
1350,5519,13.346741930000002,45077,65.63,8,-0.4257378578186035,0.00073,42076,-18664.36328125,5.910060405731201,247960.84375
1360,5615,11.073355750000001,45801,64.17,8,-4.52878999710083,0.00073,42800,-17439.03515625,5.480128288269043,212419.75
1370,5720,17.892546770000003,46605,66.35,8,0.44613832235336304,0.00073,43604,-16428.943359375,5.187586784362793,248028.6875
1380,5782,17.51323594,47078,65.2,8,-0.05130934715270996,0.00073,44077,-15371.8330078125,4.905900955200195,196652.8125
1390,5825,19.67652726,47413,66.63,8,-0.4714851379394531,0.00073,44412,-15193.5986328125,4.664924144744873,168069.9375
1400,5862,14.853964199999998,47686,63.63,8,-0.018827497959136963,0.00073,44685,-14746.8427734375,4.541747093200684,321976.65625
1410,5968,16.66497315,48486,63.62,8,6.492661952972412,0.00073,45485,-13818.6640625,4.237348556518555,880410.5625
1420,6075,18.487415990000002,49296,63.85,8,-0.5856685638427734,0.00073,46295,-12587.8876953125,3.7062742710113525,116738.9921875
1430,6189,17.757199540000002,50173,63.28,8,-0.0876741111278534,0.00073,47172,-11389.4140625,3.395541191101074,127756.5625
1440,6259,16.00279397,50707,63.6,8,-2.0339579582214355,0.00073,47706,-10998.8994140625,3.2380757331848145,91813.3046875
1450,6344,15.087653620000001,51358,62.81,8,-1.6006665229797363,0.00073,48357,-10338.3876953125,2.9914402961730957,129776.15625
1460,6395,11.223429579999998,51753,59.52,8,2.7824904918670654,0.00073,48752,-9981.3193359375,2.9222803115844727,95733.828125
1470,6480,7.848739040000001,52396,57.91,8,0.1319235861301422,0.00073,49395,-9499.8740234375,2.69986891746521,71430.6640625
1480,6577,9.57503513,53123,60.45,8,2.2719149589538574,0.00073,50122,-8594.2529296875,2.4667317867279053,100555.140625
