rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates
-10.9735073,1040,2526,21474,8,22.46,0.00073,6.127058982849121,0.001978337997570634,3.313865900039673,0.04719490557909012,18473
-11.223468729999997,1050,2557,21714,8,23.1,0.00073,3.714695453643799,0.0018916296539828181,3.3077638149261475,0.06315013021230698,18713
-11.51685387,1060,2586,21928,8,23.19,0.00073,-7.5414323806762695,0.0018040005816146731,3.452022075653076,0.04371607303619385,18927
-11.403178599999999,1070,2611,22122,8,23.04,0.00073,-7.622840881347656,0.0017871158197522163,3.5537033081054688,0.05481336638331413,19121
-11.344993200000001,1080,2640,22338,8,22.62,0.00073,-0.022937297821044922,0.0016674988437443972,3.5189311504364014,0.05105937272310257,19337
-11.122827399999998,1090,2663,22511,8,22.01,0.00073,-4.459147930145264,0.00175663351546973,3.7055768966674805,0.05294802039861679,19510
-11.07993518,1100,2685,22678,8,21.52,0.00073,7.583263874053955,0.0017835989128798246,3.648632287979126,0.059547021985054016,19677
-11.388253229999998,1110,2711,22876,8,21.67,0.00073,11.396695137023926,0.001699270331300795,3.4533495903015137,0.05247074365615845,19875
-11.389855340000002,1120,2739,23083,8,21.84,0.00073,-8.040960311889648,0.0017624672036617994,3.5824246406555176,0.052792519330978394,20082
-11.42620188,1130,2769,23313,8,21.57,0.00073,2.208308219909668,0.001672837883234024,3.826423406600952,0.0490475594997406,20312
-11.096799480000005,1140,2803,23566,8,20.92,0.00073,1.982522964477539,0.0017342385835945606,3.8328373432159424,0.04060564935207367,20565
-10.734829790000001,1150,2827,23752,8,20.38,0.00073,-16.36869239807129,0.0016997897764667869,3.8512372970581055,0.04252444952726364,20751
-10.503217959999999,1160,2852,23943,8,20.15,0.00073,-13.271355628967285,0.0016717629041522741,3.809695243835449,0.05315953493118286,20942
-10.560639389999999,1170,2880,24157,8,20.35,0.00073,-5.218183994293213,0.0016203552950173616,3.793574094772339,0.04097273200750351,21156
-10.406023799999998,1180,2905,24342,8,20.04,0.00073,-11.179404258728027,0.0016041089547798038,3.6854238510131836,0.0409940630197525,21341
-10.303316800000003,1190,2937,24584,8,20.73,0.00073,2.5461721420288086,0.001568355830386281,3.6887261867523193,0.04873301833868027,21583
-10.14867371,1200,2966,24788,8,21.1,0.00073,-7.197423934936523,0.0015882663428783417,3.823824405670166,0.04353942722082138,21787
-10.05402069,1210,2997,25013,8,21.37,0.00073,13.167919158935547,0.0015318554360419512,3.7279038429260254,0.04302976652979851,22012
-10.12081611,1220,3019,25185,8,21.02,0.00073,6.111329555511475,0.0016084593953564763,3.7784981727600098,0.044328488409519196,22184
-9.735385630000001,1230,3044,25374,8,20.61,0.00073,-5.390732765197754,0.0015984197380021214,3.7056448459625244,0.03837941586971283,22373
-9.53325623,1240,3072,25586,8,20.2,0.00073,-13.316347122192383,0.0015458979178220034,3.7524688243865967,0.04502669721841812,22585
-9.62143799,1250,3101,25807,8,20.55,0.00073,-4.669890880584717,0.0014715484576299787,3.828009605407715,0.04752664268016815,22806
-9.588428239999999,1260,3135,26062,8,21.19,0.00073,-0.4293639063835144,0.0014997889520600438,3.9611976146698,0.04632420092821121,23061
-9.66857647,1270,3165,26288,8,21.31,0.00073,-4.864978313446045,0.001536634168587625,3.9323081970214844,0.03763815015554428,23287
-9.497855829999999,1280,3190,26471,8,21.29,0.00073,1.305871605873108,0.0014886405551806092,4.051835536956787,0.03660566359758377,23470
-9.299835540000002,1290,3215,26663,8,20.79,0.00073,2.3929309844970703,0.0014632708625867963,4.0432000160217285,0.032221462577581406,23662
-9.424403609999999,1300,3242,26867,8,20.79,0.00073,2.770113945007324,0.0014312054263427854,3.911853075027466,0.04092284291982651,23866
-9.31553621,1310,3269,27075,8,20.62,0.00073,-11.976109504699707,0.0014312423299998045,3.9429376125335693,0.04526391625404358,24074
