time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/n_updates
5407,900,7,201.88476492,68.89,43204,0.08150225132703781,0.00073,22.123462677001953,-3.6780807971954346,-131.46922302246094,40203
5506,910,7,192.13067564000002,68.89,43954,0.07800063490867615,0.00073,22.677108764648438,-0.3643155097961426,-133.66436767578125,40953
5600,920,7,200.77149361,68.75,44664,0.07610426843166351,0.00073,25.94610595703125,4.346232891082764,-127.173095703125,41663
5685,930,7,213.24995897000005,68.76,45304,0.07505496591329575,0.00073,25.675365447998047,2.4404125213623047,-121.02111053466797,42303
5782,940,7,230.61153526,70.12,46025,0.07490164786577225,0.00073,26.4765682220459,3.508744716644287,-134.91001892089844,43024
5882,950,7,233.99514124,70.13,46772,0.07699079066514969,0.00073,24.82555389404297,1.1743494272232056,-129.34835815429688,43771
5981,960,7,234.20317364,70.13,47522,0.07700231671333313,0.00073,21.670291900634766,1.201718807220459,-137.83966064453125,44521
6081,970,7,278.2216187,71.93,48272,0.07977241277694702,0.00073,39.28077697753906,-3.7504334449768066,-150.20396423339844,45271
6182,980,7,300.25024723999996,72.47,49022,0.0778045803308487,0.00073,23.539752960205078,1.1141217947006226,-146.0007781982422,46021
6277,990,7,309.69941245999996,72.76,49730,0.07749781012535095,0.00073,24.695798873901367,1.8131213188171387,-138.53683471679688,46729
6371,1000,7,297.09997338,72.29,50433,0.08302801847457886,0.00073,27.413246154785156,3.86262583732605,-147.19061279296875,47432
6471,1010,7,313.38954857,72.29,51183,0.08251756429672241,0.00073,22.5793514251709,-0.15545326471328735,-142.4452667236328,48182
6571,1020,7,321.54655003000005,72.69,51933,0.08088326454162598,0.00073,23.72088050842285,-1.053727149963379,-141.11264038085938,48932
6669,1030,7,339.81840329999994,73.71,52675,0.07727698981761932,0.00073,20.12802505493164,4.185565948486328,-138.39852905273438,49674
6764,1040,7,352.31359323,73.75,53400,0.07809816300868988,0.00073,22.32605743408203,-2.10896372795105,-143.54891967773438,50399
6864,1050,7,358.21425435000003,73.78,54150,0.07530255615711212,0.00073,22.621841430664062,-0.374528169631958,-134.51907348632812,51149
6932,1060,7,319.2821622,71.39,54661,0.07628458738327026,0.00073,22.81063461303711,4.338425636291504,-137.49375915527344,51660
7021,1070,7,297.17980307,70.59,55331,0.07556174695491791,0.00073,23.993671417236328,1.1154086589813232,-142.03358459472656,52330
7119,1080,7,294.68117868999997,70.53,56075,0.07595840096473694,0.00073,23.778200149536133,-3.0794830322265625,-154.57479858398438,53074
7218,1090,7,300.00541203,70.83,56813,0.07665444910526276,0.00073,18.948013305664062,5.775093078613281,-167.09808349609375,53812
7318,1100,7,306.02669062,71.25,57558,0.07539685070514679,0.00073,17.94497299194336,0.2842484712600708,-155.42352294921875,54557
7420,1110,7,302.70551048,71.25,58308,0.07527275383472443,0.00073,20.34720802307129,-0.47360432147979736,-148.9907684326172,55307
7517,1120,7,293.40417640000004,70.93,59026,0.07907658070325851,0.00073,23.38641357421875,-2.865055561065674,-152.12985229492188,56025
7618,1130,7,306.36481792999996,71.01,59776,0.076604463160038,0.00073,22.465110778808594,-0.6282265782356262,-141.5238037109375,56775
7703,1140,7,287.84590479,70.13,60413,0.07599692791700363,0.00073,25.105144500732422,-0.38622575998306274,-151.38897705078125,57412
7805,1150,7,287.77766655,70.13,61163,0.07436875998973846,0.00073,22.151874542236328,0.8977360129356384,-141.2703094482422,58162
7905,1160,7,333.86976666000004,72.52,61913,0.07381404936313629,0.00073,23.12451934814453,-0.11441352963447571,-157.13206481933594,58912
8002,1170,7,350.46148808000004,72.98,62629,0.07556327432394028,0.00073,16.20703125,0.09998226165771484,-159.214111328125,59628
8096,1180,7,352.06341992999995,72.49,63324,0.07419625669717789,0.00073,19.444921493530273,3.8212578296661377,-151.33775329589844,60323
8197,1190,7,367.2262606500001,72.61,64074,0.074131540954113,0.00073,23.676048278808594,-4.0331315994262695,-142.81820678710938,61073
8298,1200,7,372.16954154,72.66,64824,0.07281780242919922,0.00073,17.53015899658203,-0.6184995770454407,-145.97584533691406,61823
8392,1210,7,362.25027129999995,72.27,65535,0.07335734367370605,0.00073,15.960198402404785,4.262450218200684,-150.60031127929688,62534
8489,1220,7,362.83404116,72.27,66253,0.07656838744878769,0.00073,15.650228500366211,0.806918740272522,-162.09693908691406,63252
8591,1230,7,363.30640179,72.27,67003,0.07600744068622589,0.00073,17.692291259765625,2.890449285507202,-165.25421142578125,64002
8675,1240,7,366.83970077,72.13,67626,0.07445139437913895,0.00073,16.717060089111328,-0.8053247332572937,-161.17172241210938,64625
8774,1250,7,373.79913168999997,71.97,68360,0.07586459070444107,0.00073,19.00908660888672,0.8162166476249695,-164.19212341308594,65359
8875,1260,7,380.51805026999995,71.97,69110,0.07551945745944977,0.00073,16.677814483642578,-0.6563290357589722,-172.50660705566406,66109
8976,1270,7,387.88163689,72.31,69860,0.07338793575763702,0.00073,15.096659660339355,-6.603404998779297,-157.42694091796875,66859
9074,1280,7,392.69691199999994,72.76,70600,0.07182765007019043,0.00073,20.017274856567383,4.025883197784424,-158.92987060546875,67599
9170,1290,7,382.30602742,72.47,71321,0.07206254452466965,0.00073,29.214937210083008,-5.076803684234619,-147.53213500976562,68320
9251,1300,7,362.7049494400001,70.96,71920,0.07347684353590012,0.00073,20.927268981933594,4.569482803344727,-154.83880615234375,68919
9321,1310,7,329.36372235000005,69.14,72449,0.07563400268554688,0.00073,28.2769718170166,5.336612224578857,-177.0640411376953,69448
9417,1320,7,319.4960071700001,69.13,73166,0.07223836332559586,0.00073,25.38998031616211,-4.532751083374023,-168.7560577392578,70165
