rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
-245.76175990000004,15048,100.0,114000,7,1140,0.00073,-6.165658950805664,104.56702423095703,0.4296633005142212,0.003714539809152484,110999
-244.51583774,15186,100.0,115000,7,1150,0.00073,-2.82013201713562,104.16517639160156,0.4136407971382141,0.003641390008851886,111999
-243.94607572999993,15327,100.0,116000,7,1160,0.00073,1.5923622846603394,105.82415771484375,0.3653685450553894,0.0035599370021373034,112999
-242.38841168999997,15469,100.0,117000,7,1170,0.00073,15.923567771911621,105.14306640625,0.3472585082054138,0.0036812350153923035,113999
-240.20808875999998,15607,100.0,118000,7,1180,0.00073,-5.886964797973633,103.86871337890625,0.36368417739868164,0.003706885501742363,114999
-238.92499308000004,15744,100.0,119000,7,1190,0.00073,5.010223388671875,103.27462005615234,0.40651071071624756,0.003628608537837863,115999
-240.93918380000002,15883,100.0,120000,7,1200,0.00073,-1.2997827529907227,104.63926696777344,0.36709070205688477,0.0035529062151908875,116999
-240.41305133999998,16020,100.0,121000,7,1210,0.00073,-15.233935356140137,103.65573120117188,0.39537084102630615,0.003783726366236806,117999
-238.56158151,16157,100.0,122000,7,1220,0.00073,-2.2724449634552,103.01658630371094,0.35968703031539917,0.0036959003191441298,118999
-238.02516740000002,16296,100.0,123000,7,1230,0.00073,9.229966163635254,101.83108520507812,0.32767754793167114,0.003548871260136366,119999
-236.54415816,16435,100.0,124000,7,1240,0.00073,-0.972984254360199,104.06390380859375,0.3237919807434082,0.0034912230912595987,120999
-235.18042183,16573,100.0,125000,7,1250,0.00073,-1.0870087146759033,104.22904205322266,0.3933258354663849,0.0034234144259244204,121999
-234.46866451999998,16711,100.0,126000,7,1260,0.00073,-0.059578895568847656,104.057373046875,0.3616376519203186,0.003389353398233652,122999
-233.05417033999998,16850,100.0,127000,7,1270,0.00073,-2.1025924682617188,102.1953353881836,0.3241945505142212,0.0034544591326266527,123999
-234.50194728999998,16988,100.0,128000,7,1280,0.00073,5.589878082275391,103.05535125732422,0.32927221059799194,0.0034702771808952093,124999
-234.54399235,17125,100.0,129000,7,1290,0.00073,-7.472797393798828,104.12057495117188,0.2971832752227783,0.0034134923480451107,125999
-233.41233681999998,17261,100.0,130000,7,1300,0.00073,-1.9244472980499268,104.00994110107422,0.3226947784423828,0.0035720167215913534,126999
-234.50115788,17398,100.0,131000,7,1310,0.00073,7.669036388397217,103.1447982788086,0.30310505628585815,0.0033949578646570444,127999
-234.31884586,17536,100.0,132000,7,1320,0.00073,-1.7003118991851807,103.22190856933594,0.2885369658470154,0.0034243776462972164,128999
-234.33457312000002,17673,100.0,133000,7,1330,0.00073,8.612274169921875,104.89444732666016,0.3446362614631653,0.0034035698045045137,129999
-233.24093441000005,17811,100.0,134000,7,1340,0.00073,4.307020664215088,102.75254821777344,0.3731919527053833,0.003338865702971816,130999
-232.39598319,17948,100.0,135000,7,1350,0.00073,-13.188617706298828,103.00164031982422,0.3316214680671692,0.003459532978013158,131999
-232.36642018999999,18086,100.0,136000,7,1360,0.00073,6.804248332977295,104.123779296875,0.33032292127609253,0.00347412982955575,132999
-235.39134822000003,18225,100.0,137000,7,1370,0.00073,11.421420097351074,102.8749008178711,0.28980496525764465,0.0036335326731204987,133999
-232.90872782000002,18363,100.0,138000,7,1380,0.00073,-2.870042324066162,103.5075454711914,0.34489673376083374,0.0033086990006268024,134999
-232.71222721999996,18500,100.0,139000,7,1390,0.00073,7.767362117767334,103.64543914794922,0.32838231325149536,0.0033256378956139088,135999
-229.30486176,18637,100.0,140000,7,1400,0.00073,1.0739699602127075,102.91326904296875,0.35582560300827026,0.00335153890773654,136999
-226.63654634,18774,100.0,141000,7,1410,0.00073,11.349384307861328,101.31127166748047,0.36928635835647583,0.0034088436514139175,137999
-225.87473998000002,18910,100.0,142000,7,1420,0.00073,-0.28435370326042175,102.88557434082031,0.26453086733818054,0.0033633075654506683,138999
-225.59994374000001,19049,100.0,143000,7,1430,0.00073,-1.602025032043457,103.10173034667969,0.32207179069519043,0.003422214649617672,139999
-226.3735645,19186,100.0,144000,7,1440,0.00073,-2.245619058609009,102.44586944580078,0.3060927093029022,0.0033453311771154404,140999
-227.39924649999998,19324,100.0,145000,7,1450,0.00073,-9.429092407226562,101.36233520507812,0.3137093186378479,0.0033224804792553186,141999
-226.55625106000002,19462,100.0,146000,7,1460,0.00073,2.4935836791992188,102.21157836914062,0.370350182056427,0.0033564649056643248,142999
-223.54584556000006,19600,100.0,147000,7,1470,0.00073,15.039531707763672,102.2195816040039,0.28200894594192505,0.0033922523725777864,143999
-224.65301080999996,19739,100.0,148000,7,1480,0.00073,-16.374526977539062,100.76483154296875,0.29393988847732544,0.0035097156651318073,144999
-223.93987183,19876,100.0,149000,7,1490,0.00073,4.37162971496582,102.84283447265625,0.3406655788421631,0.0033771474845707417,145999
-224.83390544999997,20013,100.0,150000,7,1500,0.00073,-7.784473419189453,101.750244140625,0.26650470495224,0.003476595738902688,146999
-225.10455699000002,20151,100.0,151000,7,1510,0.00073,17.276504516601562,101.68221282958984,0.34782665967941284,0.0033567496575415134,147999
-224.87729948,20288,100.0,152000,7,1520,0.00073,-12.955340385437012,99.27069091796875,0.3107842206954956,0.003471718868240714,148999
-223.48021071999995,20425,100.0,153000,7,1530,0.00073,-7.874549388885498,100.88871765136719,0.3086605668067932,0.003473921213299036,149999
-221.47331202,20562,100.0,154000,7,1540,0.00073,6.6400837898254395,98.45073699951172,0.3024659752845764,0.0033729004207998514,150999
-219.51885765000003,20699,100.0,155000,7,1550,0.00073,1.0750963687896729,99.2609634399414,0.27487772703170776,0.0034913530107587576,151999
-219.0187456,20838,100.0,156000,7,1560,0.00073,-3.3662500381469727,100.10311126708984,0.25169676542282104,0.0034592740703374147,152999
-220.97842509000006,20976,100.0,157000,7,1570,0.00073,-1.0195250511169434,98.70824432373047,0.3262612521648407,0.0034211804158985615,153999
-219.0580752,21115,100.0,158000,7,1580,0.00073,6.257360458374023,99.58949279785156,0.3960561156272888,0.0035016415640711784,154999
-218.13004050999996,21254,100.0,159000,7,1590,0.00073,5.812573432922363,98.57112884521484,0.3360345959663391,0.0035200701095163822,155999
-216.95035890000003,21394,100.0,160000,7,1600,0.00073,12.8363618850708,98.21875762939453,0.3525291085243225,0.0034890479873865843,156999
-215.54082814,21534,100.0,161000,7,1610,0.00073,-0.6847088932991028,97.8041000366211,0.3176839053630829,0.0035045798867940903,157999
-216.99334644,21678,100.0,162000,7,1620,0.00073,-10.16068172454834,97.53206634521484,0.2883566915988922,0.003486009780317545,158999
-217.28723735,21816,100.0,163000,7,1630,0.00073,13.657907485961914,98.65190887451172,0.30490642786026,0.0034779836423695087,159999
-217.10348624999997,21955,100.0,164000,7,1640,0.00073,15.14777946472168,97.28658294677734,0.3293830156326294,0.0034382229205220938,160999
-217.29645737,22094,100.0,165000,7,1650,0.00073,1.0999395847320557,99.94573974609375,0.30352896451950073,0.0034507878590375185,161999
-218.61929478,22233,100.0,166000,7,1660,0.00073,8.719533920288086,98.26917266845703,0.39946770668029785,0.0035107953008264303,162999
-215.99134776,22371,100.0,167000,7,1670,0.00073,-9.807315826416016,97.37133026123047,0.2735039293766022,0.003355138236656785,163999
-215.43732835999995,22509,100.0,168000,7,1680,0.00073,-2.328272819519043,98.2479248046875,0.33288896083831787,0.003342939307913184,164999
-215.92362770999998,22648,100.0,169000,7,1690,0.00073,-1.4215850830078125,98.13829040527344,0.31682342290878296,0.003449672367423773,165999
-216.27220402,22786,100.0,170000,7,1700,0.00073,-11.628251075744629,96.97176361083984,0.31423085927963257,0.003404277376830578,166999
-216.9350036,22925,100.0,171000,7,1710,0.00073,-4.285165309906006,98.13807678222656,0.26563090085983276,0.0033896006643772125,167999
-215.53925072000004,23062,100.0,172000,7,1720,0.00073,-13.365839958190918,97.96903991699219,0.3289772868156433,0.003403337672352791,168999
-214.2356016,23201,100.0,173000,7,1730,0.00073,-6.907893657684326,95.90570068359375,0.26721447706222534,0.003316601738333702,169999
-213.53648897,23341,100.0,174000,7,1740,0.00073,-9.637447357177734,95.62045288085938,0.32572633028030396,0.003376458305865526,170999
-213.25868250000002,23480,100.0,175000,7,1750,0.00073,-0.6247055530548096,95.5923843383789,0.2703757584095001,0.0032974611967802048,171999
-210.51260471999996,23619,100.0,176000,7,1760,0.00073,12.569076538085938,96.29594421386719,0.33662164211273193,0.0034454655833542347,172999
-210.77921215999996,23758,100.0,177000,7,1770,0.00073,9.463672637939453,95.74034118652344,0.3039209246635437,0.0034278705716133118,173999
-211.24238363,23896,100.0,178000,7,1780,0.00073,7.230319499969482,94.4784927368164,0.29234540462493896,0.0033727572299540043,174999
-209.46373443000002,24034,100.0,179000,7,1790,0.00073,4.670557022094727,96.36250305175781,0.3769698143005371,0.0033360267989337444,175999
-209.00806298000003,24171,100.0,180000,7,1800,0.00073,0.8374257683753967,95.87071228027344,0.2913990020751953,0.0033375939819961786,176999
-208.07051554,24310,100.0,181000,7,1810,0.00073,-1.378580093383789,95.83226776123047,0.26978400349617004,0.0034006237983703613,177999
-208.85587253000003,24449,100.0,182000,7,1820,0.00073,5.372345447540283,95.89073181152344,0.29441794753074646,0.00336978817358613,178999
-210.36801403,24587,100.0,183000,7,1830,0.00073,-2.896700382232666,94.70669555664062,0.2892886996269226,0.003410887438803911,179999
-211.49756915,24725,100.0,184000,7,1840,0.00073,-3.818189859390259,95.17325592041016,0.33060550689697266,0.003299740143120289,180999
-211.16901081999995,24862,100.0,185000,7,1850,0.00073,-2.8484232425689697,94.09374237060547,0.3361600637435913,0.0034010582603514194,181999
-211.85465826000004,24999,100.0,186000,7,1860,0.00073,0.24551162123680115,94.98065185546875,0.3410479724407196,0.003409404307603836,182999
-211.13200448999999,25136,100.0,187000,7,1870,0.00073,4.486548900604248,96.0659408569336,0.3470934331417084,0.0033638207241892815,183999
-208.92710551,25273,100.0,188000,7,1880,0.00073,-10.23188304901123,94.6532211303711,0.303946852684021,0.0034531515557318926,184999
-209.47282236999996,25411,100.0,189000,7,1890,0.00073,-0.167510986328125,94.29267120361328,0.28124648332595825,0.003435740014538169,185999
-210.1068967,25549,100.0,190000,7,1900,0.00073,-2.778698444366455,94.04304504394531,0.33284270763397217,0.0034266922157257795,186999
-209.86564606999997,25695,100.0,191000,7,1910,0.00073,-1.5250962972640991,94.23301696777344,0.3217187523841858,0.003386368043720722,187999
-206.96211501,25833,100.0,192000,7,1920,0.00073,-4.667037010192871,94.96974182128906,0.3004467487335205,0.0033639955800026655,188999
-204.61555549000002,25971,100.0,193000,7,1930,0.00073,15.97426700592041,94.94894409179688,0.3320378065109253,0.0032676246482878923,189999
-203.36390228000005,26108,100.0,194000,7,1940,0.00073,5.538089752197266,92.8214111328125,0.3163837492465973,0.0033163740299642086,190999
-203.04346068999996,26245,100.0,195000,7,1950,0.00073,1.0377488136291504,92.15544128417969,0.30748677253723145,0.003395675215870142,191999
-201.88976397,26381,100.0,196000,7,1960,0.00073,-12.108251571655273,92.78107452392578,0.2974940240383148,0.003407369600608945,192999
-201.56303507,26518,100.0,197000,7,1970,0.00073,4.549367904663086,93.93555450439453,0.3629719018936157,0.003251896006986499,193999
-202.38282051000002,26655,100.0,198000,7,1980,0.00073,22.043909072875977,94.67316436767578,0.33423465490341187,0.0032949745655059814,194999
-202.05736562000004,26794,100.0,199000,7,1990,0.00073,-7.896734237670898,94.0600357055664,0.30520328879356384,0.003324068384245038,195999
-202.43260061,26933,100.0,200000,7,2000,0.00073,21.593544006347656,94.89430236816406,0.24551047384738922,0.003259984776377678,196999
-203.40921401,27071,100.0,201000,7,2010,0.00073,1.948237419128418,93.78361511230469,0.2899591624736786,0.0034344755113124847,197999
-204.76111062999996,27210,100.0,202000,7,2020,0.00073,-11.545246124267578,94.53778076171875,0.3424168825149536,0.003353143809363246,198999
-205.53677979000003,27352,100.0,203000,7,2030,0.00073,2.7802512645721436,94.29390716552734,0.29749971628189087,0.003221808234229684,199999
-205.58522195,27490,100.0,204000,7,2040,0.00073,13.022622108459473,94.44586181640625,0.3091650605201721,0.003294639987871051,200999
-204.77686620999998,27627,100.0,205000,7,2050,0.00073,9.676974296569824,92.68403625488281,0.3092917501926422,0.003194978926330805,201999
-206.03443721000002,27766,100.0,206000,7,2060,0.00073,18.16387939453125,94.13035583496094,0.3486996293067932,0.003268693806603551,202999
-205.66791711000002,27904,100.0,207000,7,2070,0.00073,9.253926277160645,93.15655517578125,0.30183401703834534,0.003397383727133274,203999
-204.53405089,28042,100.0,208000,7,2080,0.00073,-10.371757507324219,93.52179718017578,0.2839534878730774,0.003297417191788554,204999
-206.00990773,28178,100.0,209000,7,2090,0.00073,-16.831274032592773,91.4498291015625,0.33018505573272705,0.0033603499177843332,205999
-204.46867672,28316,100.0,210000,7,2100,0.00073,-2.2689833641052246,92.70860290527344,0.30414214730262756,0.0032824354711920023,206999
