rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate
693.08348488,46000,6152,460,100.0,7,0.21871694922447205,-296.36016845703125,42999,8.714387893676758,-0.025556407868862152,0.00073
697.0820970600003,47000,6295,470,100.0,7,0.21727798879146576,-302.38262939453125,43999,8.050497055053711,-0.25874143838882446,0.00073
694.34802614,48000,6439,480,100.0,7,0.21137270331382751,-300.40814208984375,44999,9.15633773803711,-0.1146901398897171,0.00073
699.1625740499999,49000,6580,490,100.0,7,0.21446655690670013,-297.4783630371094,45999,11.206827163696289,0.022347817197442055,0.00073
701.1951074400001,50000,6724,500,100.0,7,0.2160802185535431,-308.84869384765625,46999,7.700096130371094,-0.015611112117767334,0.00073
703.44422912,51000,6866,510,100.0,7,0.21458859741687775,-298.3321533203125,47999,10.628157615661621,0.5336707830429077,0.00073
707.1336793899999,52000,7009,520,100.0,7,0.20909032225608826,-301.5487976074219,48999,6.401096343994141,-0.00796268880367279,0.00073
707.54318024,53000,7152,530,100.0,7,0.20849716663360596,-307.5233459472656,49999,6.8552703857421875,0.007209494709968567,0.00073
709.7806726499999,54000,7296,540,100.0,7,0.21083740890026093,-300.8069763183594,50999,8.987154006958008,0.0002816617488861084,0.00073
710.83704849,55000,7440,550,100.0,7,0.20540732145309448,-299.433837890625,51999,7.32757568359375,0.7700100541114807,0.00073
714.1177680699999,56000,7582,560,100.0,7,0.2085258513689041,-305.86907958984375,52999,6.124941825866699,-0.3024991750717163,0.00073
715.30822743,57000,7724,570,100.0,7,0.20333154499530792,-306.3089904785156,53999,7.474790573120117,-0.07554887235164642,0.00073
724.8116208899997,58000,7867,580,100.0,7,0.2023582011461258,-304.6593322753906,54999,9.03030014038086,-0.1732325553894043,0.00073
725.53768702,59000,8011,590,100.0,7,0.20017513632774353,-307.21673583984375,55999,6.682150363922119,0.04333378002047539,0.00073
724.9658464600001,60000,8153,600,100.0,7,0.20094437897205353,-307.17108154296875,56999,7.131412029266357,-0.19434140622615814,0.00073
726.4687817300002,61000,8297,610,100.0,7,0.19566160440444946,-302.963623046875,57999,7.280208587646484,-0.20348407328128815,0.00073
726.9567197399999,62000,8440,620,100.0,7,0.1995897889137268,-310.6084289550781,58999,7.928225994110107,-0.7466128468513489,0.00073
717.0437791100002,63000,8584,630,100.0,7,0.19735850393772125,-312.20904541015625,59999,6.526554107666016,-0.1718670129776001,0.00073
714.8950622699999,64000,8727,640,100.0,7,0.19665448367595673,-311.7643737792969,60999,8.683722496032715,-0.34658747911453247,0.00073
717.05972952,65000,8870,650,100.0,7,0.19231267273426056,-310.49041748046875,61999,8.39799976348877,0.24905984103679657,0.00073
713.8824083300001,66000,9015,660,100.0,7,0.19520096480846405,-312.04302978515625,62999,7.287764549255371,-0.16206833720207214,0.00073
715.3517050699999,67000,9159,670,100.0,7,0.18802239000797272,-309.42138671875,63999,7.185746669769287,-0.24457405507564545,0.00073
714.34605025,68000,9304,680,100.0,7,0.19051605463027954,-313.7862854003906,64999,6.177408218383789,-0.2643033266067505,0.00073
714.1311693300001,69000,9447,690,100.0,7,0.18874798715114594,-313.07293701171875,65999,7.7725934982299805,-0.16637364029884338,0.00073
715.2975075600001,70000,9592,700,100.0,7,0.18458402156829834,-315.23419189453125,66999,7.425926208496094,-0.09083379060029984,0.00073
714.6443510699999,71000,9735,710,100.0,7,0.18337294459342957,-313.4526062011719,67999,5.618821144104004,-0.2793963551521301,0.00073
714.4686984,72000,9878,720,100.0,7,0.18231454491615295,-316.13323974609375,68999,5.273598670959473,-0.21551865339279175,0.00073
723.51228162,73000,10022,730,100.0,7,0.18254336714744568,-319.4040222167969,69999,5.6159210205078125,-0.06501120328903198,0.00073
725.6964511900001,74000,10165,740,100.0,7,0.18153974413871765,-321.6108703613281,70999,4.676050186157227,-0.19920623302459717,0.00073
724.38799616,75000,10309,750,100.0,7,0.17895974218845367,-316.37255859375,71999,5.204302787780762,0.4201053977012634,0.00073
726.6004821700001,76000,10453,760,100.0,7,0.17497578263282776,-319.0777282714844,72999,5.889697074890137,-0.5346220135688782,0.00073
721.04204647,77000,10597,770,100.0,7,0.17076516151428223,-316.6722106933594,73999,5.521445274353027,0.008038904517889023,0.00073
724.70461016,78000,10741,780,100.0,7,0.17504151165485382,-320.8128967285156,74999,5.96734619140625,0.35943353176116943,0.00073
725.2660696699999,79000,10885,790,100.0,7,0.1734190136194229,-321.1998291015625,75999,7.620659828186035,-0.11980627477169037,0.00073
725.69476811,80000,11029,800,100.0,7,0.173270583152771,-323.5611572265625,76999,4.761419296264648,0.4461275041103363,0.00073
720.1073933200001,81000,11173,810,100.0,7,0.17280250787734985,-320.9532470703125,77999,4.964831352233887,0.37722232937812805,0.00073
717.1906389000001,82000,11317,820,100.0,7,0.16940169036388397,-318.8935546875,78999,8.28232192993164,0.42898252606391907,0.00073
720.4462046399999,83000,11460,830,100.0,7,0.16468682885169983,-319.49658203125,79999,6.039811134338379,0.4410362243652344,0.00073
722.70572989,84000,11604,840,100.0,7,0.16527020931243896,-318.1741638183594,80999,5.598234176635742,-0.4044418931007385,0.00073
722.7831321600002,85000,11748,850,100.0,7,0.16723397374153137,-323.27545166015625,81999,4.909116744995117,0.1204921305179596,0.00073
725.1619548400001,86000,11893,860,100.0,7,0.1673160046339035,-319.1221923828125,82999,7.51320743560791,0.041432805359363556,0.00073
731.3535793299999,87000,12038,870,100.0,7,0.16566000878810883,-321.1896667480469,83999,5.966748237609863,-0.05414241552352905,0.00073
730.91945855,88000,12182,880,100.0,7,0.16401901841163635,-325.7688293457031,84999,5.816082000732422,-0.5070610046386719,0.00073
730.3725609300002,89000,12323,890,100.0,7,0.1597183644771576,-322.7942810058594,85999,5.834012031555176,-0.7310744524002075,0.00073
728.60506047,90000,12464,900,100.0,7,0.1572202444076538,-328.6017761230469,86999,4.479202747344971,-0.48612043261528015,0.00073
735.53492714,91000,12606,910,100.0,7,0.16141802072525024,-323.69964599609375,87999,5.590841293334961,-0.09108732640743256,0.00073
739.2133003199998,92000,12749,920,100.0,7,0.15734288096427917,-323.48126220703125,88999,5.35972261428833,-0.5831288695335388,0.00073
737.22967444,93000,12893,930,100.0,7,0.15882796049118042,-327.8833923339844,89999,4.952059745788574,-0.37202662229537964,0.00073
736.4856384000002,94000,13037,940,100.0,7,0.15710456669330597,-330.9790344238281,90999,4.3747639656066895,0.2366437166929245,0.00073
737.4151268500001,95000,13182,950,100.0,7,0.15638484060764313,-327.9020080566406,91999,3.963557243347168,-0.610600471496582,0.00073
735.3440532300001,96000,13326,960,100.0,7,0.1549602448940277,-331.5770263671875,92999,5.134002685546875,-0.17647257447242737,0.00073
738.15974219,97000,13471,970,100.0,7,0.15724316239356995,-325.3238525390625,93999,3.8801956176757812,-0.66668301820755,0.00073
736.5344031600001,98000,13615,980,100.0,7,0.15693672001361847,-325.39276123046875,94999,5.01154899597168,0.43548277020454407,0.00073
737.3186808,99000,13758,990,100.0,7,0.1546117216348648,-328.6475830078125,95999,4.257789134979248,0.0618320107460022,0.00073
738.2856769599999,100000,13903,1000,100.0,7,0.14955128729343414,-332.5403137207031,96999,4.312870025634766,-0.7144696116447449,0.00073
736.6731406100002,101000,14046,1010,100.0,7,0.14990226924419403,-327.5679931640625,97999,5.291881084442139,0.615566074848175,0.00073
736.96708733,102000,14190,1020,100.0,7,0.14832697808742523,-330.8624267578125,98999,4.250332355499268,-0.3945935070514679,0.00073
734.6337567300001,103000,14334,1030,100.0,7,0.1491822600364685,-329.8630676269531,99999,5.339881420135498,-0.10934895277023315,0.00073
735.8622335299999,104000,14477,1040,100.0,7,0.14836442470550537,-331.58660888671875,100999,4.1562604904174805,-0.18357858061790466,0.00073
733.3043762099999,105000,14621,1050,100.0,7,0.15139378607273102,-329.693359375,101999,4.542668342590332,0.33808058500289917,0.00073
731.3632004100003,106000,14766,1060,100.0,7,0.15035589039325714,-332.79876708984375,102999,3.4399166107177734,0.4467823803424835,0.00073
727.7291855100001,107000,14909,1070,100.0,7,0.14970269799232483,-331.009033203125,103999,4.902790546417236,0.11858466267585754,0.00073
728.8095317899999,108000,15054,1080,100.0,7,0.14972274005413055,-328.1965026855469,104999,5.0886664390563965,-0.1586424559354782,0.00073
727.5753642300001,109000,15200,1090,100.0,7,0.14983093738555908,-329.7002868652344,105999,5.449565410614014,0.07708892971277237,0.00073
727.35274992,110000,15345,1100,100.0,7,0.1501327008008957,-330.71636962890625,106999,5.313591957092285,0.18291974067687988,0.00073
727.4698307599999,111000,15490,1110,100.0,7,0.14981530606746674,-330.5595397949219,107999,5.910578727722168,-0.5264319181442261,0.00073
726.7739237300001,112000,15633,1120,100.0,7,0.14840258657932281,-330.5932922363281,108999,4.717730522155762,-0.16438795626163483,0.00073
728.7662324400001,113000,15776,1130,100.0,7,0.14911945164203644,-332.74658203125,109999,4.064609527587891,0.2837962806224823,0.00073
728.1873513,114000,15921,1140,100.0,7,0.14566975831985474,-332.3659362792969,110999,5.262359142303467,0.3149411082267761,0.00073
730.1092411899999,115000,16067,1150,100.0,7,0.14558100700378418,-335.6530456542969,111999,4.286358833312988,-0.8612962961196899,0.00073
732.94366016,116000,16211,1160,100.0,7,0.1414577066898346,-337.9222106933594,112999,3.089280605316162,-0.2882956266403198,0.00073
730.7079130199999,117000,16356,1170,100.0,7,0.14281000196933746,-332.29254150390625,113999,5.04623556137085,-0.13183867931365967,0.00073
731.1487397399999,118000,16500,1180,100.0,7,0.1413603574037552,-334.35858154296875,114999,4.902408599853516,0.4642949402332306,0.00073
732.7999557300001,119000,16645,1190,100.0,7,0.13968084752559662,-332.29864501953125,115999,5.027669906616211,0.020368337631225586,0.00073
735.33907916,120000,16789,1200,100.0,7,0.1370726078748703,-334.8454895019531,116999,3.839766263961792,0.3571368455886841,0.00073
732.96569165,121000,16934,1210,100.0,7,0.14009463787078857,-337.1687927246094,117999,3.6026949882507324,-0.3040965497493744,0.00073
733.21000044,122000,17079,1220,100.0,7,0.13534826040267944,-336.4621276855469,118999,4.519443035125732,-0.14412027597427368,0.00073
732.7575413200002,123000,17222,1230,100.0,7,0.13378947973251343,-334.7138671875,119999,5.04122257232666,-0.48829489946365356,0.00073
733.5669121999999,124000,17365,1240,100.0,7,0.13411428034305573,-333.2109680175781,120999,6.723273277282715,0.03396851569414139,0.00073
733.28833785,125000,17510,1250,100.0,7,0.13571834564208984,-334.8319091796875,121999,3.6937084197998047,0.4112143814563751,0.00073
733.8092940899999,126000,17653,1260,100.0,7,0.13149496912956238,-337.1051330566406,122999,3.857039451599121,-0.15551607310771942,0.00073
739.1055087400002,127000,17797,1270,100.0,7,0.1351090520620346,-337.099853515625,123999,4.22049617767334,0.734756350517273,0.00073
738.74514847,128000,17942,1280,100.0,7,0.1286410242319107,-338.28033447265625,124999,3.985304355621338,0.45528334379196167,0.00073
734.7094397900001,129000,18088,1290,100.0,7,0.13075211644172668,-338.355712890625,125999,4.319064140319824,-0.8860414028167725,0.00073
733.4171665800001,130000,18233,1300,100.0,7,0.13347485661506653,-338.6564025878906,126999,5.043096542358398,-0.953641414642334,0.00073
737.3944800900001,131000,18378,1310,100.0,7,0.12979616224765778,-335.9548034667969,127999,4.022592067718506,0.03997346758842468,0.00073
737.0370436400001,132000,18522,1320,100.0,7,0.12841039896011353,-339.44140625,128999,4.5268964767456055,-0.43613314628601074,0.00073
738.01231756,133000,18666,1330,100.0,7,0.1295146495103836,-338.4013671875,129999,3.2869653701782227,0.9604154825210571,0.00073
737.3717649900001,134000,18812,1340,100.0,7,0.1270401030778885,-339.0344543457031,130999,4.4381513595581055,0.021538883447647095,0.00073
737.93308864,135000,18959,1350,100.0,7,0.12761035561561584,-335.2497863769531,131999,4.894842147827148,0.16640979051589966,0.00073
733.82135745,136000,19104,1360,100.0,7,0.12376732379198074,-343.47637939453125,132999,3.087435245513916,-0.01580101251602173,0.00073
733.51876028,137000,19247,1370,100.0,7,0.124672070145607,-339.57061767578125,133999,3.783547878265381,0.09883920848369598,0.00073
735.0026513199998,138000,19392,1380,100.0,7,0.12288133054971695,-340.216064453125,134999,4.156255722045898,-0.1863747388124466,0.00073
740.1147598299999,139000,19537,1390,100.0,7,0.12529246509075165,-338.7957763671875,135999,5.031467437744141,0.05850953608751297,0.00073
740.5382663699999,140000,19683,1400,100.0,7,0.12072766572237015,-345.0394287109375,136999,3.3244423866271973,-0.024797573685646057,0.00073
740.1348434700001,141000,19830,1410,100.0,7,0.12286961823701859,-340.13446044921875,137999,3.571532726287842,-0.007353935390710831,0.00073
741.7452653300002,142000,19975,1420,100.0,7,0.12211713194847107,-340.90997314453125,138999,3.6980018615722656,-0.02933429181575775,0.00073
741.9740659999999,143000,20120,1430,100.0,7,0.12480104714632034,-342.4873962402344,139999,4.265907287597656,-0.2721458673477173,0.00073
742.1019646699999,144000,20264,1440,100.0,7,0.11914873123168945,-343.1238708496094,140999,4.169835090637207,0.8611648082733154,0.00073
742.2469908899999,145000,20409,1450,100.0,7,0.12350261956453323,-344.4629211425781,141999,3.7197203636169434,0.0531940758228302,0.00073
746.9501896099999,146000,20554,1460,100.0,7,0.11976713687181473,-342.4306945800781,142999,3.2408127784729004,0.4475088119506836,0.00073
746.9927774700003,147000,20699,1470,100.0,7,0.11771675944328308,-344.2571716308594,143999,4.069808006286621,0.018116503953933716,0.00073
747.5365632500001,148000,20847,1480,100.0,7,0.11799290776252747,-342.4476318359375,144999,3.4007511138916016,0.0799136757850647,0.00073
746.56792995,149000,20992,1490,100.0,7,0.11624491214752197,-341.83074951171875,145999,3.9797019958496094,0.4529970586299896,0.00073
747.07209031,150000,21139,1500,100.0,7,0.11507637798786163,-343.6427917480469,146999,3.5131678581237793,1.0544145107269287,0.00073
748.39054806,151000,21284,1510,100.0,7,0.12157244235277176,-345.05169677734375,147999,3.5698680877685547,-0.0033046454191207886,0.00073
748.5149939600001,152000,21429,1520,100.0,7,0.1174033135175705,-346.3875427246094,148999,2.413398265838623,-0.4844137132167816,0.00073
748.7195771,153000,21575,1530,100.0,7,0.11625245213508606,-346.7150573730469,149999,6.284926414489746,0.21550217270851135,0.00073
745.5470256199999,154000,21722,1540,100.0,7,0.11399254202842712,-343.3510437011719,150999,3.0976457595825195,0.2189757376909256,0.00073
746.3094079400001,155000,21869,1550,100.0,7,0.11554300040006638,-348.87567138671875,151999,2.615161895751953,-0.20310768485069275,0.00073
745.3920995200001,156000,22014,1560,100.0,7,0.11364473402500153,-344.42828369140625,152999,3.7280044555664062,0.16345399618148804,0.00073
