time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
7,-316.63381800999997,730,43.42,29602,3765,13.608817100524902,0.00073,0.016123419627547264,26601,4.036509990692139,98.05659484863281
7,-319.5694185999999,740,43.2,30044,3824,0.7190091609954834,0.00073,0.016330771148204803,27043,4.162796974182129,100.66962432861328
7,-317.02448561,750,43.2,30512,3886,3.4586405754089355,0.00073,0.016233140602707863,27511,3.8989531993865967,100.7464599609375
7,-314.32208625,760,43.22,30965,3947,-5.555934906005859,0.00073,0.01590467244386673,27964,4.004541873931885,99.34228515625
7,-308.05495254,770,43.6,31435,4012,-5.515503883361816,0.00073,0.01668509840965271,28434,2.85579776763916,101.1673812866211
7,-304.84501677,780,43.84,31858,4068,-3.988858699798584,0.00073,0.01568898931145668,28857,3.7878212928771973,101.59307861328125
7,-302.88713808999995,790,43.69,32279,4126,-0.7514092922210693,0.00073,0.015725644305348396,29278,3.77154541015625,101.82984161376953
7,-305.72514004,800,43.92,32733,4187,-0.08233869075775146,0.00073,0.01565459929406643,29732,3.5427913665771484,102.75730895996094
7,-307.77440413,810,44.48,33188,4248,4.261685371398926,0.00073,0.016014639288187027,30187,3.789095401763916,103.70112609863281
7,-301.59872326000004,820,44.74,33635,4307,6.00823974609375,0.00073,0.01610167697072029,30634,3.639587163925171,99.15961456298828
7,-301.30735846,830,44.63,34065,4366,-10.684011459350586,0.00073,0.01615249179303646,31064,3.3357090950012207,100.5718002319336
7,-299.36702511999994,840,44.4,34484,4423,0.6255435347557068,0.00073,0.015851091593503952,31483,3.6189041137695312,100.91431427001953
7,-300.86997302,850,43.93,34905,4481,2.626375675201416,0.00073,0.0161769799888134,31904,4.201731204986572,105.84235382080078
7,-301.19636639,860,43.78,35343,4540,-0.7440151572227478,0.00073,0.016267018392682076,32342,3.4707751274108887,102.5702133178711
7,-303.53353457000003,870,43.63,35798,4602,6.705278396606445,0.00073,0.01597660779953003,32797,3.189730644226074,104.64179992675781
7,-302.80998388,880,44.26,36284,4667,5.587001323699951,0.00073,0.015697812661528587,33283,3.56666898727417,102.99531555175781
7,-303.30142014999996,890,44.63,36742,4730,-1.4976439476013184,0.00073,0.01570753939449787,33741,3.174084186553955,105.51604461669922
7,-298.53694568,900,44.51,37184,4789,5.098365783691406,0.00073,0.015612547285854816,34183,3.417247772216797,103.11880493164062
7,-294.81709307999995,910,44.24,37612,4846,6.083928108215332,0.00073,0.01567232236266136,34611,4.331298828125,104.08502197265625
7,-292.88455376999997,920,44.27,38062,4908,-7.609950065612793,0.00073,0.01605379208922386,35061,3.958611011505127,104.99526977539062
7,-291.33411404,930,44.36,38501,4967,-3.22696852684021,0.00073,0.01586422510445118,35500,3.5989151000976562,103.08450317382812
7,-289.63109162999996,940,44.62,38946,5027,9.783791542053223,0.00073,0.015611974522471428,35945,3.018380641937256,104.15196228027344
7,-285.97188518,950,45.01,39406,5090,-4.684412479400635,0.00073,0.015535752288997173,36405,3.3545424938201904,102.35499572753906
7,-285.23078825,960,45.07,39850,5151,2.6441893577575684,0.00073,0.015780050307512283,36849,3.456838369369507,104.0417251586914
7,-286.46409452999995,970,44.97,40295,5211,-2.380028009414673,0.00073,0.015083306469023228,37294,3.866194248199463,103.87739562988281
7,-286.95101136,980,44.36,40720,5273,3.211517333984375,0.00073,0.015529582276940346,37719,4.2912397384643555,106.88923645019531
7,-283.7473276200001,990,44.26,41168,5338,-6.008116722106934,0.00073,0.015525724738836288,38167,3.324573516845703,108.04721069335938
7,-280.01623442000005,1000,44.08,41592,5399,-8.098516464233398,0.00073,0.015599487349390984,38591,4.0311126708984375,104.22883605957031
7,-277.2399720000001,1010,44.32,42044,5463,-11.005987167358398,0.00073,0.015618436969816685,39043,3.4520277976989746,104.35092163085938
7,-276.21256302,1020,44.28,42490,5526,7.5697021484375,0.00073,0.01544631365686655,39489,3.189826488494873,105.97310638427734
7,-280.06749187,1030,44.3,42931,5593,-2.304866075515747,0.00073,0.0158014427870512,39930,3.355273723602295,104.11680603027344
7,-281.05659427999996,1040,43.93,43339,5656,4.147275447845459,0.00073,0.015446549281477928,40338,3.531405448913574,108.03205871582031
7,-281.48334848999997,1050,43.85,43791,5726,3.5029563903808594,0.00073,0.015387386083602905,40790,3.0008180141448975,104.67237854003906
7,-276.79591759999994,1060,44.21,44271,5798,10.217843055725098,0.00073,0.015568573959171772,41270,3.652437210083008,103.92400360107422
7,-269.20939921999997,1070,44.72,44767,5873,-3.333024024963379,0.00073,0.015474173240363598,41766,3.494516372680664,105.8529052734375
7,-261.10581686,1080,45.33,45253,5945,-5.450850486755371,0.00073,0.015167662873864174,42252,3.773585319519043,102.37821960449219
7,-260.69642504,1090,45.57,45725,6013,0.7561336159706116,0.00073,0.015059001743793488,42724,2.9421141147613525,100.82156372070312
7,-263.9346489,1100,45.79,46171,6075,-3.875948905944824,0.00073,0.01526720356196165,43170,3.2574892044067383,106.35736083984375
7,-267.90202135,1110,45.86,46630,6139,7.785530090332031,0.00073,0.015284561552107334,43629,3.218801498413086,105.21282958984375
7,-270.274181,1120,45.95,47085,6201,9.887107849121094,0.00073,0.015165644697844982,44084,3.45621657371521,109.74458312988281
7,-262.27136657,1130,46.12,47543,6264,-0.06907075643539429,0.00073,0.015525147318840027,44542,4.020884990692139,106.55250549316406
7,-261.97000628,1140,46.32,47971,6323,-0.6468037366867065,0.00073,0.015219594351947308,44970,3.555792808532715,107.96043395996094
7,-263.29584851999994,1150,45.66,48357,6376,14.586222648620605,0.00073,0.015551635064184666,45356,3.459671974182129,107.59568786621094
7,-265.93083733000003,1160,45.56,48827,6443,-4.933099746704102,0.00073,0.015779802575707436,45826,3.5466911792755127,105.97784423828125
7,-265.72750631,1170,45.48,49315,6512,-5.3486328125,0.00073,0.016174141317605972,46314,3.8174524307250977,105.12117767333984
7,-269.37164807,1180,45.57,49810,6583,0.15619194507598877,0.00073,0.015831466764211655,46809,3.946463108062744,105.02664184570312
7,-265.40004616,1190,45.72,50297,6651,-7.98154354095459,0.00073,0.01596331223845482,47296,4.141728401184082,109.59955596923828
7,-266.29890801,1200,45.97,50768,6717,-0.5783265829086304,0.00073,0.014996880665421486,47767,4.051347732543945,103.47591400146484
7,-263.350174,1210,46.05,51235,6782,-9.400546073913574,0.00073,0.01488857064396143,48234,3.469008684158325,108.05642700195312
7,-258.90193364000004,1220,46.3,51715,6847,-1.6049597263336182,0.00073,0.014653125777840614,48714,3.4029765129089355,105.6529312133789
7,-265.384,1230,46.09,52152,6909,3.583862543106079,0.00073,0.014797135256230831,49151,3.7671585083007812,106.57171630859375
7,-264.4707821,1240,46.18,52589,6969,2.5043747425079346,0.00073,0.014582829549908638,49588,4.852838516235352,107.49271392822266
7,-256.00222199,1250,47.24,53081,7036,-0.9098067283630371,0.00073,0.014840026386082172,50080,3.504706382751465,105.06257629394531
7,-251.51613622000005,1260,47.27,53554,7101,-1.2238553762435913,0.00073,0.01492290012538433,50553,5.050015449523926,107.35015106201172
7,-254.76861634999997,1270,46.86,54001,7163,6.391008377075195,0.00073,0.015232031233608723,51000,3.501464605331421,108.98210906982422
7,-255.59502072999996,1280,46.53,54463,7226,10.195881843566895,0.00073,0.015456747263669968,51462,3.954800605773926,110.37700653076172
7,-262.14955727999995,1290,46.55,54952,7294,3.398869752883911,0.00073,0.015095372684299946,51951,3.8556323051452637,106.75292205810547
7,-261.44653478,1300,46.37,55405,7355,3.9917960166931152,0.00073,0.014898108318448067,52404,4.380611419677734,107.94683837890625
7,-259.40092963,1310,46.61,55896,7421,-1.4437921047210693,0.00073,0.014596541412174702,52895,3.613459587097168,110.94744873046875
7,-263.75127609,1320,46.67,56382,7487,-0.7514084577560425,0.00073,0.015100664459168911,53381,4.109986782073975,111.07103729248047
7,-256.34297076999997,1330,46.95,56847,7551,2.1781466007232666,0.00073,0.014792789705097675,53846,4.262107849121094,106.03588104248047
7,-255.68258153000005,1340,47.19,57308,7614,1.6699941158294678,0.00073,0.01439974457025528,54307,3.5165042877197266,110.60296630859375
7,-261.78835641,1350,46.71,57752,7675,-10.420653343200684,0.00073,0.014397259801626205,54751,4.464463233947754,111.43436431884766
7,-265.87082467,1360,46.7,58224,7739,1.0300477743148804,0.00073,0.01498827338218689,55223,4.178931713104248,105.54398345947266
7,-262.69141477,1370,47.04,58705,7806,0.9031856060028076,0.00073,0.015307609923183918,55704,3.375854015350342,110.38336944580078
7,-262.7156269999999,1380,47.12,59175,7872,-5.680680274963379,0.00073,0.015743276104331017,56174,4.025332450866699,109.79536437988281
7,-259.63884983,1390,47.14,59666,7939,4.055195331573486,0.00073,0.015628710389137268,56665,4.36876916885376,110.45346069335938
7,-255.29343366999998,1400,47.35,60140,8004,-5.575359344482422,0.00073,0.015347844921052456,57139,3.7230405807495117,106.12696075439453
7,-255.22889421,1410,47.37,60633,8072,1.7995129823684692,0.00073,0.01505433488637209,57632,3.846344232559204,110.48678588867188
7,-250.73827408,1420,47.33,61115,8137,-6.735324859619141,0.00073,0.01494632288813591,58114,3.8180854320526123,109.02626037597656
7,-249.23491610000002,1430,47.45,61592,8201,-6.694844722747803,0.00073,0.015274295583367348,58591,4.105476379394531,107.80477905273438
7,-245.93318921000002,1440,47.64,62072,8265,-8.467952728271484,0.00073,0.01498787384480238,59071,3.997286319732666,105.58326721191406
7,-248.05815574,1450,47.92,62544,8330,5.0851216316223145,0.00073,0.015078956261277199,59543,3.7201128005981445,106.0701675415039
7,-247.88922927,1460,47.85,63009,8393,1.372352957725525,0.00073,0.014658828265964985,60008,3.441978693008423,108.86967468261719
7,-251.69924768,1470,47.85,63490,8458,-7.854253768920898,0.00073,0.014233244583010674,60489,3.85599422454834,106.7109603881836
7,-253.03197443999997,1480,48.09,63984,8525,-10.01876449584961,0.00073,0.015195033513009548,60983,3.9318346977233887,109.44683837890625
7,-249.31628415000003,1490,47.99,64465,8591,6.345183849334717,0.00073,0.016059258952736855,61464,3.9161133766174316,105.76341247558594
7,-248.68273829000006,1500,48.15,64955,8658,-0.5773587226867676,0.00073,0.015573029406368732,61954,4.537965297698975,108.29207611083984
7,-247.37419586999997,1510,47.89,65422,8722,14.438668251037598,0.00073,0.015149938873946667,62421,5.805839538574219,110.04197692871094
7,-248.67750715999998,1520,48.04,65919,8789,-5.687058448791504,0.00073,0.015106930397450924,62918,4.122807025909424,110.94135284423828
7,-250.55704151999998,1530,48.0,66392,8854,-8.82445240020752,0.00073,0.014991004019975662,63391,4.1043524742126465,112.5087661743164
7,-252.31122189999994,1540,47.65,66837,8915,-2.162405490875244,0.00073,0.014222057536244392,63836,3.7057085037231445,109.08381652832031
7,-251.40703889000005,1550,47.47,67291,8977,-0.607806921005249,0.00073,0.014151048846542835,64290,3.627074718475342,109.13056182861328
7,-252.50554509000003,1560,47.41,67750,9039,1.3314979076385498,0.00073,0.014844018034636974,64749,4.263356685638428,111.31707000732422
7,-251.29964748999998,1570,47.34,68224,9104,-1.6297895908355713,0.00073,0.014614439569413662,65223,4.544864654541016,110.12019348144531
7,-245.9939877,1580,47.31,68715,9170,-2.4738688468933105,0.00073,0.014660813845694065,65714,4.4123735427856445,110.57386779785156
7,-247.60445498000004,1590,47.34,69199,9236,-2.539170503616333,0.00073,0.014505834318697453,66198,4.370748519897461,110.59635925292969
7,-252.07968465000002,1600,47.13,69668,9299,-4.449111461639404,0.00073,0.01504098903387785,66667,4.425362586975098,108.03126525878906
7,-258.88162603,1610,47.23,70145,9363,-2.256295680999756,0.00073,0.013884378597140312,67144,4.136395454406738,109.83180236816406
7,-261.0444767700001,1620,47.12,70631,9429,6.3919854164123535,0.00073,0.01380128227174282,67630,4.485701560974121,110.62181091308594
7,-265.25550121,1630,47.03,71095,9491,-4.577719211578369,0.00073,0.014822996221482754,68094,4.18723201751709,111.69910430908203
7,-261.51250532,1640,47.54,71591,9557,6.839715957641602,0.00073,0.014725487679243088,68590,5.185853004455566,109.10655212402344
7,-254.82478723000003,1650,47.9,72081,9624,-5.785025596618652,0.00073,0.014509306289255619,69080,4.798694610595703,113.38727569580078
7,-246.18540903999997,1660,48.13,72563,9691,-0.2922605872154236,0.00073,0.014266431331634521,69562,3.7451369762420654,109.6172866821289
7,-246.86615386000003,1670,48.13,73037,9754,3.416491746902466,0.00073,0.014983492903411388,70036,4.809218406677246,113.70649719238281
7,-246.79834202,1680,48.03,73518,9818,0.8833358287811279,0.00073,0.014862850308418274,70517,3.8976614475250244,110.51917266845703
7,-239.93597118999998,1690,48.11,74010,9884,-3.863588571548462,0.00073,0.014963372610509396,71009,4.001350402832031,110.47080993652344
7,-234.57946578,1700,48.31,74499,9950,-1.1293410062789917,0.00073,0.014309939928352833,71498,3.7038536071777344,111.58946228027344
7,-227.10996138999997,1710,48.37,74982,10015,-1.16242516040802,0.00073,0.014447455294430256,71981,4.182963848114014,110.66165924072266
7,-225.93061008,1720,48.33,75464,10080,0.13704299926757812,0.00073,0.013955933041870594,72463,3.620910167694092,111.20779418945312
7,-224.68974892000003,1730,48.31,75926,10142,-3.903733253479004,0.00073,0.014779872260987759,72925,4.421881675720215,112.82675170898438
7,-226.14706807000002,1740,48.2,76411,10207,-9.814469337463379,0.00073,0.013868101872503757,73410,3.2888286113739014,113.21311950683594
7,-224.99264192,1750,48.14,76895,10272,-1.530104398727417,0.00073,0.014749000780284405,73894,4.723423004150391,113.43578338623047
7,-224.68587425,1760,48.22,77385,10339,-7.807289123535156,0.00073,0.014221610501408577,74384,4.095471382141113,115.15797424316406
7,-219.12111176,1770,48.14,77851,10402,-2.532315254211426,0.00073,0.014416790567338467,74850,4.29015588760376,112.72110748291016
7,-222.59429657,1780,47.95,78313,10464,-10.150443077087402,0.00073,0.014452051371335983,75312,5.231827735900879,113.35224151611328
7,-226.67949252,1790,47.81,78791,10529,-1.0621386766433716,0.00073,0.014537984505295753,75790,3.2131340503692627,112.85832977294922
7,-226.90968394000004,1800,47.7,79269,10595,3.5678162574768066,0.00073,0.014652678743004799,76268,4.202986717224121,114.76080322265625
7,-228.54344009000005,1810,47.57,79739,10658,5.060754776000977,0.00073,0.013894326984882355,76738,4.070439338684082,113.06853485107422
7,-224.16642531000002,1820,47.74,80238,10725,-1.1319570541381836,0.00073,0.013933995738625526,77237,3.3099119663238525,109.369140625
7,-216.40251005000002,1830,47.92,80718,10790,1.2014038562774658,0.00073,0.013805310241878033,77717,3.8499643802642822,118.5905990600586
7,-217.86807159,1840,47.61,81172,10851,-5.301613807678223,0.00073,0.014168353751301765,78171,4.05613899230957,112.65573120117188
7,-218.08385662,1850,47.61,81656,10915,-7.596061706542969,0.00073,0.013801722787320614,78655,3.7042160034179688,112.63871765136719
