time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/learning_rate
7,44680,-342.82177937,5789,1100,42.41,4.966845512390137,117.34770202636719,-1.6306116580963135,0.018697109073400497,41679,0.00073
7,45168,-335.0094044300001,5857,1110,43.06,4.917972087860107,116.13404083251953,8.820377349853516,0.019267931580543518,42167,0.00073
7,45619,-328.92546681000005,5921,1120,43.21,5.338418960571289,111.85829162597656,2.446300506591797,0.019277291372418404,42618,0.00073
7,46026,-328.03725657999996,5977,1130,43.34,5.005841255187988,115.47084045410156,-1.3743956089019775,0.018571296706795692,43025,0.00073
7,46469,-326.11941399999995,6038,1140,43.55,5.028310775756836,112.7060775756836,-2.1800055503845215,0.01889963075518608,43468,0.00073
7,46918,-322.03397259999997,6099,1150,43.57,5.618830680847168,114.25762939453125,-4.3876519203186035,0.019203046336770058,43917,0.00073
7,47367,-313.73760672000003,6162,1160,43.78,4.586307048797607,115.50617218017578,-2.6494154930114746,0.0192062146961689,44366,0.00073
7,47808,-315.61582854999995,6223,1170,43.89,5.773151397705078,108.1656723022461,0.1686314344406128,0.01935918629169464,44807,0.00073
7,48269,-317.29754920999994,6286,1180,44.32,5.318713188171387,113.10643005371094,-1.4711472988128662,0.01864462159574032,45268,0.00073
7,48702,-317.88747444,6345,1190,44.53,5.717087745666504,113.0822982788086,3.516360282897949,0.019283566623926163,45701,0.00073
7,49135,-316.80309511999997,6406,1200,44.55,6.232425689697266,109.8836669921875,12.076170921325684,0.017841510474681854,46134,0.00073
7,49577,-330.07293648,6468,1210,44.09,5.0085225105285645,112.88982391357422,1.7323997020721436,0.01777241937816143,46576,0.00073
7,50015,-329.86257918999996,6529,1220,43.96,6.544491291046143,112.33927154541016,-2.074493646621704,0.01892310380935669,47014,0.00073
7,50499,-327.05972201000003,6597,1230,44.73,6.439657211303711,109.5579605102539,0.09573155641555786,0.01899845339357853,47498,0.00073
7,50899,-322.39614715999994,6653,1240,44.3,6.965143203735352,117.27911376953125,-4.929384708404541,0.018846925348043442,47898,0.00073
7,51334,-322.23017706999997,6712,1250,44.16,5.621146202087402,116.9580307006836,-0.8744716644287109,0.01899847947061062,48333,0.00073
7,51814,-324.23279168000005,6779,1260,44.47,5.573322772979736,109.71880340576172,-2.0115251541137695,0.018695950508117676,48813,0.00073
7,52252,-319.09551751000004,6839,1270,44.44,5.854173183441162,111.82754516601562,-3.31467604637146,0.018720081076025963,49251,0.00073
7,52678,-319.00590421,6899,1280,44.09,5.50777530670166,111.64000701904297,-0.8056680560112,0.019538799300789833,49677,0.00073
7,53122,-321.36509035,6961,1290,44.2,6.842255592346191,113.39791870117188,7.020784854888916,0.02024461142718792,50121,0.00073
7,53586,-319.08392377999996,7025,1300,44.51,6.420745849609375,113.46691131591797,-3.1706390380859375,0.02078021876513958,50585,0.00073
7,54033,-313.13362992000003,7087,1310,44.56,6.592764854431152,105.99479675292969,-3.3682897090911865,0.02054947428405285,51032,0.00073
7,54431,-311.62838121,7141,1320,44.16,7.524279594421387,107.61721801757812,2.0992307662963867,0.02069695293903351,51430,0.00073
7,54822,-310.8951895899999,7194,1330,43.23,5.826111793518066,112.26922607421875,-4.657786846160889,0.02121550962328911,51821,0.00073
7,55212,-309.24763020999995,7247,1340,43.13,7.295288562774658,110.60919189453125,-0.026207268238067627,0.020942050963640213,52211,0.00073
7,55649,-310.34774441,7307,1350,43.15,7.9820733070373535,105.06060791015625,-3.2872233390808105,0.020831916481256485,52648,0.00073
7,56094,-306.20990511,7369,1360,42.8,7.029634952545166,108.02549743652344,-1.9893434047698975,0.020043298602104187,53093,0.00073
7,56555,-309.21840683000005,7434,1370,43.03,7.934541702270508,108.68659973144531,2.916557550430298,0.021102089434862137,53554,0.00073
7,56977,-309.2994336,7494,1380,42.99,6.474437236785889,102.7699203491211,5.1473541259765625,0.021069960668683052,53976,0.00073
7,57443,-308.90685976000003,7559,1390,43.21,8.808574676513672,109.98582458496094,-2.247140884399414,0.02207687683403492,54442,0.00073
7,57903,-314.21607231999997,7621,1400,43.17,8.734563827514648,107.284912109375,2.600337505340576,0.021716352552175522,54902,0.00073
7,58393,-313.27332262,7687,1410,43.6,8.331161499023438,105.11568450927734,2.946686029434204,0.022690551355481148,55392,0.00073
7,58856,-317.92012671,7748,1420,44.25,7.470211982727051,110.53565216064453,5.690381050109863,0.022617587819695473,55855,0.00073
7,59347,-324.94053607,7814,1430,45.25,13.345191955566406,93.93753051757812,0.18965065479278564,0.02353205904364586,56346,0.00073
7,59812,-325.72945949,7875,1440,46.0,8.166648864746094,102.15415954589844,6.31408166885376,0.023538075387477875,56811,0.00073
7,60242,-329.18301594,7932,1450,45.93,10.038867950439453,103.02184295654297,-9.371809005737305,0.02405952475965023,57241,0.00073
7,60694,-333.434801,7992,1460,46.0,9.918956756591797,92.77079772949219,3.955009698867798,0.02447308786213398,57693,0.00073
7,61190,-331.8519985600001,8058,1470,46.35,11.215570449829102,82.39002990722656,5.232630252838135,0.025334011763334274,58189,0.00073
7,61643,-330.4066147799999,8118,1480,46.66,11.477519989013672,88.03977966308594,8.158976554870605,0.02539145201444626,58642,0.00073
7,62104,-326.13910431000005,8178,1490,46.61,11.429990768432617,91.9399642944336,0.6619004011154175,0.02565303072333336,59103,0.00073
7,62545,-321.92460181,8237,1500,46.42,10.871944427490234,84.53044891357422,-0.6113495826721191,0.02685672603547573,59544,0.00073
7,62986,-321.92895644,8296,1510,45.93,13.525880813598633,92.79840087890625,3.511849880218506,0.02698385901749134,59985,0.00073
7,63459,-319.70785211,8360,1520,46.03,12.692792892456055,80.85171508789062,-4.051549434661865,0.02778114750981331,60458,0.00073
7,63920,-313.18460021,8421,1530,45.73,13.667821884155273,88.15164947509766,3.2153162956237793,0.027567122131586075,60919,0.00073
7,64374,-315.14848987,8481,1540,45.62,12.372627258300781,84.63008117675781,-8.459024429321289,0.0274379663169384,61373,0.00073
7,64836,-307.26668015,8543,1550,45.94,13.038135528564453,84.29757690429688,-1.4569724798202515,0.027433747425675392,61835,0.00073
7,65322,-303.7807939,8608,1560,46.28,11.991191864013672,80.72106170654297,0.01045757532119751,0.027605196461081505,62321,0.00073
7,65814,-307.41886008,8674,1570,46.24,15.794626235961914,78.25898742675781,-6.783889293670654,0.028174811974167824,62813,0.00073
7,66272,-301.09109409,8735,1580,46.29,12.761944770812988,81.10432434082031,-0.6701273918151855,0.028101734817028046,63271,0.00073
7,66760,-299.01495245999996,8800,1590,46.56,13.031556129455566,74.46936798095703,-2.4005508422851562,0.027650270611047745,63759,0.00073
7,67199,-299.84530452,8858,1600,46.54,18.832122802734375,76.23458099365234,2.4367077350616455,0.027699969708919525,64198,0.00073
7,67671,-298.8010275799999,8921,1610,46.85,15.978679656982422,78.04869842529297,-1.8333766460418701,0.02907841093838215,64670,0.00073
7,68116,-297.34082443,8979,1620,46.57,21.35172462463379,80.19320678710938,-6.264883518218994,0.02960890159010887,65115,0.00073
7,68599,-299.06638662999995,9043,1630,46.79,13.19217300415039,64.29696655273438,5.8534393310546875,0.030179232358932495,65598,0.00073
7,69084,-297.73651269,9108,1640,47.1,15.638150215148926,70.58842468261719,-2.705059051513672,0.03124055452644825,66083,0.00073
7,69522,-305.49182629,9165,1650,46.86,18.05133056640625,58.57373809814453,-4.8156843185424805,0.030956897884607315,66521,0.00073
7,69998,-307.3417703,9228,1660,46.76,18.24706268310547,63.40681457519531,-7.722672462463379,0.03259991854429245,66997,0.00073
7,70456,-303.61023744,9289,1670,46.42,20.435171127319336,63.640899658203125,1.08608877658844,0.031709346920251846,67455,0.00073
7,70913,-307.27828377,9351,1680,46.41,26.68111801147461,53.34745407104492,-5.485016345977783,0.0329945869743824,67912,0.00073
