time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
51000,510,6635,100.0,766.9141042099999,7,0.04107912257313728,0.00073,0.002434834837913513,1.025224208831787,-382.6542053222656,47999
52000,520,6775,100.0,767.4411321599999,7,0.04289260134100914,0.00073,-0.34541499614715576,1.2004714012145996,-383.86175537109375,48999
53000,530,6914,100.0,767.68629591,7,0.044392410665750504,0.00073,0.16809411346912384,0.5806909203529358,-384.4324645996094,49999
54000,540,7051,100.0,767.64577192,7,0.04314630851149559,0.00073,-1.6610928773880005,0.9827800989151001,-384.6302490234375,50999
55000,550,7191,100.0,767.9686242600002,7,0.03952906280755997,0.00073,-1.1310396194458008,1.404127597808838,-384.37005615234375,51999
56000,560,7330,100.0,768.01110812,7,0.04033065214753151,0.00073,-0.3698572814464569,0.4938247799873352,-383.94720458984375,52999
57000,570,7468,100.0,768.5762470500001,7,0.03735225275158882,0.00073,0.27480512857437134,1.2079052925109863,-385.11834716796875,53999
58000,580,7607,100.0,768.66092679,7,0.03833246976137161,0.00073,0.3368057608604431,0.8838050365447998,-385.4201965332031,54999
59000,590,7745,100.0,769.3461539499999,7,0.03652534633874893,0.00073,0.2347526252269745,0.427417516708374,-385.8138122558594,55999
60000,600,7887,100.0,769.4709693800002,7,0.0360204316675663,0.00073,-0.03574526309967041,1.2021061182022095,-387.2876281738281,56999
61000,610,8026,100.0,769.9526123299999,7,0.036652952432632446,0.00073,-0.8946186304092407,0.7448226809501648,-387.5855407714844,57999
62000,620,8169,100.0,770.5936085599999,7,0.035289205610752106,0.00073,-0.7383736371994019,0.4785879850387573,-386.93304443359375,58999
63000,630,8308,100.0,770.2703978,7,0.03517518937587738,0.00073,-0.753984808921814,1.0499829053878784,-385.7944030761719,59999
64000,640,8447,100.0,771.0723665500002,7,0.03604593127965927,0.00073,-0.1452515721321106,1.0707318782806396,-388.0211181640625,60999
65000,650,8586,100.0,771.27361512,7,0.03658082336187363,0.00073,0.6426828503608704,0.8309969902038574,-387.9789733886719,61999
66000,660,8723,100.0,771.8751142200001,7,0.03331449255347252,0.00073,-2.178685426712036,0.653022825717926,-387.8842468261719,62999
67000,670,8860,100.0,771.5918848599999,7,0.03378426283597946,0.00073,-0.07077878713607788,0.6593725681304932,-388.6332092285156,63999
68000,680,9000,100.0,771.91189754,7,0.03388405591249466,0.00073,1.9626295566558838,1.2867705821990967,-387.5444030761719,64999
69000,690,9139,100.0,771.9113657999999,7,0.0340837724506855,0.00073,0.2808261215686798,0.6810665130615234,-388.0297546386719,65999
70000,700,9278,100.0,771.9908128399999,7,0.030548453330993652,0.00073,-0.604291558265686,0.6802350282669067,-387.42913818359375,66999
71000,710,9417,100.0,771.9096482000001,7,0.03192539140582085,0.00073,0.25029438734054565,0.5543067455291748,-386.7537841796875,67999
72000,720,9557,100.0,771.6701882899999,7,0.03168526291847229,0.00073,-1.2887483835220337,0.5904202461242676,-388.9715576171875,68999
73000,730,9699,100.0,771.9913316899999,7,0.030416661873459816,0.00073,-0.3848136067390442,0.8820688724517822,-388.2911682128906,69999
74000,740,9839,100.0,771.7933286099999,7,0.030239949002861977,0.00073,0.09379706531763077,0.7293508052825928,-387.64862060546875,70999
75000,750,9978,100.0,771.95715158,7,0.03007420524954796,0.00073,0.9990113973617554,0.5549566745758057,-388.5011901855469,71999
76000,760,10119,100.0,772.0793525299999,7,0.028815265744924545,0.00073,-0.48416972160339355,0.686732828617096,-389.4580993652344,72999
77000,770,10258,100.0,772.8037179999999,7,0.029830170795321465,0.00073,1.1760172843933105,0.9603708982467651,-388.02532958984375,73999
