time/time_elapsed,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates
2481,8,20035,950,23.94,-12.670755770000003,0.00073,-5.317833423614502,0.5438232421875,3.389946460723877,0.009340859018266201,17034
2512,8,20254,960,23.9,-12.643357660000001,0.00073,-4.695152282714844,0.5651589632034302,7.179503440856934,0.008941934444010258,17253
2540,8,20453,970,22.49,-11.996831840000002,0.00073,-3.685460329055786,0.5328880548477173,3.269197940826416,0.009018669836223125,17452
2570,8,20670,980,21.86,-11.499689109999997,0.00073,-2.734177350997925,0.4916853904724121,-14.442737579345703,0.008652945049107075,17669
2610,8,20953,990,22.72,-11.88972395,0.00073,-4.142071723937988,0.6426582336425781,-13.415770530700684,0.00878222193568945,17952
2652,8,21260,1000,23.63,-12.140418239999999,0.00073,-3.967735767364502,0.4600687026977539,1.3976449966430664,0.00814697053283453,18259
2679,8,21453,1010,23.26,-11.950814890000002,0.00073,-3.1630938053131104,0.5135507583618164,-3.241638660430908,0.008241821080446243,18452
2711,7,21686,1020,23.67,-11.965811549999998,0.00073,-2.4430887699127197,0.6573799252510071,-9.964499473571777,0.008408485911786556,18685
2742,7,21913,1030,23.66,-12.223458779999998,0.00073,-2.493405342102051,0.504100501537323,-14.541094779968262,0.007878096774220467,18912
2773,7,22138,1040,23.06,-12.288596309999997,0.00073,-2.203336238861084,0.5466016530990601,-8.751161575317383,0.007714904844760895,19137
2800,7,22330,1050,22.95,-12.363334179999997,0.00073,-2.0507328510284424,0.4602702260017395,-18.556623458862305,0.007467928342521191,19329
2840,7,22627,1060,23.73,-12.705846889999998,0.00073,-1.651289701461792,0.40930843353271484,1.2175722122192383,0.00734399538487196,19626
2871,7,22845,1070,23.92,-12.643574899999999,0.00073,-2.2049436569213867,0.3893764019012451,12.959012031555176,0.0071843951009213924,19844
2911,7,23135,1080,24.65,-13.244072590000004,0.00073,-1.498515248298645,0.3701431155204773,-5.27846622467041,0.0065317354165017605,20134
2947,7,23399,1090,24.46,-13.102060949999998,0.00073,-0.4127330183982849,0.2771553099155426,-6.0597944259643555,0.0063200341537594795,20398
2981,7,23647,1100,23.87,-12.699449379999999,0.00073,-1.150295376777649,0.3012007474899292,6.30463171005249,0.00610748678445816,20646
3008,7,23834,1110,23.81,-12.4506071,0.00073,-1.106960654258728,0.2792987823486328,7.4685163497924805,0.005890104919672012,20833
3035,7,24026,1120,23.4,-12.216142660000004,0.00073,-0.5513063669204712,0.30912262201309204,-0.9770680069923401,0.005701679270714521,21025
3070,7,24277,1130,23.64,-11.89702133,0.00073,0.10044057667255402,0.3101930022239685,5.33609676361084,0.005670193117111921,21276
3108,7,24549,1140,24.11,-11.9683381,0.00073,-0.241125226020813,0.344740092754364,-6.4397382736206055,0.0055430494248867035,21548
3137,7,24757,1150,24.27,-12.07516657,0.00073,0.1907898485660553,0.2266031950712204,4.20382833480835,0.0055408719927072525,21756
3172,7,25015,1160,23.88,-12.055775740000001,0.00073,0.5535093545913696,0.21636223793029785,-5.051648139953613,0.005161246284842491,22014
3210,7,25291,1170,24.46,-12.342097330000001,0.00073,0.8685856461524963,0.19956231117248535,5.205122947692871,0.0050949049182236195,22290
