time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
7,510,200.0,14046,98658,555.86489573,-376.7295227050781,0.00073,0.0710928663611412,95657,-5.635605812072754,47.37430191040039
7,520,200.0,14372,100658,586.2705615899999,-418.1231384277344,0.00073,0.06930464506149292,97657,-4.948413372039795,70.68389892578125
6,530,200.0,14687,102658,652.35142314,-429.7090759277344,0.00073,0.06741941720247269,99657,-2.6670472621917725,74.65937042236328
6,540,200.0,14978,104658,672.59958768,-423.97637939453125,0.00073,0.06927841156721115,101657,-7.01334285736084,53.74700164794922
6,550,200.0,15271,106658,684.04739195,-401.72833251953125,0.00073,0.06660028547048569,103657,0.7321348190307617,61.10010528564453
6,560,200.0,15565,108658,624.94117635,-409.5632629394531,0.00073,0.06569290906190872,105657,-9.850232124328613,46.14137268066406
6,570,200.0,15858,110658,698.3668127900002,-380.94073486328125,0.00073,0.06625297665596008,107657,1.1614524126052856,48.86534118652344
6,580,200.0,16144,112658,736.99020362,-394.293701171875,0.00073,0.06243244558572769,109657,-1.767218828201294,50.95660400390625
6,590,200.0,16417,114658,687.58904344,-381.3729248046875,0.00073,0.0628373771905899,111657,-4.7298808097839355,59.70036315917969
6,600,200.0,16698,116658,650.55697913,-398.941162109375,0.00073,0.06123800203204155,113657,-3.1132354736328125,53.42482376098633
6,610,200.0,16975,118658,660.2189301200001,-401.52410888671875,0.00073,0.06219387799501419,115657,0.9633779525756836,52.03861999511719
6,620,200.0,17280,120658,598.37114417,-400.5211181640625,0.00073,0.061304088681936264,117657,-7.8097429275512695,48.6883544921875
6,630,198.75,17573,122533,509.09956260000007,-397.2010803222656,0.00073,0.060761138796806335,119532,1.0167474746704102,58.55900955200195
6,640,198.75,17875,124533,504.12479049999996,-383.79022216796875,0.00073,0.06196159869432449,121532,1.3756520748138428,68.70535278320312
6,650,198.75,18188,126533,437.69810315999996,-390.10638427734375,0.00073,0.06072471663355827,123532,1.4092634916305542,57.682586669921875
6,660,198.75,18502,128533,484.91241199999996,-371.3222961425781,0.00073,0.05985546112060547,125532,2.4049088954925537,61.62709045410156
6,670,198.75,18819,130533,453.49652537,-372.5970458984375,0.00073,0.06024999916553497,127532,-0.8715099096298218,63.89849853515625
6,680,198.75,19135,132533,465.7073920700001,-390.41473388671875,0.00073,0.060814112424850464,129532,-5.928014278411865,54.38771057128906
6,690,198.75,19441,134533,503.91222991999996,-383.9394836425781,0.00073,0.0601494275033474,131532,1.9835766553878784,68.9797592163086
6,700,198.75,19747,136533,470.79982832,-394.122314453125,0.00073,0.05783183127641678,133532,-4.940058708190918,57.702964782714844
6,710,198.75,20053,138533,529.4317588300001,-391.615234375,0.00073,0.057667478919029236,135532,-4.476083755493164,55.65431594848633
6,720,198.75,20363,140533,599.7172014,-389.1534118652344,0.00073,0.056587547063827515,137532,-2.12272572517395,58.874778747558594
6,730,200.0,20679,142533,651.3148389400001,-390.324951171875,0.00073,0.05700867623090744,139532,2.7497661113739014,67.32974243164062
6,740,200.0,20991,144533,560.39900728,-381.0584411621094,0.00073,0.057951901108026505,141532,-0.3288942575454712,52.98578643798828
6,750,200.0,21297,146533,617.74283632,-412.92144775390625,0.00073,0.055636756122112274,143532,1.702542781829834,55.40825271606445
6,760,200.0,21613,148533,631.25918173,-408.6663513183594,0.00073,0.0562773123383522,145532,-7.634198188781738,78.47175598144531
6,770,200.0,21934,150533,631.5465597900001,-394.197021484375,0.00073,0.0557527169585228,147532,-8.979448318481445,52.513580322265625
6,780,200.0,22251,152533,648.7416686400001,-410.75238037109375,0.00073,0.05582362413406372,149532,-6.985328197479248,50.36835479736328
6,790,200.0,22558,154533,690.5113091200001,-406.4985656738281,0.00073,0.05447467416524887,151532,3.264993906021118,99.69398498535156
6,800,200.0,22849,156533,742.8151777399997,-394.7892761230469,0.00073,0.05589704588055611,153532,-0.22479701042175293,53.48222351074219
6,810,200.0,23138,158533,688.59759738,-386.7855529785156,0.00073,0.05591834709048271,155532,7.0256733894348145,52.13164520263672
6,820,200.0,23432,160533,762.54839502,-400.46173095703125,0.00073,0.05592765286564827,157532,0.7803813219070435,61.42475891113281
6,830,200.0,23729,162533,732.1911475,-393.6703186035156,0.00073,0.05604764446616173,159532,2.6790261268615723,69.5086669921875
6,840,200.0,24017,164533,829.5430894899998,-396.4788818359375,0.00073,0.052352409809827805,161532,-1.8736786842346191,46.462547302246094
6,850,198.61,24282,166394,787.23823441,-386.3580627441406,0.00073,0.05368337780237198,163393,7.113738059997559,64.34071350097656
6,860,198.61,24601,168394,819.67776438,-383.911376953125,0.00073,0.052360933274030685,165393,3.4900684356689453,58.93514633178711
6,870,198.61,24922,170394,851.8929365700001,-384.5572509765625,0.00073,0.05334736779332161,167393,7.4761176109313965,79.82395935058594
6,880,198.61,25245,172394,824.4047165000001,-383.2158203125,0.00073,0.0534224770963192,169393,3.8654446601867676,54.19346618652344
6,890,198.61,25562,174394,865.5377769,-392.13946533203125,0.00073,0.05096224322915077,171393,-1.617371916770935,59.1375732421875
6,900,198.61,25875,176394,866.7028072299998,-420.3974609375,0.00073,0.05366514250636101,173393,-0.763189435005188,58.836082458496094
6,910,198.61,26183,178394,894.0071482899999,-414.64788818359375,0.00073,0.053503189235925674,175393,-5.296295642852783,57.91245651245117
6,920,198.61,26491,180394,887.3919082299998,-410.0539855957031,0.00073,0.05363721773028374,177393,-6.428457260131836,47.27350997924805
6,930,198.61,26806,182394,879.2381193800002,-412.0443420410156,0.00073,0.050834134221076965,179393,-4.898241996765137,58.6687126159668
