time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss
7,476000,66780,392.01352505,100.0,4760,0.02591312676668167,472999,0.00073,1.4120510816574097,3.3729770183563232,-212.54722595214844
7,477000,66924,410.24942633,100.0,4770,0.0263283159583807,473999,0.00073,1.0217845439910889,1.2559854984283447,-218.57687377929688
7,478000,67067,442.52415204,100.0,4780,0.02711476758122444,474999,0.00073,1.2341482639312744,-1.1624723672866821,-223.79832458496094
7,479000,67209,467.22045888,100.0,4790,0.03151390329003334,475999,0.00073,2.463240146636963,-0.9262502193450928,-233.91473388671875
7,480000,67352,424.99889812000004,100.0,4800,0.10264410078525543,476999,0.00073,19.599592208862305,43.41831970214844,-617.2423095703125
7,481000,67498,360.92136937,100.0,4810,0.104363352060318,477999,0.00073,4.767351150512695,-25.095436096191406,-523.960205078125
7,482000,67643,289.35241318,100.0,4820,0.061808180063962936,478999,0.00073,3.445181131362915,-30.500341415405273,-413.8730773925781
7,483000,67793,257.88624130999995,100.0,4830,0.045674026012420654,479999,0.00073,4.548150539398193,-1.1114449501037598,-356.3350524902344
7,484000,67949,239.44155058,100.0,4840,0.04084540903568268,480999,0.00073,3.9999101161956787,5.614914894104004,-325.40594482421875
7,485000,68097,192.38254329999995,100.0,4850,0.04689667373895645,481999,0.00073,2.406649112701416,-16.02899932861328,-313.3263854980469
7,486000,68244,177.13223056999996,100.0,4860,0.027597542852163315,482999,0.00073,1.870219349861145,-1.7143750190734863,-284.23309326171875
7,487000,68390,162.45154383000002,100.0,4870,0.027611225843429565,483999,0.00073,2.279165267944336,5.762634754180908,-274.3524169921875
7,488000,68538,159.86090274000003,100.0,4880,0.02641366794705391,484999,0.00073,2.2985572814941406,-3.6065824031829834,-267.6426696777344
7,489000,68685,162.99125,100.0,4890,0.027439700439572334,485999,0.00073,2.201904058456421,-1.98307204246521,-260.7147216796875
7,490000,68838,234.40998245,100.0,4900,0.026927471160888672,486999,0.00073,1.6724176406860352,2.049549102783203,-256.90228271484375
7,491000,68984,318.16180036,100.0,4910,0.028347527608275414,487999,0.00073,1.8248472213745117,3.2669851779937744,-255.32943725585938
7,492000,69131,400.1079555500001,100.0,4920,0.029620515182614326,488999,0.00073,1.783984661102295,-2.068300724029541,-252.95501708984375
7,493000,69277,440.3735636100001,100.0,4930,0.03045203536748886,489999,0.00073,1.986480712890625,-3.826000690460205,-255.48175048828125
7,494000,69422,459.35975502,100.0,4940,0.02925690822303295,490999,0.00073,1.6202648878097534,5.454790115356445,-251.42466735839844
7,495000,69568,540.6355255599999,100.0,4950,0.030337445437908173,491999,0.00073,1.8347840309143066,-3.6533164978027344,-251.35989379882812
7,496000,69715,585.6776082499999,100.0,4960,0.02969316765666008,492999,0.00073,2.203059673309326,-2.725330352783203,-249.05508422851562
7,497000,69861,607.66386747,100.0,4970,0.03076554276049137,493999,0.00073,1.4746530055999756,-1.7224547863006592,-250.03570556640625
7,498000,70007,614.23638928,100.0,4980,0.030342327430844307,494999,0.00073,1.3968713283538818,3.3773903846740723,-250.62303161621094
7,499000,70153,618.52295991,100.0,4990,0.02980976738035679,495999,0.00073,1.3350703716278076,-2.440237522125244,-252.9070281982422
7,500000,70299,619.6548505000001,100.0,5000,0.029064714908599854,496999,0.00073,1.8906407356262207,9.619041442871094,-251.7406768798828
7,501000,70444,619.38581141,100.0,5010,0.031658660620450974,497999,0.00073,1.6002395153045654,-5.862294673919678,-252.61366271972656
7,502000,70590,621.2205653599999,100.0,5020,0.031263384968042374,498999,0.00073,1.5759958028793335,1.4100923538208008,-254.26182556152344
7,503000,70735,628.37077998,100.0,5030,0.030643364414572716,499999,0.00073,1.6746737957000732,0.7582793831825256,-255.42572021484375
7,504000,70882,643.45738861,100.0,5040,0.03171449899673462,500999,0.00073,1.6821725368499756,3.0861799716949463,-255.63995361328125
7,505000,71028,645.66018691,100.0,5050,0.03158384934067726,501999,0.00073,1.265414834022522,2.133429527282715,-257.6391906738281
7,506000,71178,647.28956935,100.0,5060,0.03197777271270752,502999,0.00073,1.5338151454925537,-7.045146942138672,-260.21148681640625
7,507000,71325,647.64287822,100.0,5070,0.03140785172581673,503999,0.00073,1.4753329753875732,-2.9668469429016113,-256.91729736328125
7,508000,71471,648.41607285,100.0,5080,0.030202452093362808,504999,0.00073,1.0865590572357178,-1.3446215391159058,-261.893798828125
7,509000,71615,649.1453909100001,100.0,5090,0.03130462393164635,505999,0.00073,1.1631932258605957,3.970832586288452,-259.629638671875
7,510000,71763,650.61686172,100.0,5100,0.03054778277873993,506999,0.00073,1.4470428228378296,-4.097334384918213,-259.0513916015625
7,511000,71909,652.78569838,100.0,5110,0.030824095010757446,507999,0.00073,1.507297158241272,1.1840476989746094,-261.5873107910156
7,512000,72055,653.8086579500001,100.0,5120,0.03079245239496231,508999,0.00073,1.1118088960647583,3.876265287399292,-264.319091796875
7,513000,72200,654.90436989,100.0,5130,0.029425736516714096,509999,0.00073,1.0893480777740479,-2.2965848445892334,-265.4720153808594
7,514000,72344,655.22506052,100.0,5140,0.02906237170100212,510999,0.00073,1.1526950597763062,-0.8561033010482788,-262.80352783203125
7,515000,72488,654.88722324,100.0,5150,0.02965550683438778,511999,0.00073,1.156294822692871,5.172982215881348,-264.01214599609375
7,516000,72632,655.2358598000001,100.0,5160,0.02947787381708622,512999,0.00073,0.9650657176971436,-4.568783283233643,-269.7104187011719
7,517000,72776,655.91844409,100.0,5170,0.028492428362369537,513999,0.00073,1.4073882102966309,6.186948299407959,-265.13812255859375
7,518000,72923,656.30174633,100.0,5180,0.029450954869389534,514999,0.00073,1.3311700820922852,-3.7945971488952637,-269.3204650878906
7,519000,73070,656.4402834800001,100.0,5190,0.02888333983719349,515999,0.00073,1.094056248664856,-1.3012750148773193,-269.4250793457031
7,520000,73216,656.50131372,100.0,5200,0.03016626089811325,516999,0.00073,1.053622841835022,2.4360880851745605,-268.5461730957031
7,521000,73362,656.2278021,100.0,5210,0.028480147942900658,517999,0.00073,1.0845521688461304,-1.5518922805786133,-269.8752136230469
7,522000,73510,655.3251963499999,100.0,5220,0.029049722477793694,518999,0.00073,1.4319512844085693,1.9781862497329712,-268.1387634277344
7,523000,73657,655.43371698,100.0,5230,0.028496049344539642,519999,0.00073,1.3074628114700317,5.321765899658203,-266.2331237792969
7,524000,73804,655.4606369100001,100.0,5240,0.029013847932219505,520999,0.00073,1.1015920639038086,1.0286020040512085,-270.9974365234375
