time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
4089,-259.64973306999997,46.76,8,33415,780,30414,-5.090114116668701,4.32049560546875,0.00073,99.89602661132812,0.017214173451066017
4155,-260.76762469,46.74,8,33906,790,30905,-4.225680351257324,3.4115006923675537,0.00073,100.21565246582031,0.01789083704352379
4221,-258.94726001,46.83,8,34396,800,31395,-4.773503303527832,3.2774291038513184,0.00073,95.86944580078125,0.018075818195939064
4283,-250.32126894,47.13,8,34866,810,31865,0.8000552654266357,2.9109814167022705,0.00073,99.35832214355469,0.01795928366482258
4346,-250.53096643,47.11,8,35334,820,32333,-2.8559389114379883,3.21907639503479,0.00073,102.21001434326172,0.01702629029750824
4408,-250.94569380000004,46.94,8,35801,830,32800,4.1572089195251465,4.128329753875732,0.00073,98.21588134765625,0.016510404646396637
4472,-249.73000889999994,46.97,8,36280,840,33279,-3.5265684127807617,4.223196983337402,0.00073,102.42700958251953,0.0165665615350008
4535,-257.13814686999996,46.99,8,36760,850,33759,8.608325004577637,3.008882522583008,0.00073,100.09507751464844,0.01651206612586975
4596,-254.69068768999998,46.99,8,37217,860,34216,9.280158996582031,3.741774559020996,0.00073,101.57173919677734,0.016164064407348633
4657,-252.02850803,47.15,8,37678,870,34677,0.08172643184661865,3.2755980491638184,0.00073,98.99275207519531,0.016767926514148712
4719,-245.17319621000001,47.22,8,38137,880,35136,9.971329689025879,3.3321104049682617,0.00073,100.82872009277344,0.016747597604990005
4781,-244.14694075,46.95,8,38601,890,35600,0.3655052185058594,3.550950050354004,0.00073,103.82474517822266,0.016225047409534454
4839,-246.45509669,46.42,8,39038,900,36037,-1.692847728729248,3.355341911315918,0.00073,102.65394592285156,0.01678626239299774
4906,-251.9861047,46.6,8,39526,910,36525,-2.8751566410064697,4.223882675170898,0.00073,103.82884979248047,0.016990143805742264
4970,-246.34578655999996,46.62,8,39996,920,36995,-1.0919923782348633,3.941256046295166,0.00073,102.97801971435547,0.016357362270355225
5030,-243.72347677000002,46.44,8,40445,930,37444,0.419528603553772,3.243941307067871,0.00073,102.90229034423828,0.016179826110601425
5089,-249.43521516,46.08,8,40888,940,37887,-0.21423444151878357,3.056149959564209,0.00073,103.58845520019531,0.016536759212613106
5155,-240.68880751,46.16,8,41376,950,38375,-2.6811156272888184,3.2210941314697266,0.00073,98.86416625976562,0.01679946668446064
5216,-243.78877372,46.15,8,41832,960,38831,3.3256161212921143,3.0379295349121094,0.00073,101.15399169921875,0.01673959009349346
5281,-241.98969157999997,46.39,8,42317,970,39316,1.9571305513381958,3.3254880905151367,0.00073,100.84213256835938,0.016813619062304497
5345,-239.74749120000004,46.65,8,42802,980,39801,6.614104270935059,3.8645172119140625,0.00073,101.87525939941406,0.01651150733232498
5410,-240.83210859000002,46.83,8,43284,990,40283,-8.291045188903809,3.555975914001465,0.00073,98.241455078125,0.016347764059901237
5470,-239.08247791000002,46.91,7,43729,1000,40728,0.5929064750671387,4.243858337402344,0.00073,98.47018432617188,0.016161615028977394
5532,-238.81436922000003,46.66,7,44192,1010,41191,0.43980512022972107,4.13229513168335,0.00073,102.58170318603516,0.01660304144024849
5596,-237.74333953999994,46.71,7,44667,1020,41666,-15.194772720336914,3.1169536113739014,0.00073,99.99057006835938,0.01646358147263527
5662,-236.79790318,47.06,7,45151,1030,42150,4.351773262023926,3.6556758880615234,0.00073,100.88838958740234,0.01705888658761978
5726,-233.75051704,47.4,7,45628,1040,42627,-6.270730495452881,3.879016876220703,0.00073,98.04560852050781,0.01670057885348797
5787,-237.27612663,47.08,7,46084,1050,43083,12.283336639404297,4.090636253356934,0.00073,104.75020599365234,0.01615024358034134
5852,-229.30332109,47.38,7,46570,1060,43569,-4.496301651000977,2.8662519454956055,0.00073,99.39366912841797,0.015924008563160896
5919,-225.58998142000004,47.53,7,47070,1070,44069,-6.809039115905762,3.31547212600708,0.00073,98.3717269897461,0.016302404925227165
5983,-226.12011058999997,47.43,7,47545,1080,44544,3.8766167163848877,6.387678623199463,0.00073,96.24638366699219,0.016008827835321426
6046,-222.99593000999997,47.32,7,48016,1090,45015,5.348018646240234,3.5022034645080566,0.00073,98.91207885742188,0.01592397689819336
6107,-224.27418466,47.37,7,48466,1100,45465,6.742190361022949,5.445253372192383,0.00073,102.51305389404297,0.016463691368699074
6168,-222.56283496000003,47.29,7,48921,1110,45920,8.073873519897461,3.5536608695983887,0.00073,97.34918212890625,0.016351232305169106
6235,-222.23514519,47.47,7,49414,1120,46413,-6.818752288818359,3.6904828548431396,0.00073,98.41606140136719,0.01656481623649597
6297,-225.49768841000002,47.22,7,49873,1130,46872,4.094992637634277,4.272403717041016,0.00073,97.49480438232422,0.016329806298017502
6361,-225.82343368,47.12,7,50340,1140,47339,3.9386117458343506,3.8302018642425537,0.00073,99.72877502441406,0.01660015992820263
6424,-229.75619391,47.28,7,50812,1150,47811,-4.072327613830566,3.473681926727295,0.00073,102.14016723632812,0.016572684049606323
6489,-230.20973017,47.19,7,51289,1160,48288,7.694115161895752,3.6621804237365723,0.00073,102.81661987304688,0.01602332293987274
6555,-234.75932641,47.08,7,51778,1170,48777,0.05807763338088989,4.017597675323486,0.00073,102.27435302734375,0.015673870220780373
6622,-231.86405847000003,47.33,7,52278,1180,49277,8.864981651306152,4.253418922424316,0.00073,104.41840362548828,0.015311486087739468
6686,-234.34512454000003,47.32,7,52748,1190,49747,-6.523402214050293,3.3092498779296875,0.00073,101.66769409179688,0.01548569556325674
6746,-238.11520352000002,47.26,7,53192,1200,50191,-6.3471856117248535,2.788285732269287,0.00073,101.65543365478516,0.015498016960918903
6808,-240.26834313,47.24,7,53645,1210,50644,13.844584465026855,3.742490291595459,0.00073,103.00416564941406,0.0153443468734622
6871,-248.45757601000003,46.88,7,54102,1220,51101,-6.605700492858887,3.5949933528900146,0.00073,104.3738784790039,0.015375731512904167
6936,-249.58476717999994,47.07,7,54580,1230,51579,-3.7717442512512207,3.769956111907959,0.00073,105.2644271850586,0.01617472805082798
7001,-249.543774,47.24,7,55064,1240,52063,-6.576369762420654,3.622410297393799,0.00073,103.58854675292969,0.01578325591981411
7067,-248.38676444000004,47.42,7,55554,1250,52553,-4.479561805725098,4.4156084060668945,0.00073,102.61783599853516,0.01632230170071125
7129,-253.36746986000006,47.16,7,56005,1260,53004,-2.9372549057006836,4.492875099182129,0.00073,101.11371612548828,0.016411935910582542
7191,-254.80331514999997,46.93,7,56471,1270,53470,-4.650574684143066,3.9319076538085938,0.00073,98.35903930664062,0.016605932265520096
7257,-259.54196695,46.82,7,56960,1280,53959,-1.4017183780670166,4.246742248535156,0.00073,95.74308776855469,0.016557930037379265
7321,-258.72646261999995,46.9,7,57438,1290,54437,8.983710289001465,4.811865329742432,0.00073,100.62195587158203,0.016713149845600128
7386,-252.39628775,47.31,7,57923,1300,54922,-1.2929322719573975,4.108682155609131,0.00073,98.8350830078125,0.01642530784010887
7453,-248.09707913999998,47.72,7,58417,1310,55416,10.222705841064453,4.000125885009766,0.00073,101.65705871582031,0.016266940161585808
7515,-244.26270959,47.81,7,58883,1320,55882,-5.567755699157715,5.591212749481201,0.00073,103.50579833984375,0.016405221074819565
7581,-238.36676490999997,47.91,7,59371,1330,56370,1.9560632705688477,4.0758185386657715,0.00073,97.43773651123047,0.01626143418252468
7647,-236.6018059,47.88,7,59852,1340,56851,2.6188998222351074,4.737982749938965,0.00073,99.41926574707031,0.017247062176465988
7713,-234.27695319999995,47.87,7,60341,1350,57340,7.129403114318848,4.457022666931152,0.00073,96.53079986572266,0.01704581081867218
7780,-228.36241166,48.27,7,60832,1360,57831,4.4731764793396,3.803867816925049,0.00073,97.65258026123047,0.01666223257780075
