time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
460,14635,8,-28.74183687,1637,43.82,0.022879352793097496,0.00073,-85.44003295898438,-16.049266815185547,1.7758668661117554,11634
470,15033,8,-28.20292349,1690,44.22,0.01977095566689968,0.00073,-76.35111999511719,-24.42625617980957,1.7816879749298096,12032
480,15355,8,-26.857579759999993,1734,43.83,0.018626468256115913,0.00073,-70.96682739257812,-1.23500394821167,1.841317892074585,12354
490,15828,8,-25.67930292,1798,44.38,0.016729798167943954,0.00073,-63.22743606567383,1.2886101007461548,1.7003535032272339,12827
500,16236,8,-26.079178549999998,1853,43.46,0.01531992107629776,0.00073,-55.21590805053711,-17.42832374572754,2.1019344329833984,13235
510,16736,8,-24.808506770000005,1920,43.46,0.01356782577931881,0.00073,-47.180419921875,-6.820220947265625,0.7535395622253418,13735
520,17236,8,-23.732783960000003,1988,43.46,0.012397064827382565,0.00073,-41.297874450683594,5.366164207458496,0.5834496021270752,14235
530,17736,8,-24.831871630000002,2056,44.31,0.01032522413879633,0.00073,-32.92737579345703,8.218461036682129,1.1813116073608398,14735
540,18232,8,-24.288407270000008,2122,44.37,0.008076761849224567,0.00073,-26.851442337036133,-5.364612579345703,0.31350386142730713,15231
550,18732,8,-22.20481628,2190,45.67,0.007048097439110279,0.00073,-21.23367691040039,0.22853922843933105,0.22437208890914917,15731
560,19150,8,-19.666485759999997,2246,45.15,0.006465086247771978,0.00073,-16.19082260131836,-3.667788505554199,0.21096646785736084,16149
570,19634,8,-18.154263309999997,2311,46.01,0.005518946796655655,0.00073,-12.751869201660156,-11.742134094238281,0.17786574363708496,16633
580,20122,8,-17.36958411,2377,47.67,0.004536911379545927,0.00073,-8.987865447998047,1.4200024604797363,0.1807658076286316,17121
590,20540,8,-15.740052249999998,2433,47.12,0.004231587518006563,0.00073,-6.018564701080322,-1.9007971286773682,0.12871995568275452,17539
600,21040,8,-13.541159529999998,2500,48.04,0.0036444314755499363,0.00073,-3.075413465499878,4.838850021362305,0.10833345353603363,18039
610,21531,8,-13.22364197,2566,47.95,0.0034103929065167904,0.00073,-1.2042118310928345,8.973654747009277,0.1309790015220642,18530
620,21994,8,-13.3288778,2628,47.58,0.0031568845734000206,0.00073,0.37993061542510986,1.8964126110076904,0.11127356439828873,18993
630,22494,8,-12.43660718,2696,47.58,0.003024699864909053,0.00073,1.2775001525878906,-15.079767227172852,0.09492933750152588,19493
640,22974,8,-10.29971326,2760,47.42,0.002816530177369714,0.00073,2.213395118713379,6.214109420776367,0.0921282023191452,19973
650,23444,8,-9.51246813,2825,47.12,0.0028302825521677732,0.00073,2.9725866317749023,3.153510093688965,0.09238068759441376,20443
