rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef_loss,train/critic_loss,train/ent_coef
200.0,10957,7,83398,110.70928125000002,440,0.00073,-740.0712890625,80397,0.3786678910255432,295.5498046875,0.1576443314552307
200.0,11240,7,85398,146.59234882,450,0.00073,-716.805908203125,82397,0.4282833933830261,235.3517608642578,0.1518387794494629
200.0,11523,7,87398,224.08692841,460,0.00073,-665.0960693359375,84397,-0.6376473307609558,185.08184814453125,0.14661002159118652
200.0,11804,7,89398,216.46710824,470,0.00073,-674.1111450195312,86397,2.2054097652435303,215.1689453125,0.13715089857578278
200.0,12084,7,91398,277.64765199,480,0.00073,-636.0575561523438,88397,-1.2916958332061768,204.88626098632812,0.1338801085948944
200.0,12365,7,93398,349.71011210999995,490,0.00073,-599.7948608398438,90397,1.5536048412322998,145.15426635742188,0.12871484458446503
200.0,12647,7,95398,352.1645724999999,500,0.00073,-606.8609008789062,92397,-4.7318549156188965,165.15988159179688,0.12444672733545303
200.0,12928,7,97398,339.35228538,510,0.00073,-598.6341552734375,94397,-0.29197394847869873,150.280029296875,0.11882747709751129
200.0,13210,7,99398,348.25070206,520,0.00073,-564.9920654296875,96397,-3.8955636024475098,122.89227294921875,0.11355262249708176
200.0,13492,7,101398,382.4934588799999,530,0.00073,-560.6842041015625,98397,-2.112386703491211,114.20907592773438,0.11132108420133591
200.0,13774,7,103398,354.74313784000003,540,0.00073,-530.2636108398438,100397,2.4184837341308594,132.68829345703125,0.10648894309997559
200.0,14057,7,105398,337.98495247999995,550,0.00073,-521.9222412109375,102397,-3.155892848968506,137.705078125,0.10573667287826538
200.0,14341,7,107398,301.45929862,560,0.00073,-486.155517578125,104397,6.910867691040039,116.88736724853516,0.10512898117303848
200.0,14621,7,109398,276.68401821,570,0.00073,-517.5730590820312,106397,1.2026957273483276,124.37288665771484,0.09708187729120255
200.0,14898,7,111398,228.86196801000003,580,0.00073,-494.729736328125,108397,1.7959861755371094,142.57176208496094,0.09499124437570572
200.0,15177,7,113398,229.04019517,590,0.00073,-469.0794677734375,110397,0.8601313233375549,101.57518768310547,0.09371951967477798
200.0,15455,7,115398,341.14470162,600,0.00073,-472.02825927734375,112397,4.264174938201904,92.94725036621094,0.08855091035366058
200.0,15734,7,117398,361.46164240999997,610,0.00073,-430.4828796386719,114397,3.8031253814697266,102.40550231933594,0.0880884975194931
200.0,16014,7,119398,358.92390205,620,0.00073,-448.07037353515625,116397,-3.0562021732330322,97.87678527832031,0.08432076126337051
200.0,16290,7,121398,356.01037546,630,0.00073,-421.5137939453125,118397,5.343295574188232,108.0026626586914,0.08181016147136688
200.0,16565,7,123398,340.09115188,640,0.00073,-417.3620910644531,120397,-0.5067998170852661,95.48126220703125,0.08435720205307007
200.0,16845,7,125398,388.1555566300001,650,0.00073,-421.69708251953125,122397,-2.2253098487854004,106.01327514648438,0.07809866964817047
200.0,17129,7,127398,412.88745976999996,660,0.00073,-418.57183837890625,124397,-0.18041276931762695,89.32090759277344,0.07731663435697556
200.0,17412,7,129398,470.44109977999994,670,0.00073,-413.5624694824219,126397,-7.2804365158081055,78.64619445800781,0.07708898186683655
200.0,17696,7,131398,517.64449572,680,0.00073,-396.2044677734375,128397,-4.672099590301514,94.97364044189453,0.07600006461143494
200.0,17982,7,133398,485.93252670000004,690,0.00073,-392.2436218261719,130397,-3.191758871078491,83.93574523925781,0.07112209498882294
200.0,18264,7,135398,449.78778794000004,700,0.00073,-378.83782958984375,132397,-2.485081911087036,73.98665618896484,0.06850839406251907
200.0,18546,7,137398,477.41477929,710,0.00073,-395.42816162109375,134397,-0.12404346466064453,76.37142944335938,0.06936676800251007
200.0,18830,7,139398,454.4490513,720,0.00073,-379.65631103515625,136397,-1.117896318435669,91.11284637451172,0.0668894350528717
200.0,19115,7,141398,472.60118779000004,730,0.00073,-367.94537353515625,138397,6.603710174560547,74.48478698730469,0.06668912619352341
200.0,19401,7,143398,538.3840315900001,740,0.00073,-372.34063720703125,140397,-6.391050815582275,87.0552978515625,0.06406833231449127
200.0,19688,7,145398,521.64753538,750,0.00073,-347.8129577636719,142397,-3.2116575241088867,79.44256591796875,0.06075243279337883
200.0,19974,7,147398,538.69618662,760,0.00073,-371.2209777832031,144397,-0.8462684154510498,72.95671081542969,0.06158557906746864
200.0,20267,7,149398,620.94573193,770,0.00073,-380.837646484375,146397,-4.8637213706970215,69.57988739013672,0.06251859664916992
