rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss
-344.55313672000005,42000,7,420,100.0,5539,0.5776783227920532,38999,-3372.998046875,0.00073,818.7391967773438,0.9565072059631348
-343.0276196,43000,7,430,100.0,5679,0.5262513756752014,39999,-3087.59326171875,0.00073,806.6023559570312,0.8470666408538818
-344.37674882000005,44000,7,440,100.0,5821,0.47393709421157837,40999,-2742.54638671875,0.00073,638.4190673828125,-0.30167049169540405
-341.97887658,45000,7,450,100.0,5966,0.4096090793609619,41999,-2485.03662109375,0.00073,454.90496826171875,1.1846182346343994
-341.7976642599999,46000,7,460,100.0,6110,0.3698003590106964,42999,-2210.965576171875,0.00073,387.44586181640625,0.6617227792739868
-341.8278494399999,47000,7,470,100.0,6258,0.32822611927986145,43999,-1960.326171875,0.00073,349.89483642578125,-0.7097716331481934
-342.77895071000006,48000,7,480,100.0,6402,0.29023271799087524,44999,-1717.1834716796875,0.00073,261.37152099609375,-1.7373404502868652
-341.25603839,49000,7,490,100.0,6547,0.2568511366844177,45999,-1530.347412109375,0.00073,223.31887817382812,-0.7843374013900757
-341.75437485000003,50000,7,500,100.0,6689,0.22078126668930054,46999,-1356.5216064453125,0.00073,160.1468048095703,4.587831497192383
-345.71462068000005,51000,7,510,100.0,6838,0.1930387318134308,47999,-1187.8729248046875,0.00073,125.71337890625,-0.4806702733039856
-343.03643469,52000,7,520,100.0,6986,0.17013414204120636,48999,-1012.021728515625,0.00073,105.73477172851562,-1.674822211265564
-343.42096425999995,53000,7,530,100.0,7135,0.14807018637657166,49999,-889.2382202148438,0.00073,89.98152160644531,-0.1267157793045044
-341.99351181,54000,7,540,100.0,7286,0.13186310231685638,50999,-758.23681640625,0.00073,64.91838073730469,0.3399578034877777
-343.50674712000006,55000,7,550,100.0,7441,0.11217228323221207,51999,-660.1305541992188,0.00073,61.16986083984375,-3.0826430320739746
-345.37316252999995,56000,7,560,100.0,7594,0.09971743822097778,52999,-569.1611938476562,0.00073,42.306793212890625,-2.1424317359924316
-345.54041985,57000,7,570,100.0,7743,0.0839303508400917,53999,-469.90679931640625,0.00073,39.75769805908203,0.7803089618682861
-343.8364529000001,58000,7,580,100.0,7893,0.07225192338228226,54999,-408.5372314453125,0.00073,23.998634338378906,-3.2256717681884766
-342.2567336,59000,7,590,100.0,8042,0.06050590053200722,55999,-333.0835876464844,0.00073,17.67394256591797,1.127091884613037
-342.20760763999994,60000,7,600,100.0,8192,0.052067242562770844,56999,-276.5885009765625,0.00073,17.570505142211914,-6.170098781585693
-340.77848875999996,61000,7,610,100.0,8341,0.044032175093889236,57999,-226.45797729492188,0.00073,13.884203910827637,-4.823523044586182
-340.51202803,62000,7,620,100.0,8488,0.03639072924852371,58999,-176.54176330566406,0.00073,11.300090789794922,-4.60234260559082
-338.47921144,63000,7,630,100.0,8634,0.02992427721619606,59999,-134.5243682861328,0.00073,7.581233978271484,-7.6510114669799805
-338.13152163,64000,7,640,100.0,8783,0.02467033639550209,60999,-97.18251037597656,0.00073,7.011321544647217,-2.088674306869507
-337.95768955,65000,7,650,100.0,8934,0.02098732627928257,61999,-61.655921936035156,0.00073,5.119776248931885,-5.259620189666748
-335.2465234,66000,7,660,100.0,9086,0.017154879868030548,62999,-35.88486099243164,0.00073,3.7213101387023926,-0.6560759544372559
-333.15322165,67000,7,670,100.0,9238,0.014358817599713802,63999,-10.639968872070312,0.00073,3.905869483947754,-1.7850757837295532
-332.2585435100001,68000,7,680,100.0,9390,0.012560645118355751,64999,6.169920921325684,0.00073,2.922288656234741,-2.5556304454803467
-329.94310382000003,69000,7,690,100.0,9541,0.011417243629693985,65999,22.446857452392578,0.00073,2.3134143352508545,4.767197608947754
-326.06567394999996,70000,7,700,100.0,9693,0.009602846577763557,66999,36.35678482055664,0.00073,2.513768196105957,3.802008867263794
-321.31854639,71000,7,710,100.0,9843,0.008597983978688717,67999,44.328125,0.00073,1.8762686252593994,-6.828894138336182
-318.50849688,72000,7,720,100.0,9992,0.007798762060701847,68999,54.316341400146484,0.00073,2.0331573486328125,-0.33561980724334717
-317.25515828000005,73000,7,730,100.0,10196,0.0075001963414251804,69999,61.65321350097656,0.00073,1.8849592208862305,-2.6653616428375244
-314.47458338999996,74000,7,740,100.0,10403,0.0068010203540325165,70999,66.98748779296875,0.00073,1.526376485824585,4.911613941192627
-307.45985836,75000,7,750,100.0,10611,0.006491015199571848,71999,74.09757995605469,0.00073,1.3839136362075806,0.9954371452331543
-304.67781035,76000,7,760,100.0,10825,0.006168651860207319,72999,75.89871215820312,0.00073,1.5291354656219482,-6.107583045959473
-300.66998114,77000,6,770,100.0,11004,0.006099710240960121,73999,77.94292449951172,0.00073,1.182741641998291,-5.383437633514404
-297.02913665999995,78000,6,780,100.0,11179,0.005871272645890713,74999,81.68106079101562,0.00073,1.451148509979248,-6.107194900512695
-296.06441868999997,79000,6,790,100.0,11359,0.005988177843391895,75999,82.6341552734375,0.00073,1.0683765411376953,4.810504913330078
-294.28592484,80000,6,800,100.0,11524,0.0055816699750721455,76999,84.29328155517578,0.00073,1.0864064693450928,-7.200194835662842
-292.78109637999995,81000,6,810,100.0,11672,0.005401344038546085,77999,84.91213989257812,0.00073,1.121808409690857,3.0224480628967285
-290.56951992999996,82000,6,820,100.0,11833,0.0052081444300711155,78999,87.77452087402344,0.00073,1.14910089969635,-6.5141425132751465
-288.92942809,83000,6,830,100.0,11995,0.0050049470737576485,79999,88.894287109375,0.00073,0.9758517742156982,-10.257713317871094
-287.9071269,84000,6,840,100.0,12157,0.00486714718863368,80999,91.09255981445312,0.00073,0.8275771737098694,-3.4404444694519043
-288.68058108,85000,6,850,100.0,12321,0.0048517449758946896,81999,92.74427795410156,0.00073,0.767612099647522,-0.8331587314605713
-288.11390102999997,86000,6,860,100.0,12476,0.00486038438975811,82999,92.28146362304688,0.00073,0.9116969108581543,-8.501753807067871
-287.27852475000003,87000,6,870,100.0,12635,0.004573400132358074,83999,95.13982391357422,0.00073,1.080451250076294,10.178048133850098
-286.09417345,88000,6,880,100.0,12781,0.004643434192985296,84999,97.70021057128906,0.00073,0.6960028409957886,5.480453968048096
-282.78062829000004,89000,6,890,100.0,12924,0.0046997289173305035,85999,95.6249008178711,0.00073,0.6821020841598511,-8.897378921508789
-281.16318428,90000,6,900,100.0,13072,0.004241622053086758,86999,97.34297180175781,0.00073,0.5699690580368042,-1.2884072065353394
-279.89436667999996,91000,6,910,100.0,13224,0.00409019086509943,87999,98.48452758789062,0.00073,0.6397111415863037,11.3254976272583
-279.14164364,92000,6,920,100.0,13389,0.004133105743676424,88999,99.4335708618164,0.00073,0.6538064479827881,8.213769912719727
-277.86798354,93000,6,930,100.0,13560,0.00413995236158371,89999,99.52788543701172,0.00073,0.6337485313415527,-2.2618236541748047
-276.63067786000005,94000,6,940,100.0,13734,0.004024749156087637,90999,103.15261840820312,0.00073,0.5127316117286682,-0.49765798449516296
-274.19983768,95000,6,950,100.0,13907,0.0040464517660439014,91999,101.8152084350586,0.00073,0.6299036145210266,6.782467842102051
-273.94569972,96000,6,960,100.0,14083,0.004135427996516228,92999,103.03013610839844,0.00073,0.5661100149154663,10.043305397033691
-272.34192477,97000,6,970,100.0,14261,0.003941492643207312,93999,103.12682342529297,0.00073,0.49352946877479553,7.8063178062438965
-272.75669146,98000,6,980,100.0,14439,0.003889887360855937,94999,104.94322967529297,0.00073,0.5334810018539429,-1.6093976497650146
-273.30114905000005,99000,6,990,100.0,14623,0.003749677911400795,95999,106.96147918701172,0.00073,0.5235931277275085,12.883996963500977
-272.73386530000005,100000,6,1000,100.0,14808,0.003726889844983816,96999,105.79418182373047,0.00073,0.5032921433448792,-10.380413055419922
-269.74296516000004,101000,6,1010,100.0,14996,0.003608708269894123,97999,105.24402618408203,0.00073,0.4128492474555969,-15.279555320739746
-269.44050023,102000,6,1020,100.0,15176,0.0034260894171893597,98999,107.6484375,0.00073,0.5048227310180664,26.07223892211914
-267.81874551,103000,6,1030,100.0,15351,0.003618761198595166,99999,106.10354614257812,0.00073,0.49274390935897827,8.71766471862793
-263.82659512000004,104000,6,1040,100.0,15529,0.003674181876704097,100999,107.76780700683594,0.00073,0.45060810446739197,6.898841381072998
-262.23969853,105000,6,1050,100.0,15715,0.0036741660442203283,101999,106.2232894897461,0.00073,0.4478185474872589,-2.0435709953308105
-259.30215219,106000,6,1060,100.0,15902,0.0036747967824339867,102999,107.010498046875,0.00073,0.4312901496887207,-14.114461898803711
-256.83868490000003,107000,6,1070,100.0,16085,0.0035206242464482784,103999,108.54425811767578,0.00073,0.5322881937026978,-0.30879586935043335
-253.95420529000003,108000,6,1080,100.0,16261,0.0037084517534822226,104999,108.12529754638672,0.00073,0.5214111804962158,-4.524248123168945
-252.35394218000002,109000,6,1090,100.0,16446,0.0036541030276566744,105999,106.51665496826172,0.00073,0.5089930295944214,0.5659031867980957
-253.11230290000003,110000,6,1100,100.0,16610,0.0038294836413115263,106999,106.820556640625,0.00073,0.47806215286254883,-8.560050964355469
-253.06903537,111000,6,1110,100.0,16767,0.003742691595107317,107999,106.20550537109375,0.00073,0.46552419662475586,0.006762146949768066
-249.49288930999995,112000,6,1120,100.0,16928,0.0038105251733213663,108999,107.79774475097656,0.00073,0.40268510580062866,-2.9531378746032715
-247.10119756,113000,6,1130,100.0,17089,0.0036640255711972713,109999,107.94815826416016,0.00073,0.4758524000644684,-4.08064079284668
-247.35242042999994,114000,6,1140,100.0,17246,0.00369655410759151,110999,107.47687530517578,0.00073,0.43616795539855957,3.93996262550354
-247.62266060000002,115000,6,1150,100.0,17403,0.003851932706311345,111999,108.1651611328125,0.00073,0.4419063925743103,-11.647384643554688
-245.83391596000004,116000,6,1160,100.0,17557,0.0037252926267683506,112999,107.10576629638672,0.00073,0.41408658027648926,-6.694448947906494
-244.83115179,117000,6,1170,100.0,17702,0.003731504315510392,113999,106.62482452392578,0.00073,0.5228461027145386,3.370971202850342
-244.45784414000002,118000,6,1180,100.0,17849,0.003736944170668721,114999,107.1052474975586,0.00073,0.4386064410209656,4.471097469329834
-244.23625917,119000,6,1190,100.0,17999,0.003592283232137561,115999,105.70770263671875,0.00073,0.3647240400314331,-2.513906478881836
-242.78296999999998,120000,6,1200,100.0,18149,0.003702297806739807,116999,105.87387084960938,0.00073,0.4068686366081238,18.034446716308594
-241.12734473999998,121000,6,1210,100.0,18288,0.0037111318670213223,117999,106.34330749511719,0.00073,0.4126206338405609,12.812482833862305
-241.17890043,122000,6,1220,100.0,18426,0.00368688115850091,118999,104.61933898925781,0.00073,0.38435477018356323,-4.361297130584717
-241.39818967,123000,6,1230,100.0,18567,0.003544212318956852,119999,107.55525970458984,0.00073,0.38847994804382324,-8.942288398742676
-239.33596254,124000,6,1240,100.0,18707,0.0037069632671773434,120999,105.63404083251953,0.00073,0.3685953915119171,-4.547867774963379
-238.49367922999997,125000,6,1250,100.0,18846,0.0037206271663308144,121999,104.39287567138672,0.00073,0.40910840034484863,10.822896957397461
-237.69954231999998,126000,6,1260,100.0,18985,0.003802680177614093,122999,104.60389709472656,0.00073,0.43394309282302856,-7.574949741363525
-238.69615669000004,127000,6,1270,100.0,19126,0.0037128168623894453,123999,103.10002899169922,0.00073,0.3923400938510895,-6.43402099609375
-237.40025542999996,128000,6,1280,100.0,19290,0.0037851014640182257,124999,104.0465087890625,0.00073,0.37405335903167725,-2.397914409637451
-235.31414166,129000,6,1290,100.0,19461,0.003659950103610754,125999,102.08354949951172,0.00073,0.37789642810821533,-3.862734317779541
-235.00619991999997,130000,6,1300,100.0,19635,0.003776809899136424,126999,103.36583709716797,0.00073,0.4469745457172394,-6.0479912757873535
-236.13312214000004,131000,6,1310,100.0,19809,0.003822140861302614,127999,102.73324584960938,0.00073,0.39713525772094727,-1.79429292678833
-236.63225397999994,132000,6,1320,100.0,19970,0.003922002390027046,128999,103.61161041259766,0.00073,0.3964848518371582,-4.301161766052246
-234.33918436,133000,6,1330,100.0,20142,0.00392367085441947,129999,101.92127227783203,0.00073,0.421170175075531,0.6740634441375732
-233.76868250000004,134000,6,1340,100.0,20307,0.004012552555650473,130999,101.33412170410156,0.00073,0.3659881353378296,-2.398955821990967
-234.46125056,135000,6,1350,100.0,20457,0.003908944316208363,131999,101.1653823852539,0.00073,0.3920619487762451,-0.8891841769218445
-233.68278876,136000,6,1360,100.0,20610,0.0037652046885341406,132999,102.735107421875,0.00073,0.45637911558151245,9.397475242614746
-235.08579033,137000,6,1370,100.0,20765,0.0037496851291507483,133999,102.54004669189453,0.00073,0.4785396456718445,17.67096519470215
-234.46998367000003,138000,6,1380,100.0,20922,0.0036625617649406195,134999,99.44696044921875,0.00073,0.353194922208786,4.79566764831543
-234.32307345999993,139000,6,1390,100.0,21104,0.0037337292451411486,135999,100.91178131103516,0.00073,0.37483006715774536,6.75240421295166
-231.05896681000004,140000,6,1400,100.0,21320,0.003679053857922554,136999,100.23343658447266,0.00073,0.37091201543807983,14.176857948303223
-230.04376500000006,141000,6,1410,100.0,21533,0.0037238539662212133,137999,100.50157928466797,0.00073,0.3601095974445343,-2.253619909286499
-228.64345651000002,142000,6,1420,100.0,21744,0.003713128389790654,138999,101.39895629882812,0.00073,0.3532090187072754,16.663330078125
-229.02977357000003,143000,6,1430,100.0,21948,0.003751496784389019,139999,100.98150634765625,0.00073,0.30915355682373047,9.747488975524902
-228.74923755999995,144000,6,1440,100.0,22158,0.003824290120974183,140999,101.27733612060547,0.00073,0.3306431174278259,9.909737586975098
-225.93850199,145000,6,1450,100.0,22357,0.003670035395771265,141999,100.21050262451172,0.00073,0.3220570683479309,-5.063578128814697
-226.15338155,146000,6,1460,100.0,22570,0.0037742750719189644,142999,98.59764099121094,0.00073,0.48109596967697144,-1.962864637374878
-223.18378366000002,147000,6,1470,100.0,22783,0.003811168484389782,143999,98.72428894042969,0.00073,0.34928083419799805,-5.6816558837890625
-222.34691906000003,148000,6,1480,100.0,22979,0.0037627690471708775,144999,98.89749145507812,0.00073,0.4090783894062042,3.7864537239074707
-222.50631423,149000,6,1490,100.0,23190,0.0037703304551541805,145999,98.86318969726562,0.00073,0.4086431562900543,1.1588530540466309
-222.88777216999995,150000,6,1500,100.0,23403,0.0037872788961976767,146999,98.94747161865234,0.00073,0.3327021300792694,3.391099214553833
-221.92050056999997,151000,6,1510,100.0,23589,0.003772900439798832,147999,97.96810913085938,0.00073,0.39554131031036377,6.317686080932617
-222.21782932000002,152000,6,1520,100.0,23798,0.0038219529669731855,148999,96.79024505615234,0.00073,0.3662976920604706,-1.8907853364944458
-221.17046541999997,153000,6,1530,100.0,23984,0.003800867358222604,149999,98.7479019165039,0.00073,0.3596654534339905,4.306911945343018
-220.59446698000002,154000,6,1540,100.0,24159,0.0036954667884856462,150999,97.61701965332031,0.00073,0.3575032949447632,-13.975187301635742
-220.69128924999998,155000,6,1550,100.0,24315,0.0038438374176621437,151999,97.92692565917969,0.00073,0.43087053298950195,-5.698091983795166
-219.02864599999998,156000,6,1560,100.0,24484,0.0037884076591581106,152999,98.15228271484375,0.00073,0.2846353054046631,-8.00887680053711
-219.41821977,157000,6,1570,100.0,24675,0.003938071895390749,153999,96.84968566894531,0.00073,0.4132416248321533,-3.958543062210083
-220.24330105,158000,6,1580,100.0,24852,0.0036830417811870575,154999,95.85773468017578,0.00073,0.3526984453201294,-15.759647369384766
-218.69002201000004,159000,6,1590,100.0,25000,0.0037239943630993366,155999,98.020263671875,0.00073,0.3102897107601166,0.025868892669677734
