time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate
17228,7,60.02,2162,440,-238.01918082999998,-18.955751419067383,16.366676330566406,14227,0.05637181177735329,-1.028634786605835,0.00073
17832,7,59.64,2248,450,-242.31162006000002,-19.20151138305664,22.26909065246582,14831,0.05815795809030533,2.4272589683532715,0.00073
18319,7,58.46,2317,460,-241.79442563,-16.338611602783203,16.559261322021484,15318,0.058995384722948074,3.0485241413116455,0.00073
18741,7,57.16,2378,470,-236.88944776999998,-26.188823699951172,22.22154998779297,15740,0.05817851051688194,-7.771536350250244,0.00073
19248,7,55.28,2450,480,-232.0867825,-28.680620193481445,18.937808990478516,16247,0.06003076210618019,6.651269912719727,0.00073
19858,7,55.21,2536,490,-229.75427716000002,-27.148395538330078,17.372146606445312,16857,0.06062306463718414,3.174600124359131,0.00073
20432,7,55.92,2617,500,-241.23366961000002,-35.37664794921875,21.516860961914062,17431,0.06356552988290787,-7.486846446990967,0.00073
20891,7,55.01,2682,510,-236.36535407000002,-33.4343147277832,20.707998275756836,17890,0.06553538143634796,-4.299311637878418,0.00073
21597,7,55.97,2783,520,-230.45579313000002,-37.73171615600586,26.384056091308594,18596,0.0631575956940651,1.1672396659851074,0.00073
22186,7,56.33,2871,530,-231.74949348,-38.131752014160156,26.794944763183594,19185,0.06396350264549255,-0.5109021067619324,0.00073
22876,7,56.48,2973,540,-231.54360191,-35.850337982177734,27.995513916015625,19875,0.06205740198493004,-2.2829208374023438,0.00073
23491,7,56.59,3069,550,-233.21676569999997,-29.446853637695312,28.949779510498047,20490,0.06302836537361145,8.230448722839355,0.00073
24153,7,58.34,3166,560,-222.83796683,-22.241846084594727,22.308483123779297,21152,0.06092902272939682,5.389816761016846,0.00073
24785,7,60.44,3257,570,-208.46620121999996,-24.47115707397461,24.807348251342773,21784,0.06303338706493378,-8.607985496520996,0.00073
25159,7,59.11,3311,580,-217.94380994,-46.933353424072266,30.679859161376953,22158,0.06404057890176773,4.001666069030762,0.00073
25686,7,58.28,3393,590,-216.17850184,-35.71632385253906,34.73335266113281,22685,0.06722397357225418,-0.9323413968086243,0.00073
26388,7,59.56,3502,600,-203.33880849000002,-52.18681716918945,36.27558135986328,23387,0.07118210941553116,2.4663796424865723,0.00073
26885,7,59.94,3573,610,-205.01815343999996,-57.54656219482422,32.788291931152344,23884,0.07621675729751587,1.1626063585281372,0.00073
27509,7,59.12,3663,620,-195.28473070999996,-65.26533508300781,40.810523986816406,24508,0.07257179170846939,-0.9929695129394531,0.00073
28139,7,59.53,3759,630,-197.09011783000003,-63.80527114868164,29.33026885986328,25138,0.07411885261535645,3.4008946418762207,0.00073
28609,7,57.33,3831,640,-189.17171928999997,-65.30769348144531,39.57618713378906,25608,0.07267741113901138,0.7060314416885376,0.00073
29238,7,57.47,3919,650,-187.82107077999999,-52.893470764160156,42.61256408691406,26237,0.07382244616746902,-5.463585376739502,0.00073
29818,7,56.65,4001,660,-200.01162948,-66.090576171875,57.20998764038086,26817,0.07467968016862869,-2.1119182109832764,0.00073
30358,7,55.73,4078,670,-212.32601898000001,-82.90116882324219,62.14384460449219,27357,0.07615240663290024,4.186051368713379,0.00073
30931,7,57.72,4160,680,-210.55359837000003,-69.97322082519531,57.18167495727539,27930,0.07867082953453064,-5.644686698913574,0.00073
31518,7,58.32,4245,690,-212.94895954000003,-62.42201232910156,62.35496520996094,28517,0.07606691867113113,-4.237893104553223,0.00073
32056,7,56.68,4322,700,-215.84169571000007,-82.65644836425781,47.836517333984375,29055,0.08129424601793289,3.07078218460083,0.00073
32551,7,56.66,4391,710,-220.78011791,-75.00621032714844,56.651939392089844,29550,0.0820094496011734,-1.0530165433883667,0.00073
33253,7,57.44,4503,720,-214.84645944,-85.69941711425781,72.5908432006836,30252,0.08374316245317459,0.4586031436920166,0.00073
33923,7,57.84,4603,730,-202.24300682999998,-92.87353515625,47.416526794433594,30922,0.09097031503915787,-0.6522535085678101,0.00073
34324,7,57.15,4662,740,-209.67445298999996,-107.52951049804688,76.70824432373047,31323,0.09264887869358063,-2.3678789138793945,0.00073
34831,7,55.93,4736,750,-213.20884227,-111.28628540039062,63.62784957885742,31830,0.093660369515419,-3.595170021057129,0.00073
35495,7,56.77,4832,760,-206.26112973999997,-118.19342803955078,64.87117004394531,32494,0.0914330706000328,2.057551383972168,0.00073
36154,7,57.96,4928,770,-209.7961063,-104.73385620117188,80.46072387695312,33153,0.09021711349487305,-5.787744522094727,0.00073
36750,7,58.19,5014,780,-206.63805789000006,-99.59968566894531,66.46943664550781,33749,0.08752710372209549,-8.511524200439453,0.00073
37122,7,56.04,5067,790,-210.82398442000002,-108.55020141601562,59.24715042114258,34121,0.08512268960475922,-6.246293067932129,0.00073
37638,7,55.82,5141,800,-216.51097714000002,-113.21391296386719,90.66316986083984,34637,0.08708453178405762,3.8509440422058105,0.00073
38168,7,56.17,5216,810,-226.53148646000002,-118.60078430175781,81.72463989257812,35167,0.08848213404417038,3.2843070030212402,0.00073
38743,7,54.9,5298,820,-246.87177986000003,-96.88209533691406,83.46336364746094,35742,0.0894589051604271,-1.6283104419708252,0.00073
39106,7,51.83,5350,830,-251.44855682999997,-108.63169860839844,84.150634765625,36105,0.08842023462057114,2.3505520820617676,0.00073
39784,7,54.6,5447,840,-239.19029825,-107.17912292480469,78.70161437988281,36783,0.08695811778306961,1.3893542289733887,0.00073
40427,7,55.96,5537,850,-223.40449918000004,-117.50611877441406,83.65248107910156,37426,0.08479052037000656,5.828511714935303,0.00073
41093,7,55.98,5633,860,-218.89421810999994,-108.75852966308594,71.52972412109375,38092,0.08533824980258942,1.8513059616088867,0.00073
41731,7,55.77,5722,870,-202.76889340999998,-99.99215698242188,72.48248291015625,38730,0.08913112431764603,-3.035599946975708,0.00073
42332,7,55.82,5806,880,-199.46867228000002,-112.02471923828125,75.41608428955078,39331,0.08694831281900406,2.1432297229766846,0.00073
42864,7,57.42,5879,890,-206.38621498999993,-106.39378356933594,87.26636505126953,39863,0.08977285772562027,-1.8344659805297852,0.00073
43373,7,57.35,5951,900,-199.92054503,-100.15583801269531,83.27545166015625,40372,0.08867445588111877,-0.9572292566299438,0.00073
43979,7,58.11,6036,910,-194.81904518000002,-94.72332000732422,96.54368591308594,40978,0.08443903923034668,-2.4664103984832764,0.00073
44454,7,57.11,6103,920,-186.66868076999998,-106.40361022949219,102.21591186523438,41453,0.08284308016300201,-8.456191062927246,0.00073
44944,7,58.38,6172,930,-193.08053193,-107.50862121582031,83.98300170898438,41943,0.08327319473028183,-4.328836441040039,0.00073
45628,7,58.44,6273,940,-205.67877564,-109.08643341064453,83.15516662597656,42627,0.08359118551015854,2.4901351928710938,0.00073
46290,7,58.63,6376,950,-214.45270521999996,-94.57866668701172,88.68533325195312,43289,0.08181017637252808,2.601595640182495,0.00073
