rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss
630.0694363899999,133387,912579,6,49.23,19490,0.00073,-1550.539306640625,-1.2621959447860718,909578,0.18735522031784058,1013.1888427734375
668.85058966,133461,913079,6,49.23,19500,0.00073,-1604.8759765625,-0.14156246185302734,910078,0.18866001069545746,1001.8753662109375
714.8386314599999,133536,913579,6,49.23,19510,0.00073,-1420.718017578125,-2.6120729446411133,910578,0.18578258156776428,899.8458251953125
652.1069627399999,133609,914079,6,49.5,19520,0.00073,-1405.797607421875,-3.1709933280944824,911078,0.19365766644477844,1010.7235107421875
661.44539405,133682,914579,6,49.5,19530,0.00073,-1426.950927734375,-0.6807229518890381,911578,0.18856306374073029,779.6430053710938
659.5051909099998,133751,915052,6,49.3,19540,0.00073,-1614.516357421875,7.386518478393555,912051,0.19126105308532715,3175.936767578125
678.8757731700002,133823,915552,6,49.3,19550,0.00073,-1332.818115234375,-3.145362138748169,912551,0.18741372227668762,1040.486083984375
661.94138439,133895,916052,6,49.67,19560,0.00073,-1497.2802734375,-5.435503005981445,913051,0.1963242143392563,923.3343505859375
678.9268859700001,133969,916552,6,49.67,19570,0.00073,-1536.4945068359375,1.736939549446106,913551,0.18984200060367584,1069.8548583984375
665.0354040100001,134046,917052,6,49.73,19580,0.00073,-1409.229248046875,-2.4167990684509277,914051,0.1864597201347351,1115.876708984375
652.2506210599998,134119,917541,6,49.62,19590,0.00073,-1392.193603515625,-6.2685112953186035,914540,0.19446983933448792,883.5493774414062
594.45796756,134190,918017,6,49.38,19600,0.00073,-1485.05810546875,5.926726341247559,915016,0.19051119685173035,1266.845458984375
628.96989508,134264,918517,6,49.38,19610,0.00073,-1464.56884765625,2.500119924545288,915516,0.1973230540752411,1233.091552734375
647.5997881899999,134338,919014,6,49.35,19620,0.00073,-1480.5673828125,-0.6915166974067688,916013,0.19409716129302979,1009.2584228515625
670.3555799999999,134411,919514,6,49.35,19630,0.00073,-1453.711181640625,-0.24443435668945312,916513,0.19684523344039917,889.3145751953125
672.40582134,134486,920014,6,49.62,19640,0.00073,-1400.8294677734375,-0.22327518463134766,917013,0.19212669134140015,1073.4000244140625
656.85437435,134558,920514,6,49.62,19650,0.00073,-1434.2987060546875,-0.2766364812850952,917513,0.19346235692501068,966.626708984375
653.4382930999999,134633,921014,6,49.62,19660,0.00073,-1527.050537109375,4.321617126464844,918013,0.19211210310459137,941.6983032226562
641.48467483,134708,921514,6,49.62,19670,0.00073,-1301.73779296875,-4.144168853759766,918513,0.19542278349399567,792.2617797851562
666.04626202,134781,922014,6,49.62,19680,0.00073,-1493.697021484375,-2.223428726196289,919013,0.18882916867733002,1307.271728515625
696.30772786,134855,922514,6,49.73,19690,0.00073,-1338.7459716796875,-5.9719133377075195,919513,0.19344566762447357,1158.7728271484375
783.7741503799999,134929,923014,6,49.97,19700,0.00073,-1420.641845703125,-0.618894100189209,920013,0.1838473677635193,963.0847778320312
710.4567039500001,134999,923480,6,49.63,19710,0.00073,-1446.025146484375,-1.8266074657440186,920479,0.1902846097946167,916.1306762695312
675.3043235299999,135064,923921,6,49.07,19720,0.00073,-1486.4715576171875,5.197519302368164,920920,0.1881076991558075,15590.705078125
677.2986246099999,135133,924387,6,48.73,19730,0.00073,-1421.134765625,-4.465814590454102,921386,0.18714115023612976,1171.899169921875
683.8832763599999,135208,924887,6,48.73,19740,0.00073,-1519.1300048828125,1.6760022640228271,921886,0.19149957597255707,1858.168212890625
658.8812985699999,135283,925387,6,48.73,19750,0.00073,-1310.233642578125,-4.519196510314941,922386,0.18792091310024261,4936.04296875
