time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss
390549,56176,435.96001099999995,3910,6,100.0,0.06936071813106537,387548,10.421052932739258,-0.5508571863174438,0.00073,-224.76206970214844
391549,56324,459.46297308,3920,6,100.0,0.06701497733592987,388548,11.831485748291016,-0.5377097129821777,0.00073,-202.04359436035156
392549,56470,439.19355988999996,3930,6,100.0,0.07055006176233292,389548,8.516712188720703,-0.46312421560287476,0.00073,-202.82598876953125
393549,56617,457.60101906999995,3940,6,100.0,0.06962929666042328,390548,7.918339729309082,0.4497963488101959,0.00073,-213.5773468017578
394549,56765,471.7799979799999,3950,6,100.0,0.07425667345523834,391548,14.293900489807129,-0.9559545516967773,0.00073,-217.9249725341797
395549,56913,454.39163072,3960,6,100.0,0.07265842705965042,392548,11.2619047164917,-0.30938589572906494,0.00073,-216.83782958984375
396549,57061,449.07764334999985,3970,6,100.0,0.07082250714302063,393548,10.758206367492676,0.0839262455701828,0.00073,-211.3458251953125
397549,57210,447.4714319599999,3980,6,100.0,0.06864797323942184,394548,9.529735565185547,0.23788556456565857,0.00073,-231.08316040039062
398549,57358,442.68629214,3990,6,100.0,0.06823055446147919,395548,9.920795440673828,-0.8702983856201172,0.00073,-208.33883666992188
399549,57504,455.9201969600001,4000,6,100.0,0.06554866582155228,396548,9.123228073120117,0.8154517412185669,0.00073,-216.96273803710938
400549,57651,445.30970843999995,4010,6,100.0,0.06895224004983902,397548,9.354020118713379,-1.0723077058792114,0.00073,-228.0009307861328
401549,57798,442.90466914999996,4020,6,100.0,0.06963080912828445,398548,11.491059303283691,0.019811779260635376,0.00073,-214.15753173828125
402549,57946,441.28841819,4030,6,100.0,0.06890152394771576,399548,12.167232513427734,-0.7761431336402893,0.00073,-219.7156982421875
403471,58083,432.88316075999995,4040,6,99.22,0.0717870369553566,400470,9.230052947998047,0.0009313821792602539,0.00073,-215.7654266357422
404471,58230,433.28239913,4050,6,99.22,0.07157573848962784,401470,11.395792961120605,0.21837365627288818,0.00073,-226.87493896484375
405471,58380,454.26667731000003,4060,6,99.22,0.07328806072473526,402470,8.884479522705078,-0.1331579089164734,0.00073,-223.92745971679688
406471,58527,452.81052596,4070,6,99.22,0.07043829560279846,403470,13.219143867492676,-0.3239534795284271,0.00073,-212.58087158203125
407471,58674,454.16205520999995,4080,6,99.22,0.06856434047222137,404470,9.422857284545898,0.3407662510871887,0.00073,-233.1792449951172
408471,58823,450.47257327000005,4090,6,99.22,0.07066230475902557,405470,11.728389739990234,-0.5996648669242859,0.00073,-232.0454559326172
409471,58971,445.6228017900001,4100,6,99.22,0.0698867067694664,406470,8.946371078491211,-0.1657809317111969,0.00073,-213.769775390625
410471,59119,469.01019206000007,4110,6,99.22,0.06909327208995819,407470,10.20751953125,0.16214445233345032,0.00073,-222.0795440673828
411471,59267,480.8489739599999,4120,6,99.22,0.06838557869195938,408470,19.49517059326172,0.814516007900238,0.00073,-228.19993591308594
412471,59415,483.2467384699999,4130,6,99.22,0.06908442080020905,409470,9.843814849853516,0.41218066215515137,0.00073,-199.3572998046875
413471,59563,477.8252767200001,4140,6,100.0,0.06824960559606552,410470,10.234556198120117,0.17941662669181824,0.00073,-212.4320068359375
414471,59712,462.10216378000007,4150,6,100.0,0.06934474408626556,411470,8.5211763381958,-0.9044989347457886,0.00073,-221.74940490722656
415471,59860,440.86801075000005,4160,6,100.0,0.06881054490804672,412470,8.93539810180664,1.164658784866333,0.00073,-227.97178649902344
416471,60009,444.35255057999996,4170,6,100.0,0.07017841935157776,413470,9.12065315246582,0.13977977633476257,0.00073,-220.22865295410156
417471,60156,443.21457162999997,4180,6,100.0,0.06788046658039093,414470,10.506552696228027,1.1243540048599243,0.00073,-220.28189086914062
418471,60304,445.92539622000004,4190,6,100.0,0.06719884276390076,415470,8.5003662109375,-0.24270717799663544,0.00073,-207.131103515625
419471,60452,467.83382004,4200,6,100.0,0.06833622604608536,416470,8.500296592712402,0.9844962358474731,0.00073,-221.5681610107422
420471,60599,471.86930805000003,4210,6,100.0,0.06853526830673218,417470,7.888104438781738,-0.23251968622207642,0.00073,-214.85667419433594
421471,60747,465.85299512,4220,6,100.0,0.06872807443141937,418470,10.578782081604004,1.4514005184173584,0.00073,-231.6649932861328
422471,60898,467.84452743,4230,6,100.0,0.07047521322965622,419470,8.861244201660156,-0.25363442301750183,0.00073,-232.08897399902344
423471,61047,489.29358959000007,4240,6,100.0,0.07156083732843399,420470,11.747005462646484,0.5049018859863281,0.00073,-199.3026123046875
424471,61195,493.6524101300001,4250,6,100.0,0.07036695629358292,421470,11.36873722076416,-0.19829802215099335,0.00073,-219.83262634277344
425471,61345,504.36860011000005,4260,6,100.0,0.06653675436973572,422470,9.191235542297363,0.2534087300300598,0.00073,-227.37867736816406
426471,61492,508.8092703599999,4270,6,100.0,0.06625444442033768,423470,9.798986434936523,-1.5302770137786865,0.00073,-214.90017700195312
427471,61641,515.41932422,4280,6,100.0,0.06708608567714691,424470,12.072855949401855,1.014038324356079,0.00073,-236.7890625
428471,61789,518.9355800300001,4290,6,100.0,0.06677856296300888,425470,11.82461929321289,-0.07664010673761368,0.00073,-210.99794006347656
429471,61939,489.01473359000005,4300,6,100.0,0.06586170196533203,426470,9.143436431884766,-0.4651632606983185,0.00073,-217.72439575195312
430471,62089,483.46467061000004,4310,6,100.0,0.0678786039352417,427470,9.368965148925781,-0.8879331946372986,0.00073,-209.52578735351562
431471,62237,469.54359895,4320,6,100.0,0.06584735214710236,428470,10.68244743347168,0.5075995922088623,0.00073,-212.51312255859375
432471,62387,466.8056577100001,4330,6,100.0,0.06697797030210495,429470,10.033098220825195,-0.44778403639793396,0.00073,-223.47412109375
433471,62538,466.2639977299999,4340,6,100.0,0.06730205565690994,430470,9.669350624084473,-1.181006908416748,0.00073,-239.45980834960938
434471,62686,471.41389796,4350,6,100.0,0.06496946513652802,431470,11.789982795715332,-0.7244216203689575,0.00073,-224.08628845214844
435471,62835,475.96856606,4360,6,100.0,0.06728283315896988,432470,9.246716499328613,-0.7887463569641113,0.00073,-227.17465209960938
436471,62984,472.14026068000004,4370,6,100.0,0.06809736788272858,433470,9.481962203979492,1.0952078104019165,0.00073,-227.0493927001953
437471,63132,468.97548390999987,4380,6,100.0,0.0650733932852745,434470,9.866656303405762,0.1746193766593933,0.00073,-236.47720336914062
