rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss
44.24,8284,1550,62785,7,-322.23434741,-2.0960636138916016,6.292564392089844,0.018275761976838112,0.00073,59784,118.6070556640625
43.96,8346,1560,63217,7,-320.96282457,2.410989761352539,6.819855690002441,0.01817205734550953,0.00073,60216,121.28390502929688
42.68,8397,1570,63586,7,-316.92036528000006,-0.747267484664917,6.4411420822143555,0.018055737018585205,0.00073,60585,121.806640625
42.33,8454,1580,63992,7,-318.18837453,-2.6447255611419678,6.098989486694336,0.018171172589063644,0.00073,60991,119.19847106933594
42.12,8519,1590,64450,7,-321.33128843000003,1.516392707824707,6.846532821655273,0.017669161781668663,0.00073,61449,119.36119079589844
42.43,8587,1600,64937,7,-318.32646338,-1.220670461654663,5.588268280029297,0.01808212883770466,0.00073,61936,123.5725326538086
42.74,8649,1610,65374,7,-318.35236336,-3.553812026977539,5.736306190490723,0.0175034012645483,0.00073,62373,122.19058227539062
42.01,8705,1620,65771,7,-314.96283504,8.075113296508789,6.663994789123535,0.017955336719751358,0.00073,62770,122.50775146484375
42.74,8768,1630,66217,7,-313.51949953999997,7.797527313232422,5.646026134490967,0.01806238479912281,0.00073,63216,121.39202117919922
43.27,8836,1640,66691,7,-310.67226063,-0.8998883366584778,5.524848937988281,0.01790578104555607,0.00073,63690,119.72277069091797
43.14,8893,1650,67099,7,-308.50208408,-3.438178539276123,6.878375053405762,0.017999861389398575,0.00073,64098,121.96672058105469
43.44,8958,1660,67561,7,-308.68472405,4.77273416519165,6.668574810028076,0.017756935209035873,0.00073,64560,122.69354248046875
44.32,9023,1670,68018,7,-309.47367398,-7.174976348876953,5.391913890838623,0.018024777993559837,0.00073,65017,125.51372528076172
44.08,9078,1680,68400,7,-309.64185059,8.882314682006836,7.960465431213379,0.01834336295723915,0.00073,65399,119.74443054199219
