rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss,train/actor_loss
100.0,-360.43574361000015,8,220,22000,2740,0.00073,0.07667430490255356,28.62307357788086,18999,-0.759611964225769,-429.19635009765625
100.0,-359.90489520999995,7,230,23000,2876,0.00073,0.06600942462682724,19.2816104888916,19999,-3.1948788166046143,-352.0103454589844
100.0,-360.67004232,7,240,24000,3014,0.00073,0.051504842936992645,13.342935562133789,20999,-5.026413917541504,-277.0769958496094
100.0,-358.04993698000004,7,250,25000,3152,0.00073,0.0399862676858902,6.4535627365112305,21999,-6.235623836517334,-203.63246154785156
100.0,-354.94011427,7,260,26000,3290,0.00073,0.02941414900124073,4.176596641540527,22999,-11.772905349731445,-132.78248596191406
100.0,-354.01362907,7,270,27000,3427,0.00073,0.018648406490683556,2.87646484375,23999,-3.5103588104248047,-67.55252838134766
100.0,-348.58195628999994,7,280,28000,3566,0.00073,0.010994336567819118,1.7113516330718994,24999,-6.652134895324707,-13.635039329528809
100.0,-338.18983456,7,290,29000,3706,0.00073,0.007796516176313162,1.5980141162872314,25999,-8.844005584716797,25.230249404907227
100.0,-329.2932954,7,300,30000,3844,0.00073,0.005626416299492121,1.2823317050933838,26999,-12.499417304992676,48.22007751464844
100.0,-325.99162537999996,7,310,31000,3982,0.00073,0.004758716095238924,1.4470123052597046,27999,41.084228515625,60.085227966308594
100.0,-318.0939104,7,320,32000,4118,0.00073,0.004539214074611664,1.1748237609863281,28999,30.089500427246094,65.88851165771484
100.0,-308.93579832,7,330,33000,4255,0.00073,0.004146254155784845,0.8739771842956543,29999,6.329292297363281,71.07988739013672
100.0,-299.25616398,7,340,34000,4391,0.00073,0.004265001974999905,0.8101955652236938,30999,2.4285387992858887,75.19654846191406
100.0,-292.96553055,7,350,35000,4529,0.00073,0.004475235007703304,0.9607359170913696,31999,-8.169964790344238,75.49095153808594
100.0,-288.06288435999994,7,360,36000,4665,0.00073,0.004181448835879564,0.7555669546127319,32999,-15.421733856201172,75.7334213256836
100.0,-279.70469377,7,370,37000,4803,0.00073,0.00389249250292778,0.8446306586265564,33999,3.124160051345825,78.469482421875
100.0,-274.75179946,7,380,38000,4943,0.00073,0.0038917353376746178,0.7147936820983887,34999,-2.0024290084838867,81.19261932373047
100.0,-274.39437196,7,390,39000,5082,0.00073,0.004093990195542574,0.6349119544029236,35999,6.698479652404785,81.78108978271484
100.0,-277.13357971,7,400,40000,5222,0.00073,0.004228709265589714,0.7290375828742981,36999,9.249055862426758,81.69598388671875
100.0,-275.28620498000004,7,410,41000,5362,0.00073,0.00420810142531991,0.747178316116333,37999,-3.650023937225342,80.64019012451172
100.0,-273.80838838,7,420,42000,5502,0.00073,0.003976291045546532,0.4897736608982086,38999,-17.361433029174805,83.38835906982422
100.0,-272.54334511,7,430,43000,5641,0.00073,0.004082749132066965,0.5303099751472473,39999,-6.887456893920898,83.82852172851562
100.0,-270.1719875,7,440,44000,5778,0.00073,0.004145149141550064,0.555569589138031,40999,4.099833011627197,84.96629333496094
100.0,-265.61804266,7,450,45000,5918,0.00073,0.0040360731072723866,0.5517746210098267,41999,-6.1057915687561035,85.64735412597656
100.0,-262.32503433999995,7,460,46000,6058,0.00073,0.003865935606881976,0.5500560402870178,42999,4.6329498291015625,85.20063018798828
100.0,-260.5623109300001,7,470,47000,6196,0.00073,0.003711547702550888,0.5139466524124146,43999,-5.224761009216309,87.52934265136719
100.0,-258.63559917000003,7,480,48000,6336,0.00073,0.0036218841560184956,0.6003217101097107,44999,1.906123161315918,88.31503295898438
100.0,-256.10749556,7,490,49000,6474,0.00073,0.003638945985585451,0.5493513345718384,45999,7.142468452453613,89.15035247802734
