time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates
75000,100.0,701.39178199,750,10276,7,7.908439636230469,-335.9377746582031,0.00073,-0.3297117352485657,0.13119028508663177,71999
76000,100.0,703.9751915899999,760,10419,7,9.666675567626953,-334.07232666015625,0.00073,0.21773970127105713,0.1304699033498764,72999
77000,100.0,707.3674254700001,770,10563,7,6.148619651794434,-341.859130859375,0.00073,-0.28248003125190735,0.13253654539585114,73999
78000,100.0,706.0535403,780,10707,7,5.259147644042969,-339.6778869628906,0.00073,-0.024339161813259125,0.1303214430809021,74999
79000,100.0,713.6997283699999,790,10851,7,5.602176666259766,-340.2413635253906,0.00073,0.17755278944969177,0.12939678132534027,75999
80000,100.0,718.9563418900001,800,10994,7,5.558204650878906,-336.4683837890625,0.00073,0.24013324081897736,0.12745656073093414,76999
81000,100.0,721.81260474,810,11137,7,6.289957046508789,-338.70703125,0.00073,-0.5811445116996765,0.12745147943496704,77999
82000,100.0,728.5785440499999,820,11281,7,5.978577613830566,-336.2385559082031,0.00073,0.0045566558837890625,0.12768080830574036,78999
83000,100.0,734.00759716,830,11425,7,6.352816581726074,-340.3782043457031,0.00073,0.37088969349861145,0.12618212401866913,79999
84000,100.0,733.7493392900001,840,11570,7,5.359059810638428,-343.3840026855469,0.00073,0.14247523248195648,0.12238399684429169,80999
85000,100.0,734.7310475300001,850,11715,7,6.329351425170898,-339.4533996582031,0.00073,-0.34501171112060547,0.12205009907484055,81999
86000,100.0,731.0051248100001,860,11860,7,5.960034370422363,-341.7835998535156,0.00073,-0.1800382137298584,0.1204373836517334,82999
87000,100.0,729.5640004900001,870,12003,7,5.142722129821777,-344.46551513671875,0.00073,-0.8914957046508789,0.11940392851829529,83999
88000,100.0,730.76581801,880,12147,7,6.021877288818359,-342.53448486328125,0.00073,-0.09039917588233948,0.11791017651557922,84999
89000,100.0,730.12424595,890,12290,7,5.412364482879639,-344.24176025390625,0.00073,0.5365195870399475,0.11944720894098282,85999
90000,100.0,734.4816149600001,900,12434,7,6.818205833435059,-337.1525573730469,0.00073,0.46628522872924805,0.11936100572347641,86999
91000,100.0,734.5921746,910,12577,7,5.7484846115112305,-342.1772766113281,0.00073,0.02575799822807312,0.11938869953155518,87999
92000,100.0,729.9985491,920,12723,7,6.5038862228393555,-339.56793212890625,0.00073,0.297524094581604,0.11630776524543762,88999
93000,100.0,731.79116521,930,12870,7,5.6881103515625,-337.14080810546875,0.00073,0.1779925376176834,0.11357040703296661,89999
94000,100.0,731.21418659,940,13015,7,6.502805709838867,-339.24884033203125,0.00073,-0.16039180755615234,0.11564723402261734,90999
95000,100.0,729.9383471600001,950,13160,7,4.895406723022461,-343.2643127441406,0.00073,-0.35460346937179565,0.11630559712648392,91999
96000,100.0,732.6425616499998,960,13308,7,5.130155086517334,-344.016357421875,0.00073,-0.5767146944999695,0.11688327044248581,92999
97000,100.0,732.1694497,970,13453,7,7.00206184387207,-339.1830139160156,0.00073,-0.20223787426948547,0.11219272017478943,93999
98000,100.0,732.6285687599999,980,13596,7,5.246448993682861,-342.0445861816406,0.00073,-0.13286390900611877,0.11537065356969833,94999
99000,100.0,733.7943348299999,990,13740,7,5.282164573669434,-343.02630615234375,0.00073,0.1411345899105072,0.11076601594686508,95999
100000,100.0,732.6487619300001,1000,13884,7,6.671488285064697,-343.8940734863281,0.00073,-0.2897454500198364,0.1119474321603775,96999
101000,100.0,727.9267564600002,1010,14028,7,5.030599594116211,-341.6044616699219,0.00073,-0.19724459946155548,0.11364646255970001,97999
102000,100.0,731.1123081499999,1020,14172,7,4.994241714477539,-345.5125732421875,0.00073,0.5894849896430969,0.11173181980848312,98999
103000,100.0,723.4345859599998,1030,14316,7,4.137669563293457,-342.06951904296875,0.00073,0.5985454320907593,0.11194057017564774,99999
104000,100.0,717.45498493,1040,14461,7,8.145164489746094,-341.8027038574219,0.00073,-0.05656934902071953,0.11125552654266357,100999
