rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
781.2385665199998,128318,7,670,17536,198.82,3.6313905715942383,0.00073,68.19110870361328,0.06548700481653214,-357.5921630859375,125317
767.45459917,130318,7,680,17822,198.82,-0.33960962295532227,0.00073,71.26644897460938,0.06415646523237228,-356.53106689453125,127317
660.56150897,132318,7,690,18104,198.82,1.753106951713562,0.00073,66.83253479003906,0.06229949742555618,-361.2869873046875,129317
633.2202128199999,134318,7,700,18386,198.82,1.449480652809143,0.00073,56.3502082824707,0.06098324805498123,-341.7599182128906,131317
565.98154675,136318,7,710,18664,198.82,-10.83591079711914,0.00073,54.51276779174805,0.06223529204726219,-363.29632568359375,133317
561.36560651,138318,7,720,18941,200.0,-1.0113722085952759,0.00073,55.01270294189453,0.05978808552026749,-358.7214660644531,135317
447.47421426999995,140318,7,730,19220,200.0,-0.14948654174804688,0.00073,80.31754302978516,0.06036185845732689,-375.53070068359375,137317
415.13774421999995,142318,7,740,19499,200.0,3.892409324645996,0.00073,54.150753021240234,0.06107194349169731,-347.66326904296875,139317
404.57240383,144318,7,750,19778,200.0,-6.823939800262451,0.00073,68.28112030029297,0.06045036017894745,-366.48126220703125,141317
388.35576821999996,146157,7,760,20034,198.39,11.920037269592285,0.00073,76.69703674316406,0.058782607316970825,-354.2493591308594,143156
399.37954132999994,148157,7,770,20318,198.39,5.211176872253418,0.00073,74.9864501953125,0.06076696142554283,-356.71990966796875,145156
399.22533743,150157,7,780,20601,198.39,-3.9406895637512207,0.00073,61.328041076660156,0.05736725404858589,-366.5905456542969,147156
463.54283522000014,152157,7,790,20884,198.39,-3.285472869873047,0.00073,73.20431518554688,0.05810864269733429,-339.4488525390625,149156
420.78704669000007,154157,7,800,21167,198.39,-0.23814278841018677,0.00073,55.080657958984375,0.05769556015729904,-345.63824462890625,151156
515.2662642299999,156157,7,810,21453,198.39,1.7812469005584717,0.00073,91.33953857421875,0.0546640120446682,-354.7738952636719,153156
