time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss
6,1091548,5470,200.0,2734.4645483200006,156235,-822.8128051757812,-5.57918643951416,0.009617290459573269,0.00073,1088547,4.73857307434082
6,1093548,5480,200.0,2758.6662655999994,156525,-830.9091186523438,-12.31919002532959,0.009380960837006569,0.00073,1090547,3.137786388397217
6,1095548,5490,200.0,2808.6368288000003,156813,-819.3243408203125,1.6895813941955566,0.009184508584439754,0.00073,1092547,3.4770257472991943
6,1097548,5500,200.0,2819.2230370499997,157100,-824.6259765625,9.521240234375,0.008920478634536266,0.00073,1094547,2.6326403617858887
6,1099548,5510,200.0,2772.8350471199997,157388,-820.7970581054688,11.419998168945312,0.009039805270731449,0.00073,1096547,5.2747650146484375
6,1101548,5520,200.0,2699.18086335,157678,-820.5601806640625,11.41870403289795,0.00893112737685442,0.00073,1098547,3.5309765338897705
6,1103548,5530,200.0,2646.2727921,157965,-830.579345703125,2.6871609687805176,0.009316039271652699,0.00073,1100547,2.3322105407714844
6,1105548,5540,200.0,2688.81690249,158258,-824.9714965820312,10.001314163208008,0.009447889402508736,0.00073,1102547,2.1601781845092773
6,1107548,5550,200.0,2736.2311863,158548,-822.385009765625,-16.580541610717773,0.009352906607091427,0.00073,1104547,3.1311769485473633
6,1109548,5560,200.0,2731.53734878,158841,-815.433349609375,0.04215586185455322,0.009326892904937267,0.00073,1106547,3.637476921081543
6,1111548,5570,200.0,2736.2764185100004,159135,-827.7683715820312,-17.560646057128906,0.00960369873791933,0.00073,1108547,2.9071223735809326
6,1113548,5580,200.0,2685.7325929799995,159427,-828.2110595703125,-1.5698975324630737,0.010135186836123466,0.00073,1110547,3.092642307281494
6,1115548,5590,200.0,2698.58870966,159720,-825.4305419921875,-1.307429313659668,0.009718057699501514,0.00073,1112547,2.5491247177124023
