time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss
104000,14785,1040,100.0,7,770.5709160799998,0.44806474447250366,0.027850192040205002,0.00073,100999,-0.5752466320991516,-389.12847900390625
105000,14934,1050,100.0,7,770.6962379199998,0.6888347864151001,0.026302272453904152,0.00073,101999,-0.12444329261779785,-388.31622314453125
106000,15084,1060,100.0,7,770.69848263,2.039414882659912,0.026411136612296104,0.00073,102999,0.28079286217689514,-387.359375
107000,15233,1070,100.0,7,770.7782871700001,0.8238611221313477,0.02966715581715107,0.00073,103999,1.3192651271820068,-390.1573486328125
108000,15381,1080,100.0,7,770.8163862000001,0.6143695116043091,0.028925906866788864,0.00073,104999,-1.487990140914917,-389.89569091796875
109000,15530,1090,100.0,7,770.7348145999999,0.5511044263839722,0.027830470353364944,0.00073,105999,-0.4267541170120239,-389.5137939453125
110000,15678,1100,100.0,7,770.7353378200002,0.8219108581542969,0.026083199307322502,0.00073,106999,-2.348367929458618,-390.75048828125
111000,15824,1110,100.0,7,770.9371703900001,0.6575452089309692,0.025240087881684303,0.00073,107999,0.9671080708503723,-389.5929870605469
112000,15973,1120,100.0,7,770.9382027699999,0.5439557433128357,0.02262973040342331,0.00073,108999,-0.9974299669265747,-387.4140625
113000,16118,1130,100.0,7,771.0170981300001,0.4097333550453186,0.023523623123764992,0.00073,109999,1.2674226760864258,-389.051513671875
114000,16263,1140,100.0,7,771.0169154800001,0.5359856486320496,0.022970465943217278,0.00073,110999,0.44801414012908936,-391.1220397949219
115000,16408,1150,100.0,7,771.0964172600002,0.737843930721283,0.024049418047070503,0.00073,111999,2.528146743774414,-390.16680908203125
116000,16553,1160,100.0,7,771.13646844,0.6830040216445923,0.022100290283560753,0.00073,112999,0.7795308232307434,-390.9598388671875
117000,16698,1170,100.0,7,771.1754381999998,0.5188228487968445,0.022899441421031952,0.00073,113999,2.6392393112182617,-390.6869812011719
118000,16842,1180,100.0,7,771.09806932,0.2655109763145447,0.022057240828871727,0.00073,114999,0.4910275936126709,-390.88702392578125
119000,16987,1190,100.0,7,771.1384158599999,0.3988162875175476,0.023097125813364983,0.00073,115999,-1.239685297012329,-389.80133056640625
120000,17131,1200,100.0,7,771.0980756299998,0.2090710699558258,0.022486131638288498,0.00073,116999,-0.7199583649635315,-390.5371398925781
121000,17279,1210,100.0,7,771.0970422599999,0.3734554648399353,0.02218351885676384,0.00073,117999,-1.052011489868164,-391.6817932128906
122000,17425,1220,100.0,7,771.09522198,0.31456100940704346,0.023408321663737297,0.00073,118999,-1.5346577167510986,-390.4285888671875
123000,17575,1230,100.0,6,771.0960733300001,0.3480648398399353,0.022297753021121025,0.00073,119999,-0.3948458135128021,-389.70721435546875
124000,17722,1240,100.0,6,771.0160179100001,1.2469074726104736,0.022480374202132225,0.00073,120999,1.6102551221847534,-390.1651611328125
125000,17870,1250,100.0,6,771.0162913600001,0.6233154535293579,0.02180580236017704,0.00073,121999,0.25573015213012695,-390.3597412109375
126000,18018,1260,100.0,6,771.0158065800001,0.7541877031326294,0.02107088454067707,0.00073,122999,0.3358074426651001,-388.4200439453125
127000,18166,1270,100.0,6,770.9778173899999,0.5734584331512451,0.02127404697239399,0.00073,123999,0.7111682891845703,-389.481689453125
128000,18315,1280,100.0,6,770.9382988000001,0.4364059567451477,0.022187285125255585,0.00073,124999,0.22124382853507996,-392.16058349609375
129000,18466,1290,100.0,6,770.9796538500002,0.44029200077056885,0.02198566310107708,0.00073,125999,-0.27409613132476807,-390.0846862792969
130000,18617,1300,100.0,6,770.98049826,0.6236670017242432,0.0214670542627573,0.00073,126999,-0.9013102054595947,-392.3067321777344
131000,18764,1310,100.0,6,770.9410794799999,0.3907613456249237,0.021405300125479698,0.00073,127999,0.08247426152229309,-391.7476806640625
132000,18913,1320,100.0,6,771.02374606,0.6133104562759399,0.020646564662456512,0.00073,128999,0.8520736694335938,-391.7421875
133000,19061,1330,100.0,6,770.9833663900001,0.577412486076355,0.02100529707968235,0.00073,129999,-0.026512667536735535,-390.64874267578125
134000,19209,1340,100.0,6,771.06329133,0.46759116649627686,0.021235797554254532,0.00073,130999,1.6443703174591064,-391.51812744140625
135000,19358,1350,100.0,6,771.1030872699998,0.504956841468811,0.019705673679709435,0.00073,131999,2.060826301574707,-390.32598876953125
136000,19506,1360,100.0,6,771.0631340100001,0.3921646475791931,0.020521201193332672,0.00073,132999,-1.3920774459838867,-391.9901123046875
137000,19653,1370,100.0,6,771.1018816599999,0.26932257413864136,0.020829549059271812,0.00073,133999,-1.5838366746902466,-392.78607177734375
138000,19800,1380,100.0,6,771.18042538,0.3903734087944031,0.02045806124806404,0.00073,134999,1.3247673511505127,-392.12872314453125
139000,19949,1390,100.0,6,771.18076138,0.740398108959198,0.01917206309735775,0.00073,135999,1.9897351264953613,-390.5801086425781
140000,20098,1400,100.0,6,771.1802006400001,0.46833717823028564,0.020655708387494087,0.00073,136999,-0.5471149682998657,-391.3266906738281
141000,20248,1410,100.0,6,771.05969453,0.5977141857147217,0.019357308745384216,0.00073,137999,-0.2799161970615387,-390.36175537109375
142000,20399,1420,100.0,6,771.0202831500001,0.31157273054122925,0.020737094804644585,0.00073,138999,1.4271774291992188,-390.8172302246094
143000,20549,1430,100.0,6,771.09953954,0.29439273476600647,0.019409483298659325,0.00073,139999,-0.43440020084381104,-392.1358337402344
144000,20699,1440,100.0,6,771.0982398600001,0.43983203172683716,0.01985909603536129,0.00073,140999,1.2834808826446533,-393.0358581542969
145000,20847,1450,100.0,6,771.0983387899998,0.6937876343727112,0.02024666778743267,0.00073,141999,1.1408724784851074,-390.6662902832031
146000,20995,1460,100.0,6,771.0953242700001,0.4926290512084961,0.02005803771317005,0.00073,142999,-0.25373393297195435,-390.14276123046875
147000,21141,1470,100.0,6,771.0948218099999,0.38258931040763855,0.021056044846773148,0.00073,143999,0.8149095773696899,-391.52960205078125
148000,21287,1480,100.0,6,770.89249547,1.4569069147109985,0.030872365459799767,0.00073,144999,-0.10272452980279922,-393.17584228515625
149000,21433,1490,100.0,6,770.76066291,0.3991650938987732,0.027566498145461082,0.00073,145999,-1.2488114833831787,-392.18048095703125
150000,21580,1500,100.0,6,770.79945684,0.6575902700424194,0.02410539984703064,0.00073,146999,-0.809873104095459,-391.7103576660156
151000,21727,1510,100.0,6,770.91796141,0.7493911981582642,0.02395346574485302,0.00073,147999,0.1503922939300537,-390.8501892089844
152000,21873,1520,100.0,6,770.9119390700001,0.789904773235321,0.02181890793144703,0.00073,148999,0.6675875186920166,-392.30535888671875
153000,22020,1530,100.0,6,770.7894161699999,0.21286824345588684,0.02246909961104393,0.00073,149999,-1.7734718322753906,-393.5365905761719
154000,22166,1540,100.0,6,770.78808168,0.8185356855392456,0.02203640528023243,0.00073,150999,0.9301043748855591,-392.27581787109375
155000,22313,1550,100.0,6,770.7072324500001,0.42237234115600586,0.021251680329442024,0.00073,151999,-1.0941038131713867,-393.0420837402344
156000,22462,1560,100.0,6,770.7057827499999,0.2570786774158478,0.01915634423494339,0.00073,152999,0.2441783845424652,-392.23529052734375
157000,22613,1570,100.0,6,770.7070535400001,0.4164290428161621,0.019432486966252327,0.00073,153999,0.2231108844280243,-393.04150390625
158000,22766,1580,100.0,6,770.9473286100001,0.44708243012428284,0.020416507497429848,0.00073,154999,0.4970802068710327,-392.1566467285156
159000,22917,1590,100.0,6,771.0357840000001,0.41626495122909546,0.019240310415625572,0.00073,155999,1.5257306098937988,-393.6419982910156
160000,23068,1600,100.0,6,771.03331853,0.5814776420593262,0.01930416375398636,0.00073,156999,-0.47319427132606506,-394.2611083984375
161000,23219,1610,100.0,6,771.0739134000002,0.5972238183021545,0.018926365301012993,0.00073,157999,-0.21956869959831238,-393.1234130859375
162000,23372,1620,100.0,6,771.0760366000001,0.6639698147773743,0.019116191193461418,0.00073,158999,1.2198692560195923,-391.68017578125
163000,23524,1630,100.0,6,771.1969159799999,0.4683024287223816,0.0197597723454237,0.00073,159999,0.6205146312713623,-393.4006652832031
164000,23678,1640,100.0,6,771.2381707199999,0.25941601395606995,0.018071621656417847,0.00073,160999,0.07194322347640991,-394.27716064453125
165000,23831,1650,100.0,6,771.3168114100001,0.4303760528564453,0.019465437158942223,0.00073,161999,1.6618167161941528,-393.1026306152344
166000,23982,1660,100.0,6,771.32053863,0.3765420615673065,0.020003870129585266,0.00073,162999,-0.501781702041626,-393.4263916015625
167000,24139,1670,100.0,6,771.3173748000002,0.5499938726425171,0.01862497068941593,0.00073,163999,-2.3460733890533447,-394.56146240234375
168000,24291,1680,100.0,6,771.1981278600001,0.5261194705963135,0.017682300880551338,0.00073,164999,0.9762113094329834,-394.4894104003906
169000,24446,1690,100.0,6,771.2389665000001,0.29983729124069214,0.018907135352492332,0.00073,165999,-0.8872318267822266,-393.4716796875
170000,24600,1700,100.0,6,771.1614995099999,0.6027168035507202,0.017528599128127098,0.00073,166999,-0.2666943073272705,-393.50653076171875
171000,24753,1710,100.0,6,771.1605587900002,0.6687434911727905,0.01892220973968506,0.00073,167999,3.6840853691101074,-393.86083984375
172000,24906,1720,100.0,6,771.1607725999999,0.4601410925388336,0.01898188516497612,0.00073,168999,1.4818164110183716,-393.3340759277344
173000,25060,1730,100.0,6,771.1615551,0.3495626747608185,0.017335161566734314,0.00073,169999,-2.684821128845215,-394.2037048339844
174000,25213,1740,100.0,6,771.0821728299999,0.6818010807037354,0.01770559698343277,0.00073,170999,1.6620906591415405,-393.1504821777344
175000,25366,1750,100.0,6,771.08387382,0.42816704511642456,0.017488975077867508,0.00073,171999,-1.5684328079223633,-393.06878662109375
176000,25516,1760,100.0,6,771.11969096,0.7502379417419434,0.021463334560394287,0.00073,172999,1.6212021112442017,-392.35028076171875
177000,25668,1770,100.0,6,771.00044844,0.49448516964912415,0.01942416839301586,0.00073,173999,2.8464598655700684,-393.77825927734375
178000,25820,1780,100.0,6,770.99836348,0.7932826280593872,0.024913839995861053,0.00073,174999,3.162219285964966,-392.5906066894531
179000,25971,1790,100.0,6,770.95424341,0.27465111017227173,0.021488521248102188,0.00073,175999,-1.4895330667495728,-394.1209716796875
180000,26120,1800,100.0,6,770.99052275,0.5900259613990784,0.019967885687947273,0.00073,176999,0.8983253836631775,-394.1097412109375
181000,26267,1810,100.0,6,770.82090321,1.2305570840835571,0.021013056859374046,0.00073,177999,3.3590087890625,-393.5849914550781
182000,26415,1820,100.0,6,770.2508205500001,0.4550187587738037,0.021175658330321312,0.00073,178999,-0.7629966139793396,-391.84197998046875
183000,26564,1830,100.0,6,770.0460154,0.5505818128585815,0.019587980583310127,0.00073,179999,0.849496603012085,-392.9373779296875
184000,26714,1840,100.0,6,770.0441942500001,0.7243092656135559,0.01979825273156166,0.00073,180999,-0.7481980323791504,-392.4838562011719
185000,26860,1850,100.0,6,770.0424329599998,0.8763318061828613,0.019563565030694008,0.00073,181999,-0.14272911846637726,-394.6953125
186000,27008,1860,100.0,6,769.99876179,0.22553768754005432,0.01794874481856823,0.00073,182999,-0.40987518429756165,-394.4118347167969
187000,27156,1870,100.0,6,770.0767391700001,0.8099232912063599,0.020138049498200417,0.00073,183999,-2.0012855529785156,-393.203369140625
188000,27306,1880,100.0,6,770.11657289,1.285064697265625,0.020956341177225113,0.00073,184999,1.9481489658355713,-393.6775817871094
189000,27458,1890,100.0,6,770.0428759700002,0.8124288320541382,0.019549377262592316,0.00073,185999,1.5458967685699463,-393.154052734375
190000,27612,1900,100.0,6,770.04401101,0.8771905899047852,0.01908824034035206,0.00073,186999,-0.23181048035621643,-393.6131286621094
191000,27766,1910,100.0,6,770.1295106000001,0.8012561798095703,0.016960784792900085,0.00073,187999,-0.2449294924736023,-393.1795654296875
192000,27918,1920,100.0,6,770.70022192,0.3880157470703125,0.018309038132429123,0.00073,188999,1.4602584838867188,-393.4583435058594
193000,28070,1930,100.0,6,770.9072301299998,0.6763819456100464,0.017466939985752106,0.00073,189999,1.5798436403274536,-394.8021240234375
194000,28224,1940,100.0,6,770.9890939400002,0.1638193130493164,0.017273250967264175,0.00073,190999,-2.093993663787842,-394.9741516113281
195000,28373,1950,100.0,6,770.7870249599999,1.0042603015899658,0.018690267577767372,0.00073,191999,0.8909547328948975,-394.1117248535156
196000,28524,1960,100.0,6,770.83098206,0.29595911502838135,0.01742548681795597,0.00073,192999,-2.053166627883911,-395.197998046875
197000,28673,1970,100.0,6,770.8317785600001,0.5845962762832642,0.015259765088558197,0.00073,193999,0.5318096876144409,-394.8420104980469
198000,28823,1980,100.0,6,770.91619829,0.2784322500228882,0.01756482757627964,0.00073,194999,-1.7731513977050781,-394.63238525390625
199000,28975,1990,100.0,6,770.9939575,0.5693637132644653,0.01554423663765192,0.00073,195999,0.3044913411140442,-394.831298828125
200000,29127,2000,100.0,6,771.0346462800001,0.4118035137653351,0.01701953634619713,0.00073,196999,0.41155171394348145,-394.51434326171875
201000,29280,2010,100.0,6,771.08197052,0.8907358646392822,0.01592917926609516,0.00073,197999,1.1101150512695312,-394.4620361328125
202000,29429,2020,100.0,6,771.08135648,0.3588526248931885,0.01577511616051197,0.00073,198999,-2.232797861099243,-394.20306396484375
203000,29580,2030,100.0,6,771.0371038199999,0.2428816556930542,0.017462976276874542,0.00073,199999,-1.0728178024291992,-395.22906494140625
