time/episodes,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef
880,172951,23112,7,1840.6900028999999,200.0,24.317283630371094,15.23374080657959,169950,-460.03106689453125,0.00073,0.03780950978398323
890,174951,23386,7,1845.2640667899998,200.0,20.706520080566406,-6.903647422790527,171950,-487.42901611328125,0.00073,0.03665604442358017
900,176951,23665,7,1845.0328236499997,200.0,20.32880401611328,2.560025930404663,173950,-473.1230163574219,0.00073,0.037225838750600815
910,178951,23945,7,1932.0358919899998,200.0,17.419050216674805,2.634881019592285,175950,-490.80682373046875,0.00073,0.0365021787583828
920,180951,24223,7,1972.9578622500005,200.0,17.604209899902344,-3.4757261276245117,177950,-472.0966796875,0.00073,0.03661436587572098
930,182951,24499,7,1996.6020717799997,200.0,14.807022094726562,-5.307090759277344,179950,-485.26373291015625,0.00073,0.03549903631210327
940,184951,24780,7,1999.0936611500003,200.0,17.389694213867188,-4.883860111236572,181950,-494.5199890136719,0.00073,0.035579610615968704
950,186951,25060,7,1998.2934549600002,200.0,20.624805450439453,-5.101319313049316,183950,-498.86456298828125,0.00073,0.03526023030281067
960,188951,25340,7,1996.2078659099996,200.0,16.90972137451172,3.5881171226501465,185950,-491.4436950683594,0.00073,0.03482460230588913
970,190951,25620,7,1984.3918750300002,200.0,19.925338745117188,0.0889512300491333,187950,-495.684814453125,0.00073,0.034169815480709076
980,192951,25897,7,1908.9995054600001,200.0,23.076919555664062,7.236577987670898,189950,-485.8511962890625,0.00073,0.03396691381931305
990,194951,26176,7,1882.82038053,200.0,26.91780662536621,-2.815584182739258,191950,-494.57598876953125,0.00073,0.0336223728954792
1000,196951,26455,7,1867.4733612,200.0,21.205259323120117,2.1863088607788086,193950,-496.5718994140625,0.00073,0.03393017500638962
1010,198951,26736,7,1868.88834,200.0,20.334735870361328,-1.064492106437683,195950,-481.8748474121094,0.00073,0.03386852517724037
1020,200951,27014,7,1867.90764638,200.0,16.08776092529297,-2.55411434173584,197950,-496.82952880859375,0.00073,0.03329889848828316
1030,202951,27296,7,1855.8123700300002,200.0,25.00265121459961,13.702835083007812,199950,-485.3931579589844,0.00073,0.03236452862620354
1040,204951,27576,7,1858.7261888700002,200.0,19.107818603515625,6.7233734130859375,201950,-490.44134521484375,0.00073,0.03255704417824745
1050,206951,27857,7,1866.0230190800003,200.0,18.03830337524414,1.6801705360412598,203950,-503.7138366699219,0.00073,0.03109833225607872
1060,208951,28139,7,1868.5524624500001,200.0,22.855606079101562,-4.099230766296387,205950,-499.6350402832031,0.00073,0.03147410228848457
1070,210951,28422,7,1889.71057364,200.0,14.982439994812012,-7.330296993255615,207950,-517.03369140625,0.00073,0.030338898301124573
1080,212951,28703,7,1967.0192628400002,200.0,19.416893005371094,6.021629810333252,209950,-500.6432189941406,0.00073,0.03017015941441059
1090,214951,28981,7,1999.3775270700003,200.0,22.97927474975586,2.648331880569458,211950,-503.9876708984375,0.00073,0.031148159876465797
1100,216951,29260,7,1969.12402458,200.0,18.827348709106445,4.624926567077637,213950,-508.25677490234375,0.00073,0.02930154837667942
1110,218951,29541,7,1971.5856733099997,200.0,21.645694732666016,8.216110229492188,215950,-501.9830322265625,0.00073,0.0301912073045969
1120,220951,29818,7,1975.4359040499996,200.0,14.998573303222656,5.803638458251953,217950,-509.46624755859375,0.00073,0.029510876163840294
1130,222951,30096,7,1990.19034429,200.0,26.527503967285156,1.2250194549560547,219950,-513.6029052734375,0.00073,0.02923334762454033
1140,224951,30374,7,1984.32990025,200.0,23.456275939941406,12.256173133850098,221950,-494.3730163574219,0.00073,0.02877364307641983
1150,226951,30652,7,1982.06729164,200.0,17.684663772583008,-0.2724123001098633,223950,-493.24481201171875,0.00073,0.029395705088973045
1160,228951,30927,7,1980.6932553799998,200.0,15.646024703979492,-6.674403190612793,225950,-513.4188842773438,0.00073,0.029324598610401154
1170,230951,31204,7,1980.3715641299998,200.0,16.251937866210938,10.157182693481445,227950,-506.39129638671875,0.00073,0.027955926954746246
1180,232951,31486,7,1983.8292976500002,200.0,14.528100967407227,2.9073634147644043,229950,-490.248046875,0.00073,0.028409847989678383
1190,234951,31771,7,1978.16656087,200.0,15.809268951416016,-5.152647972106934,231950,-502.2962646484375,0.00073,0.026903701946139336
1200,236951,32052,7,1983.5149231100002,200.0,17.529218673706055,12.51168155670166,233950,-500.8169250488281,0.00073,0.02854207530617714
1210,238951,32332,7,1954.3501822500004,200.0,14.540590286254883,-4.588611125946045,235950,-510.42388916015625,0.00073,0.027165744453668594
1220,240951,32614,7,1956.1946597300005,200.0,17.025585174560547,-9.917150497436523,237950,-511.82659912109375,0.00073,0.025690225884318352
1230,242951,32895,7,1956.8248280599998,200.0,17.00889015197754,9.831953048706055,239950,-489.0357666015625,0.00073,0.02557092346251011
1240,244951,33175,7,1962.4477736800004,200.0,14.808001518249512,-5.631674766540527,241950,-504.5127868652344,0.00073,0.026293978095054626
1250,246951,33455,7,1958.2440384899999,200.0,14.615973472595215,10.049084663391113,243950,-488.1905212402344,0.00073,0.026138586923480034
1260,248951,33737,7,1965.3455929200002,200.0,12.757148742675781,-17.3759708404541,245950,-518.67529296875,0.00073,0.027535676956176758
1270,250951,34018,7,1974.03548097,200.0,18.005958557128906,12.453729629516602,247950,-505.8695983886719,0.00073,0.025212422013282776
1280,252951,34302,7,1974.9330801099998,200.0,12.918970108032227,-12.230835914611816,249950,-525.3705444335938,0.00073,0.026379620656371117
1290,254951,34583,7,1980.0133280500004,200.0,14.541452407836914,4.648342132568359,251950,-510.8768615722656,0.00073,0.025246882811188698
1300,256951,34865,7,2017.2411195000002,200.0,13.800432205200195,3.691746711730957,253950,-510.98663330078125,0.00073,0.025200016796588898
1310,258951,35146,7,2047.6255709100003,200.0,10.863547325134277,-8.399457931518555,255950,-513.1547241210938,0.00073,0.025909939780831337
1320,260951,35430,7,2047.5430781,200.0,17.8138484954834,10.563018798828125,257950,-502.05224609375,0.00073,0.02354578673839569
1330,262951,35709,7,2020.94487306,200.0,13.809355735778809,-5.193506240844727,259950,-517.1181640625,0.00073,0.023860257118940353
1340,264951,35990,7,1993.6832159899996,200.0,15.305097579956055,-11.516176223754883,261950,-525.8137817382812,0.00073,0.023450925946235657
1350,266951,36273,7,1992.6132373100004,200.0,14.62306022644043,17.756168365478516,263950,-496.007080078125,0.00073,0.023537877947092056
1360,268951,36555,7,1995.20763108,200.0,12.247654914855957,-1.3502198457717896,265950,-511.7872314453125,0.00073,0.022649366408586502
1370,270951,36836,7,1985.2928289099998,200.0,11.837516784667969,-7.289263725280762,267950,-519.1234130859375,0.00073,0.022765759378671646
1380,272951,37123,7,1985.56555654,200.0,16.854991912841797,13.896685600280762,269950,-506.3515930175781,0.00073,0.02255176566541195
1390,274951,37400,7,1986.4642743199997,200.0,12.989333152770996,-8.372723579406738,271950,-517.2814331054688,0.00073,0.023871369659900665
1400,276951,37677,7,1989.20871328,200.0,17.14852523803711,-9.938629150390625,273950,-515.0244750976562,0.00073,0.022703392431139946
1410,278951,37954,7,1986.6570566400003,200.0,14.901344299316406,1.3719334602355957,275950,-502.6175537109375,0.00073,0.02264307625591755
1420,280951,38234,7,1988.4591986000003,200.0,13.948780059814453,5.448370456695557,277950,-499.30072021484375,0.00073,0.022935431450605392
1430,282951,38512,7,2021.0672970700004,200.0,14.281797409057617,1.2923696041107178,279950,-511.3851318359375,0.00073,0.022999905049800873
1440,284951,38790,7,2052.5095224199995,200.0,13.231193542480469,1.0473575592041016,281950,-505.5649108886719,0.00073,0.022844532504677773
1450,286951,39065,7,2063.292985,200.0,12.985660552978516,-21.262296676635742,283950,-518.4235229492188,0.00073,0.022613532841205597
1460,288951,39347,7,2061.4963271700003,200.0,14.400683403015137,-4.802513122558594,285950,-511.03350830078125,0.00073,0.022742507979273796
1470,290951,39630,7,2048.0597092099997,200.0,12.948156356811523,-4.1692657470703125,287950,-516.7990112304688,0.00073,0.022664928808808327
1480,292951,39915,7,2048.99648879,200.0,12.243426322937012,-0.6636693477630615,289950,-524.534912109375,0.00073,0.021638358011841774
1490,294951,40208,7,2043.7449651600002,200.0,13.691791534423828,8.719548225402832,291950,-516.6551513671875,0.00073,0.022007443010807037
1500,296951,40488,7,2047.2990825300005,200.0,12.959827423095703,3.188236951828003,293950,-512.9993896484375,0.00073,0.02193395607173443
1510,298951,40769,7,2043.2443898099998,200.0,19.022768020629883,3.340461254119873,295950,-516.5059204101562,0.00073,0.022217070683836937
1520,300951,41050,7,2040.8226666399999,200.0,11.295312881469727,13.53834342956543,297950,-515.9166870117188,0.00073,0.020564153790473938
1530,302951,41330,7,2034.2248239100002,200.0,11.70967960357666,-6.294377326965332,299950,-516.8997192382812,0.00073,0.02085966058075428
1540,304951,41610,7,2002.4009523900004,200.0,10.515680313110352,-0.17827892303466797,301950,-527.15673828125,0.00073,0.020542407408356667
1550,306951,41888,7,1999.69410543,200.0,12.443002700805664,-2.7109241485595703,303950,-521.5305786132812,0.00073,0.020966190844774246
1560,308951,42169,7,1999.6143441999998,200.0,12.139876365661621,-4.071363925933838,305950,-546.43359375,0.00073,0.020260458812117577
1570,310951,42449,7,2015.9950891299998,200.0,11.819700241088867,-3.5370802879333496,307950,-534.4572143554688,0.00073,0.01964627578854561
1580,312951,42732,7,2017.43714889,200.0,9.30079174041748,7.726183891296387,309950,-528.8486328125,0.00073,0.01877080649137497
1590,314951,43013,7,2014.19261792,200.0,11.411003112792969,-8.434805870056152,311950,-542.9820556640625,0.00073,0.019016357138752937
1600,316951,43295,7,2010.0271344699995,200.0,9.048075675964355,8.738177299499512,313950,-542.10205078125,0.00073,0.018353179097175598
1610,318951,43579,7,2010.42193736,200.0,10.296655654907227,11.53931713104248,315950,-546.1771850585938,0.00073,0.018358886241912842
1620,320951,43859,7,2013.9798407900003,200.0,10.924798965454102,0.6426119804382324,317950,-547.2324829101562,0.00073,0.01789463311433792
1630,322951,44142,7,2018.65395615,200.0,7.201456546783447,8.45759391784668,319950,-534.353759765625,0.00073,0.01729397103190422
1640,324951,44422,7,2058.5253056599995,200.0,7.996005535125732,-12.44900894165039,321950,-555.0487060546875,0.00073,0.017691291868686676
1650,326951,44702,7,2057.88542811,200.0,6.842680931091309,-13.041414260864258,323950,-567.5643310546875,0.00073,0.01736006699502468
1660,328951,44982,7,2054.0239989,200.0,9.010530471801758,-2.569167137145996,325950,-556.7023315429688,0.00073,0.017033152282238007
1670,330951,45259,7,2046.5067480500002,200.0,7.6158576011657715,10.129337310791016,327950,-551.246337890625,0.00073,0.016062896698713303
1680,332951,45535,7,2044.33210819,200.0,7.459609031677246,10.564423561096191,329950,-555.5772094726562,0.00073,0.016012966632843018
1690,334951,45811,7,2028.59229336,200.0,7.8901543617248535,-4.788535118103027,331950,-572.5469970703125,0.00073,0.016029490157961845
