time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
730,7,9830,707.7568912500001,73000,100.0,69999,0.12389436364173889,2.2546794414520264,0.00073,-368.6200256347656,0.03640695661306381
740,7,9971,707.9394895500002,74000,100.0,70999,-1.7545963525772095,0.8910274505615234,0.00073,-371.3559875488281,0.03654946759343147
750,7,10112,708.0024214299998,75000,100.0,71999,-0.27184897661209106,1.2051081657409668,0.00073,-369.6494140625,0.0359085313975811
760,7,10254,707.90723306,76000,100.0,72999,-0.2757934331893921,0.8107521533966064,0.00073,-370.1203308105469,0.034497298300266266
770,7,10396,708.1629092900001,77000,100.0,73999,-0.8481661677360535,0.70893794298172,0.00073,-371.16839599609375,0.03316369280219078
780,7,10536,708.17685981,78000,100.0,74999,0.5563730597496033,0.9295889139175415,0.00073,-371.6739807128906,0.03455057367682457
790,7,10677,708.1538836099999,79000,100.0,75999,0.031804159283638,0.6505627632141113,0.00073,-372.46630859375,0.033896684646606445
800,7,10819,708.1041682999999,80000,100.0,76999,-0.10188966989517212,0.9906969666481018,0.00073,-372.2105712890625,0.03362360596656799
810,7,10961,708.1413794100001,81000,100.0,77999,0.5560286641120911,0.4866487979888916,0.00073,-372.4454650878906,0.033300794661045074
820,7,11104,708.2225165399999,82000,100.0,78999,-0.515882134437561,1.0074611902236938,0.00073,-373.5959777832031,0.03156454861164093
830,7,11246,708.22427078,83000,100.0,79999,-0.36758455634117126,0.601679265499115,0.00073,-371.1242370605469,0.02999257482588291
840,7,11388,708.2877610000002,84000,100.0,80999,0.15171469748020172,0.5661089420318604,0.00073,-371.49578857421875,0.03157585486769676
850,7,11531,708.39750128,85000,100.0,81999,-0.38659465312957764,0.9165618419647217,0.00073,-372.6771545410156,0.03078277036547661
860,7,11672,708.4924433000001,86000,100.0,82999,0.9911817312240601,1.0160090923309326,0.00073,-372.13543701171875,0.03005247935652733
870,7,11815,708.40708898,87000,100.0,83999,0.4680123031139374,0.7742009162902832,0.00073,-372.78033447265625,0.029456980526447296
880,7,11956,708.33619403,88000,100.0,84999,0.23742905259132385,0.5773330926895142,0.00073,-372.457763671875,0.02887113206088543
890,7,12098,708.17507986,89000,100.0,85999,-0.4802384376525879,0.5591757297515869,0.00073,-372.7230224609375,0.029217682778835297
900,7,12240,708.09540612,90000,100.0,86999,-0.42019015550613403,0.641058087348938,0.00073,-372.2684326171875,0.02816157601773739
910,7,12383,707.9405563200002,91000,100.0,87999,0.4834692180156708,1.19392991065979,0.00073,-373.63861083984375,0.028886577114462852
920,7,12524,707.92642895,92000,100.0,88999,0.19676920771598816,0.627620279788971,0.00073,-373.8143005371094,0.028034668415784836
930,7,12667,707.8865336000001,93000,100.0,89999,-0.3397422134876251,0.479103147983551,0.00073,-375.5019836425781,0.028011931106448174
940,7,12809,707.89482349,94000,100.0,90999,1.8052113056182861,0.6173015236854553,0.00073,-374.0333251953125,0.02692849189043045
950,7,12952,707.9902387999999,95000,100.0,91999,0.9786590337753296,0.8656092882156372,0.00073,-373.98077392578125,0.026779020205140114
960,7,13093,707.94672964,96000,100.0,92999,0.3466269075870514,0.8486791253089905,0.00073,-374.026123046875,0.027621371671557426
970,7,13237,707.8135006900001,97000,100.0,93999,0.24108225107192993,1.073757290840149,0.00073,-374.64996337890625,0.02807808667421341
980,7,13381,676.9432828599998,98000,100.0,94999,-1.4575881958007812,0.5523154139518738,0.00073,-374.9377136230469,0.029259007424116135
990,7,13524,658.65555706,99000,100.0,95999,-0.9136703610420227,1.3962528705596924,0.00073,-370.80999755859375,0.03985745087265968
1000,7,13667,658.8256549199999,100000,100.0,96999,0.9799134731292725,1.2043237686157227,0.00073,-370.3923034667969,0.032205335795879364
1010,7,13809,658.9081479,101000,100.0,97999,-0.13955038785934448,0.9127928018569946,0.00073,-371.19378662109375,0.027872230857610703
1020,7,13952,658.8889322999999,102000,100.0,98999,-0.1303238868713379,1.2429909706115723,0.00073,-371.8136901855469,0.0276902224868536
1030,7,14094,658.98165053,103000,100.0,99999,-0.333682119846344,0.9555323123931885,0.00073,-370.85333251953125,0.03213322535157204
1040,7,14235,658.9909903399999,104000,100.0,100999,0.44606733322143555,1.1325616836547852,0.00073,-370.009521484375,0.03805377706885338
1050,7,14377,658.8399030600001,105000,100.0,101999,-0.21915104985237122,0.7234846353530884,0.00073,-370.56890869140625,0.03381996601819992
1060,7,14518,658.8277283699999,106000,100.0,102999,1.171903133392334,0.8098381161689758,0.00073,-370.1897277832031,0.031469885259866714
1070,7,14659,658.8696561,107000,100.0,103999,-0.12520131468772888,0.7837930917739868,0.00073,-372.3182373046875,0.027521874755620956
1080,7,14800,689.80189851,108000,100.0,104999,0.16146120429039001,1.3237172365188599,0.00073,-372.18450927734375,0.02576007880270481
1090,7,14943,708.3217460199999,109000,100.0,105999,0.10159894824028015,0.4453430771827698,0.00073,-374.49151611328125,0.02440829575061798
1100,7,15086,708.28367686,110000,100.0,106999,0.3092123568058014,1.2945282459259033,0.00073,-373.4327392578125,0.025249134749174118
1110,7,15228,708.27248545,111000,100.0,107999,0.3068109154701233,0.886979341506958,0.00073,-372.3236083984375,0.024960346519947052
1120,7,15370,708.43753621,112000,100.0,108999,-1.3234093189239502,0.9769957065582275,0.00073,-374.6414794921875,0.024090083315968513
1130,7,15513,708.3121426199999,113000,100.0,109999,-1.0509881973266602,0.4212927222251892,0.00073,-375.92596435546875,0.023394936695694923
1140,7,15656,708.3188632199998,114000,100.0,110999,-1.3387978076934814,0.36043572425842285,0.00073,-375.286865234375,0.02217639610171318
1150,7,15799,708.3533827200001,115000,100.0,111999,-1.1243085861206055,0.5126736164093018,0.00073,-374.5179748535156,0.022460123524069786
1160,7,15940,708.3593058800001,116000,100.0,112999,-0.13713744282722473,0.542033314704895,0.00073,-373.2151184082031,0.02289387211203575
1170,7,16082,708.41162923,117000,100.0,113999,0.9921401739120483,1.5171877145767212,0.00073,-374.0535888671875,0.020995553582906723
1180,7,16224,708.4215182000002,118000,100.0,114999,0.9893112778663635,0.47183990478515625,0.00073,-374.0756530761719,0.02127935364842415
1190,7,16367,708.43568301,119000,100.0,115999,0.5619471669197083,1.1605325937271118,0.00073,-373.58062744140625,0.02124379202723503
1200,7,16510,708.4557396900001,120000,100.0,116999,-1.3186273574829102,0.6713440418243408,0.00073,-375.76214599609375,0.01920325681567192
1210,7,16654,708.5961414100001,121000,100.0,117999,0.849859893321991,0.4042011499404907,0.00073,-373.40277099609375,0.020260218530893326
1220,7,16801,708.4245248299999,122000,100.0,118999,-1.229467749595642,0.4145314693450928,0.00073,-376.76885986328125,0.019592061638832092
1230,7,16944,708.6077137899999,123000,100.0,119999,-0.39281684160232544,0.4404670000076294,0.00073,-374.48931884765625,0.020532436668872833
1240,7,17087,708.7362880699999,124000,100.0,120999,-0.20153488218784332,0.6762679815292358,0.00073,-374.0408020019531,0.0193719994276762
1250,7,17230,708.93490538,125000,100.0,121999,-0.3438766300678253,0.6923254132270813,0.00073,-375.265625,0.0190480537712574
1260,7,17372,709.06575445,126000,100.0,122999,1.7376837730407715,0.5130570530891418,0.00073,-374.0936279296875,0.018862474709749222
1270,7,17516,709.05989464,127000,100.0,123999,0.3427514433860779,0.5189488530158997,0.00073,-373.86431884765625,0.01807498186826706
1280,7,17659,709.1756048699999,128000,100.0,124999,0.32443028688430786,0.4103998839855194,0.00073,-375.7380065917969,0.018733391538262367
1290,7,17802,709.0419001700002,129000,100.0,125999,-1.6433186531066895,0.6146832704544067,0.00073,-377.23309326171875,0.017928121611475945
1300,7,17944,708.97028937,130000,100.0,126999,-0.18914034962654114,0.35801276564598083,0.00073,-375.3961486816406,0.020185677334666252
1310,7,18087,708.91449852,131000,100.0,127999,1.285491704940796,0.5293800830841064,0.00073,-375.16864013671875,0.017699560150504112
1320,7,18230,709.0580732399999,132000,100.0,128999,2.454514265060425,0.9408292770385742,0.00073,-375.0809326171875,0.017136795446276665
1330,7,18374,709.0927684600001,133000,100.0,129999,-0.09204667806625366,0.8385673761367798,0.00073,-375.47222900390625,0.017268795520067215
1340,7,18517,709.23280719,134000,100.0,130999,-1.3943967819213867,0.5029845833778381,0.00073,-376.6438293457031,0.01891625113785267
1350,7,18662,709.2464137000002,135000,100.0,131999,-0.6684261560440063,0.6409808397293091,0.00073,-375.7265319824219,0.021620694547891617
1360,7,18806,709.2529492699999,136000,100.0,132999,-0.3954307436943054,0.6629264950752258,0.00073,-375.7491455078125,0.017350632697343826
1370,7,18950,709.48148516,137000,100.0,133999,1.0859246253967285,0.5634637475013733,0.00073,-373.0570068359375,0.018483750522136688
1380,7,19093,709.4317071600001,138000,100.0,134999,2.195173740386963,0.6337991952896118,0.00073,-374.8485412597656,0.018610861152410507
1390,7,19236,709.6024109499999,139000,100.0,135999,0.3336924910545349,0.41616764664649963,0.00073,-375.1224670410156,0.01767655275762081
1400,7,19379,709.7772136799999,140000,100.0,136999,-1.150769591331482,0.3678984045982361,0.00073,-376.0100402832031,0.019212113693356514
1410,7,19524,709.8764175399999,141000,100.0,137999,-2.067095994949341,0.6457390189170837,0.00073,-376.9443359375,0.018158821389079094
1420,7,19670,709.9882378599999,142000,100.0,138999,-1.2323017120361328,0.7551401853561401,0.00073,-376.7186279296875,0.01785362884402275
1430,7,19817,709.8940088300001,143000,100.0,139999,-0.9671110510826111,1.012020230293274,0.00073,-377.26416015625,0.017849279567599297
1440,7,19963,709.6776295000002,144000,100.0,140999,0.3015655279159546,0.5226903557777405,0.00073,-375.37725830078125,0.016199389472603798
