rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss
100.0,112792,15319,232.56524532000003,1130,7,109791,-142.48941040039062,0.07630397379398346,-0.6122095584869385,0.00073,11.51606273651123
100.0,113792,15460,256.72805659,1140,7,110791,-139.7805633544922,0.07798986881971359,-0.46263036131858826,0.00073,12.656153678894043
100.0,114792,15600,279.60188854000006,1150,7,111791,-150.9390869140625,0.07929233461618423,-0.18933039903640747,0.00073,15.62430191040039
100.0,115792,15741,259.23064204,1160,7,112791,-149.85743713378906,0.08117536455392838,0.97414231300354,0.00073,15.625442504882812
100.0,116792,15882,272.43402532,1170,7,113791,-159.26380920410156,0.08023563027381897,1.2363110780715942,0.00073,13.129707336425781
100.0,117792,16024,295.49260718,1180,7,114791,-137.98211669921875,0.07809023559093475,-0.3665637671947479,0.00073,12.541376113891602
100.0,118792,16165,278.32840740000006,1190,7,115791,-146.66714477539062,0.07887973636388779,-0.38962048292160034,0.00073,11.511907577514648
100.0,119792,16308,297.51964546,1200,7,116791,-138.49481201171875,0.07764969021081924,1.041194200515747,0.00073,11.194440841674805
100.0,120792,16448,303.77600087,1210,7,117791,-150.62423706054688,0.07959572970867157,0.15422961115837097,0.00073,14.716422080993652
100.0,121792,16589,313.41624275000004,1220,7,118791,-136.45257568359375,0.07885763794183731,-0.5095546245574951,0.00073,12.175302505493164
100.0,122792,16730,305.74284569,1230,7,119791,-153.1482696533203,0.0801711305975914,0.15353348851203918,0.00073,11.681678771972656
100.0,123792,16870,285.96803648,1240,7,120791,-145.8017120361328,0.07611265033483505,-0.40400707721710205,0.00073,13.768387794494629
100.0,124792,17012,289.7596416,1250,7,121791,-139.5883331298828,0.07684361934661865,-0.6940191984176636,0.00073,10.66515827178955
100.0,125792,17153,307.21779069,1260,7,122791,-141.71347045898438,0.07794810086488724,-0.29885387420654297,0.00073,18.30065155029297
100.0,126792,17294,284.48831762,1270,7,123791,-148.58380126953125,0.0761328712105751,0.7699621319770813,0.00073,13.12456226348877
100.0,127792,17435,263.27278028999996,1280,7,124791,-149.87745666503906,0.07760121673345566,0.5922313928604126,0.00073,9.031784057617188
100.0,128792,17575,299.46972366,1290,7,125791,-138.17481994628906,0.07929537445306778,-0.2005784809589386,0.00073,12.182052612304688
100.0,129792,17716,282.08729903999995,1300,7,126791,-149.80288696289062,0.08019600808620453,-0.03367792069911957,0.00073,14.038446426391602
100.0,130792,17857,285.84958911,1310,7,127791,-143.58297729492188,0.08082225173711777,0.44409286975860596,0.00073,12.222925186157227
100.0,131792,18001,286.36640517999996,1320,7,128791,-163.05953979492188,0.07904662936925888,-0.1035291776061058,0.00073,12.082523345947266
100.0,132792,18144,303.40922978,1330,7,129791,-150.08157348632812,0.08170651644468307,-0.6701239347457886,0.00073,12.470893859863281
100.0,133792,18287,309.77398179999994,1340,7,130791,-138.2091064453125,0.08146916329860687,-0.8576421737670898,0.00073,15.934892654418945
100.0,134792,18427,304.32479487999996,1350,7,131791,-149.0108642578125,0.08099642395973206,0.6963803768157959,0.00073,13.020914077758789
100.0,135792,18570,299.28259450999997,1360,7,132791,-144.54168701171875,0.0854375958442688,0.4340018928050995,0.00073,14.611771583557129
100.0,136792,18712,316.2096262300001,1370,7,133791,-143.4949951171875,0.08647933602333069,0.3492404520511627,0.00073,14.139089584350586
100.0,137792,18853,317.37170619000005,1380,7,134791,-143.98724365234375,0.08474163711071014,0.20312297344207764,0.00073,12.54850959777832
100.0,138792,18994,310.19516353,1390,7,135791,-155.8975830078125,0.08661490678787231,0.9227829575538635,0.00073,14.795886993408203
100.0,139792,19136,322.62678177,1400,7,136791,-153.6474609375,0.08313421159982681,-0.43354713916778564,0.00073,11.17061710357666
100.0,140792,19277,321.50950828000003,1410,7,137791,-152.17898559570312,0.08400500565767288,-0.5302934646606445,0.00073,13.44616985321045
100.0,141792,19420,324.12655549,1420,7,138791,-150.77281188964844,0.08441554754972458,1.0124433040618896,0.00073,14.823674201965332
100.0,142792,19560,317.44459669,1430,7,139791,-157.21018981933594,0.08381255716085434,0.7756698727607727,0.00073,17.019241333007812
100.0,143792,19702,339.22062642,1440,7,140791,-150.7277374267578,0.08782607316970825,-0.3731920123100281,0.00073,12.158123016357422
100.0,144792,19843,341.92541970999997,1450,7,141791,-144.46319580078125,0.08546114712953568,-0.4618222117424011,0.00073,17.661176681518555
