time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss
7,2110,347.13163613999996,109169,97.06,14629,0.022269276902079582,-201.61740112304688,106168,7.730249881744385,0.00073,19.710481643676758
7,2120,356.31675464,110169,98.04,14772,0.023856747895479202,-197.04681396484375,107168,0.3546139597892761,0.00073,14.634281158447266
7,2130,359.95085606,111169,98.04,14912,0.022979378700256348,-201.1291961669922,108168,-9.831398963928223,0.00073,13.795978546142578
7,2140,359.30685802,112071,98.04,15038,0.023073408752679825,-199.79441833496094,109070,-13.415541648864746,0.00073,12.254800796508789
7,2150,364.0183890600001,113071,98.04,15178,0.022738875821232796,-202.5043182373047,110070,-1.20231294631958,0.00073,12.309372901916504
7,2160,364.69442398000007,114071,98.04,15318,0.0234708059579134,-199.56967163085938,111070,9.076109886169434,0.00073,73.0266342163086
7,2170,360.88880072999996,115071,98.04,15460,0.023231273517012596,-200.70822143554688,112070,2.960350751876831,0.00073,9.080605506896973
7,2180,362.7709629799999,116071,98.04,15601,0.02392372488975525,-203.23367309570312,113070,11.129596710205078,0.00073,17.10649871826172
7,2190,360.94976758000007,117071,98.04,15743,0.023330017924308777,-202.44854736328125,114070,6.194913387298584,0.00073,131.9663543701172
7,2200,361.45477452000006,118071,99.02,15884,0.021964911371469498,-205.16549682617188,115070,1.8029091358184814,0.00073,10.515885353088379
7,2210,360.55485324999995,119071,99.02,16025,0.0228862427175045,-205.296142578125,116070,10.139609336853027,0.00073,18.66225814819336
7,2220,363.11696997000007,120071,99.02,16166,0.021480703726410866,-207.354736328125,117070,-7.618597030639648,0.00073,9.750709533691406
7,2230,352.7552387899999,120973,98.04,16292,0.021507900208234787,-205.77093505859375,117972,5.32750940322876,0.00073,11.787144660949707
7,2240,356.51114214,121973,99.02,16432,0.020392397418618202,-204.6964874267578,118972,-2.778270721435547,0.00073,11.491279602050781
7,2250,358.56703363,122973,99.02,16573,0.02100181207060814,-203.76895141601562,119972,-6.8917436599731445,0.00073,76.18128967285156
7,2260,356.30857825000004,123973,99.02,16713,0.02144494466483593,-205.5850067138672,120972,10.879837989807129,0.00073,14.425687789916992
7,2270,358.1574358599999,124973,99.02,16852,0.020820779725909233,-203.19444274902344,121972,-14.5950927734375,0.00073,22.833099365234375
7,2280,354.66420810999995,125973,99.02,16993,0.02120417170226574,-207.0604248046875,122972,-2.63781476020813,0.00073,10.224055290222168
7,2290,350.43013121999996,126973,99.02,17133,0.020325452089309692,-203.06167602539062,123972,-5.90537166595459,0.00073,8.85374927520752
7,2300,350.2927446700001,127973,99.02,17276,0.020179383456707,-204.0160369873047,124972,-6.284371852874756,0.00073,10.839496612548828
7,2310,353.64258811,128973,99.02,17418,0.02000594511628151,-204.92344665527344,125972,6.322260856628418,0.00073,9.026620864868164
7,2320,357.43562789000003,129973,99.02,17558,0.019854962825775146,-205.4077911376953,126972,3.0457754135131836,0.00073,15.26132583618164
7,2330,369.43421412,130973,100.0,17699,0.019796477630734444,-202.66127014160156,127972,8.168305397033691,0.00073,7.723819255828857
7,2340,365.45803225,131875,99.02,17825,0.020267773419618607,-206.3867645263672,128874,3.9777348041534424,0.00073,11.305996894836426
7,2350,364.31222794000007,132875,99.02,17963,0.019151678308844566,-205.1388702392578,129874,3.6540956497192383,0.00073,52.897125244140625
7,2360,368.44055579,133875,99.02,18103,0.02148362249135971,-204.07972717285156,130874,12.359038352966309,0.00073,10.861345291137695
7,2370,371.07207341000003,134875,99.02,18241,0.01924085058271885,-205.7563018798828,131874,1.5946910381317139,0.00073,7.498114109039307
7,2380,376.90437587,135875,99.02,18381,0.01953049562871456,-206.49888610839844,132874,19.66083526611328,0.00073,24.241500854492188
7,2390,380.30198742999994,136875,99.02,18521,0.020174909383058548,-204.72982788085938,133874,-2.871412754058838,0.00073,17.468097686767578
7,2400,383.61602668,137875,99.02,18661,0.019884837791323662,-203.96493530273438,134874,-3.6270484924316406,0.00073,29.24440574645996
7,2410,381.01231672999995,138875,99.02,18803,0.01953841745853424,-204.769287109375,135874,-13.372739791870117,0.00073,13.616415023803711
7,2420,378.4317653400001,139875,99.02,18943,0.019561024382710457,-206.1677703857422,136874,6.305666446685791,0.00073,25.060813903808594
7,2430,378.17449225,140875,99.02,19085,0.01968454383313656,-208.6005401611328,137874,-11.82816219329834,0.00073,15.40157699584961
7,2440,386.8233487,141875,100.0,19226,0.019553909078240395,-208.70896911621094,138874,-0.9187880754470825,0.00073,51.65648651123047
7,2450,389.79194465999996,142875,100.0,19367,0.01905721426010132,-208.5585174560547,139874,13.654895782470703,0.00073,50.13112258911133
