rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
45.49,7547,59330,271.57781259,1480,7,0.00073,-2.7224173545837402,253.55484008789062,0.13470397889614105,-691.6912231445312,56329
46.03,7613,59814,293.17701648,1490,7,0.00073,-12.748988151550293,250.59886169433594,0.14247307181358337,-673.12255859375,56813
46.41,7680,60314,275.63161171,1500,7,0.00073,-3.1036410331726074,209.84872436523438,0.13779044151306152,-693.3516845703125,57313
46.8,7745,60790,304.55665583999996,1510,7,0.00073,7.955743789672852,276.8822937011719,0.14211414754390717,-860.4549560546875,57789
47.01,7812,61287,288.5846155000001,1520,7,0.00073,-2.817690849304199,267.73223876953125,0.14070965349674225,-729.928955078125,58286
47.01,7880,61787,336.2146709400001,1530,7,0.00073,-6.480839729309082,188.36639404296875,0.1340842843055725,-738.7060546875,58786
46.95,7944,62268,308.48755536,1540,7,0.00073,-1.9157289266586304,291.5604248046875,0.12919224798679352,-752.1425170898438,59267
47.08,8004,62711,247.07815394999994,1550,7,0.00073,4.149497032165527,266.68408203125,0.13196752965450287,-760.4680786132812,59710
47.66,8072,63211,232.79936777,1560,7,0.00073,5.312450885772705,301.6718444824219,0.12794992327690125,-819.885498046875,60210
47.85,8137,63693,247.63401887999996,1570,7,0.00073,13.327058792114258,474.7872314453125,0.1289859414100647,-933.198486328125,60692
48.4,8200,64170,257.9473946,1580,7,0.00073,-1.0483129024505615,221.3821563720703,0.12693604826927185,-725.5343017578125,61169
46.94,8245,64508,227.02095612000002,1590,7,0.00073,-9.57308578491211,253.25088500976562,0.12487918138504028,-748.8751831054688,61507
45.51,8294,64865,269.37419637,1600,7,0.00073,-5.720555305480957,229.51443481445312,0.12216969579458237,-659.7103271484375,61864
44.11,8341,65201,238.67292292000002,1610,7,0.00073,11.535189628601074,290.4289855957031,0.12473855167627335,-721.711181640625,62200
42.93,8393,65580,272.90217693,1620,7,0.00073,1.184373140335083,235.47698974609375,0.12418190389871597,-705.6298217773438,62579
42.6,8456,66047,259.0471338099999,1630,7,0.00073,-2.742297887802124,292.2032165527344,0.1286555677652359,-704.5491943359375,63046
41.84,8511,66452,308.35632710999994,1640,7,0.00073,-5.262502670288086,226.9610595703125,0.12309403717517853,-700.616455078125,63451
42.18,8577,66929,347.6462951799999,1650,7,0.00073,6.187614917755127,284.5338134765625,0.12334071844816208,-779.60791015625,63928
42.09,8644,67420,368.01713485000005,1660,7,0.00073,10.196310997009277,1167.321533203125,0.12344928085803986,-803.669921875,64419
42.0,8709,67893,376.31449803000004,1670,7,0.00073,2.7490503787994385,323.5865478515625,0.12605167925357819,-734.6964721679688,64892
42.23,8776,68393,354.94141967,1680,7,0.00073,-0.8400686383247375,637.8583984375,0.12570792436599731,-726.100830078125,65392
43.57,8840,68865,357.89160781,1690,7,0.00073,4.7201457023620605,336.7095947265625,0.12552206218242645,-757.5743408203125,65864
45.0,8908,69365,324.30121436999997,1700,7,0.00073,-1.7817564010620117,242.60928344726562,0.12502288818359375,-667.6680908203125,66364
46.31,8971,69832,320.92908934999997,1710,7,0.00073,-0.2984970808029175,211.05418395996094,0.1222028136253357,-732.6032104492188,66831
47.18,9036,70298,285.51211810999996,1720,7,0.00073,3.8608596324920654,345.064697265625,0.1278885006904602,-756.0596923828125,67297
47.16,9102,70763,296.67325141000003,1730,7,0.00073,-10.20203685760498,660.3636474609375,0.12914827466011047,-696.7921752929688,67762
47.66,9164,71218,292.01148864000004,1740,7,0.00073,4.358453273773193,380.4832458496094,0.13092876970767975,-755.4517211914062,68217
