time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates
940,765.7393938199998,100.0,7,94000,12716,-1.3039867877960205,0.1512242704629898,0.004830993711948395,-392.6961975097656,0.00073,90999
950,764.75129514,100.0,7,95000,12860,1.4101052284240723,0.20250248908996582,0.004715523216873407,-392.1987609863281,0.00073,91999
960,766.1028127300001,100.0,7,96000,13003,3.9438536167144775,0.24496117234230042,0.004740681499242783,-392.0481262207031,0.00073,92999
970,765.0957715999998,100.0,7,97000,13145,0.574374794960022,0.23370453715324402,0.00509893661364913,-392.1495361328125,0.00073,93999
980,765.7435163500002,100.0,7,98000,13287,-0.25135940313339233,0.11618601530790329,0.004727123770862818,-393.09625244140625,0.00073,94999
990,766.1839054600001,100.0,7,99000,13430,-2.9880294799804688,0.13597944378852844,0.004586337134242058,-392.65570068359375,0.00073,95999
1000,764.96451414,100.0,7,100000,13573,-1.3848910331726074,0.14388850331306458,0.004818841349333525,-392.576416015625,0.00073,96999
1010,763.7644274899999,100.0,7,101000,13715,-0.10211828351020813,0.11055503785610199,0.004532212857156992,-393.54248046875,0.00073,97999
1020,763.9938187799999,100.0,7,102000,13859,0.35810762643814087,0.277782678604126,0.004250321537256241,-393.0603942871094,0.00073,98999
1030,764.06999235,100.0,7,103000,14002,0.8678368330001831,0.11147794872522354,0.0041570416651666164,-392.93603515625,0.00073,99999
1040,764.94408487,100.0,7,104000,14145,-0.4073568880558014,0.17876975238323212,0.0042956070974469185,-393.06488037109375,0.00073,100999
1050,765.9066008100001,100.0,7,105000,14287,-2.546574354171753,0.26397836208343506,0.005868871230632067,-393.08306884765625,0.00073,101999
1060,764.7280892800002,100.0,7,106000,14430,-5.1105241775512695,0.17321422696113586,0.0038526912685483694,-393.59881591796875,0.00073,102999
1070,766.0184999200001,100.0,7,107000,14573,-3.3380913734436035,0.15862977504730225,0.003956168424338102,-393.5482482910156,0.00073,103999
1080,764.6850198999999,100.0,7,108000,14715,3.286933660507202,0.12740133702754974,0.0039070844650268555,-392.7624816894531,0.00073,104999
1090,765.2289315599999,100.0,7,109000,14857,-1.186859369277954,0.11172536015510559,0.0037160953506827354,-393.6457214355469,0.00073,105999
1100,766.6513187900001,100.0,7,110000,15000,1.0482507944107056,0.12909170985221863,0.003743378911167383,-393.560546875,0.00073,106999
1110,766.65721909,100.0,7,111000,15146,0.9206521511077881,0.11976135522127151,0.0036778049543499947,-393.05377197265625,0.00073,107999
1120,766.00485834,100.0,7,112000,15288,0.9832937121391296,0.1754739135503769,0.003574828151613474,-393.02734375,0.00073,108999
1130,765.56892387,100.0,7,113000,15431,4.2588114738464355,0.2823949158191681,0.0039038832765072584,-392.8652038574219,0.00073,109999
1140,764.28297505,100.0,7,114000,15574,-0.4388374984264374,0.14719721674919128,0.0035475296899676323,-392.94476318359375,0.00073,110999
1150,764.74135109,100.0,7,115000,15717,0.3282458186149597,0.10545957088470459,0.0034684028942137957,-393.01519775390625,0.00073,111999
1160,765.26024404,100.0,7,116000,15862,-0.1503204107284546,0.10008352994918823,0.003562966827303171,-393.7287292480469,0.00073,112999
1170,765.36967883,100.0,7,117000,16005,-4.864933013916016,0.14312174916267395,0.0035423198714852333,-393.946044921875,0.00073,113999
1180,766.9153215099999,100.0,7,118000,16149,2.2158002853393555,0.10379518568515778,0.003570226952433586,-392.8370056152344,0.00073,114999
1190,766.2369786400002,100.0,7,119000,16292,1.9554405212402344,0.14875562489032745,0.003495972603559494,-392.2040710449219,0.00073,115999
