time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss
14882,7,200.0,550,107326,1376.7073442399999,0.05059442296624184,26.25824737548828,104325,0.00073,-407.39984130859375,-3.1292388439178467
15167,7,200.0,560,109326,1406.4403952399998,0.051299870014190674,24.40841293334961,106325,0.00073,-421.98773193359375,2.872781753540039
15444,7,200.0,570,111326,1444.92529679,0.050423894077539444,23.21049690246582,108325,0.00073,-412.5449523925781,4.2978739738464355
15719,7,200.0,580,113326,1647.17086541,0.05124231055378914,25.00562858581543,110325,0.00073,-431.8091125488281,-2.9525136947631836
15993,7,200.0,590,115326,1670.6399016399996,0.050118930637836456,21.12586212158203,112325,0.00073,-424.47021484375,-3.0132341384887695
16282,7,200.0,600,117326,1703.7209235399998,0.05043787509202957,25.514381408691406,114325,0.00073,-432.42694091796875,1.643908977508545
16567,7,200.0,610,119326,1681.12036215,0.048255614936351776,23.79615020751953,116325,0.00073,-439.0291442871094,-2.8828535079956055
16858,7,200.0,620,121326,1666.8226695099997,0.048824749886989594,29.954221725463867,118325,0.00073,-428.700927734375,-0.4321160316467285
17154,7,200.0,630,123326,1705.7484776699996,0.04726991057395935,25.69307518005371,120325,0.00073,-443.47943115234375,3.1247172355651855
17445,7,200.0,640,125326,1732.0176010199998,0.048088252544403076,18.469242095947266,122325,0.00073,-450.57373046875,-2.856606960296631
17741,7,200.0,650,127326,1743.74175984,0.04658442735671997,28.870208740234375,124325,0.00073,-447.06719970703125,3.674652099609375
18033,7,200.0,660,129326,1728.38128555,0.04480911046266556,27.514991760253906,126325,0.00073,-435.6306457519531,2.6863038539886475
18321,7,200.0,670,131326,1707.25744337,0.043027933686971664,22.95122718811035,128325,0.00073,-455.0932922363281,-2.2782886028289795
18610,7,200.0,680,133326,1719.0271243199998,0.04156924784183502,21.275663375854492,130325,0.00073,-443.8057861328125,5.1268415451049805
18900,7,200.0,690,135326,1710.5929912100003,0.04314820095896721,22.639419555664062,132325,0.00073,-452.68994140625,-1.9475135803222656
19191,7,200.0,700,137326,1724.2182871,0.04223493114113808,30.169225692749023,134325,0.00073,-449.7029724121094,5.310969829559326
19479,7,200.0,710,139326,1784.0985715900001,0.04315466061234474,25.948719024658203,136325,0.00073,-472.5294494628906,-8.173741340637207
19766,7,200.0,720,141326,1828.0015273600002,0.04197131097316742,32.75023651123047,138325,0.00073,-470.4266052246094,6.9615559577941895
20055,7,200.0,730,143326,1818.0896569799997,0.04269260913133621,19.22906494140625,140325,0.00073,-459.0275573730469,7.832097053527832
20348,7,200.0,740,145326,1806.9726369700002,0.04174492135643959,20.162147521972656,142325,0.00073,-479.5023193359375,-10.649003982543945
20650,7,200.0,750,147326,1828.13030105,0.04217962548136711,25.383392333984375,144325,0.00073,-453.5791320800781,-4.030738353729248
20951,7,200.0,760,149326,1854.46515553,0.041480373591184616,20.159053802490234,146325,0.00073,-458.64666748046875,6.226179599761963
21249,7,200.0,770,151326,1892.75789878,0.0420137494802475,25.103485107421875,148325,0.00073,-467.02435302734375,6.1597747802734375
21548,7,200.0,780,153326,1899.45350565,0.04168252274394035,23.63077163696289,150325,0.00073,-465.1587829589844,9.094550132751465
21845,7,200.0,790,155326,1928.5937060499998,0.040453068912029266,24.004112243652344,152325,0.00073,-477.2864990234375,2.7753286361694336
22144,7,200.0,800,157326,1902.0179434599997,0.04179759323596954,23.745018005371094,154325,0.00073,-484.54522705078125,0.029112935066223145
22442,7,200.0,810,159326,1890.8399693299998,0.04088679701089859,17.54819679260254,156325,0.00073,-488.27142333984375,-8.52910327911377
22735,7,200.0,820,161326,1897.9463329199998,0.03999235853552818,17.262592315673828,158325,0.00073,-496.74969482421875,-4.83268928527832
23023,7,200.0,830,163326,1911.4719793400006,0.04084024950861931,21.603839874267578,160325,0.00073,-493.0270080566406,2.946793556213379
23313,7,200.0,840,165326,1927.8751135399996,0.038659900426864624,18.888553619384766,162325,0.00073,-480.29644775390625,4.865330219268799
23600,7,200.0,850,167326,1926.44026316,0.039236802607774734,20.093856811523438,164325,0.00073,-506.1646728515625,-10.586061477661133
23886,7,200.0,860,169326,1873.7862790600002,0.038197822868824005,17.323768615722656,166325,0.00073,-499.4395751953125,-2.8141064643859863
24179,7,200.0,870,171326,1787.7342881600007,0.03760802373290062,20.508358001708984,168325,0.00073,-495.14764404296875,-5.0520124435424805
24470,7,200.0,880,173326,1785.73750762,0.03890252858400345,20.97705841064453,170325,0.00073,-494.9142761230469,-3.5597848892211914
24762,7,200.0,890,175326,1780.8723436100001,0.03800121694803238,23.371505737304688,172325,0.00073,-488.5504455566406,-0.2783968448638916
25055,7,200.0,900,177326,1813.9206570399997,0.03848930075764656,23.747539520263672,174325,0.00073,-496.13507080078125,-2.6379637718200684
25347,7,200.0,910,179326,1835.1235341599997,0.03601783141493797,22.47544288635254,176325,0.00073,-490.51171875,13.680407524108887
25635,7,200.0,920,181326,1832.36682547,0.03522114455699921,19.719829559326172,178325,0.00073,-506.7967834472656,1.1053307056427002
25928,7,200.0,930,183326,1833.6409271100001,0.035974979400634766,18.187091827392578,180325,0.00073,-502.69683837890625,-0.21995329856872559
26222,7,200.0,940,185326,1824.0659083,0.03647744655609131,20.640594482421875,182325,0.00073,-514.44921875,4.890028476715088
26516,7,200.0,950,187326,1804.0482374500002,0.035481445491313934,21.455904006958008,184325,0.00073,-504.78692626953125,5.580206871032715
26811,7,200.0,960,189326,1863.7833576799999,0.03481646627187729,19.574600219726562,186325,0.00073,-486.3485412597656,10.90044116973877
27103,7,200.0,970,191326,1958.32290867,0.03518535569310188,24.418292999267578,188325,0.00073,-493.54302978515625,1.3588223457336426
27414,7,200.0,980,193326,1965.7034154199998,0.034646060317754745,19.482666015625,190325,0.00073,-506.9798278808594,4.46422815322876
27718,7,200.0,990,195326,1977.2897148700001,0.034862324595451355,21.474292755126953,192325,0.00073,-515.2984619140625,-2.4024977684020996
28011,7,200.0,1000,197326,1982.7686361400001,0.03503382205963135,21.219058990478516,194325,0.00073,-509.8554382324219,-7.85462760925293
28302,7,200.0,1010,199326,1990.7114329800002,0.03383253142237663,17.573562622070312,196325,0.00073,-509.54437255859375,1.400024175643921
28595,7,200.0,1020,201326,1983.2751392100001,0.034995220601558685,18.116670608520508,198325,0.00073,-503.7315979003906,-2.1722357273101807
28890,7,200.0,1030,203326,1987.24784813,0.034087006002664566,17.027925491333008,200325,0.00073,-514.5753784179688,-2.848212957382202
29186,7,200.0,1040,205326,2007.4514124999998,0.03347637131810188,21.179962158203125,202325,0.00073,-512.4266357421875,12.05230712890625
29477,7,200.0,1050,207326,2039.1191517900004,0.03513699397444725,18.458351135253906,204325,0.00073,-517.3036499023438,6.9544572830200195
29768,7,200.0,1060,209326,2046.8825184200002,0.03423066809773445,18.086505889892578,206325,0.00073,-536.5057373046875,3.0756001472473145
30057,7,200.0,1070,211326,2059.4057856199997,0.03336559608578682,17.308258056640625,208325,0.00073,-532.7998046875,8.860982894897461
30347,7,200.0,1080,213326,2055.40485148,0.03311945125460625,17.93136215209961,210325,0.00073,-528.7713623046875,-2.9004364013671875
30635,7,200.0,1090,215326,2039.48919214,0.0318136066198349,18.896690368652344,212325,0.00073,-523.8045043945312,7.595302104949951
30921,7,200.0,1100,217326,2043.89665987,0.031290944665670395,17.671886444091797,214325,0.00073,-544.448486328125,-10.169172286987305
31201,7,200.0,1110,219326,2045.8515520800001,0.030579786747694016,17.00192642211914,216325,0.00073,-530.8466796875,-5.746276378631592
31482,7,200.0,1120,221326,2050.5866283100004,0.031085945665836334,17.4783992767334,218325,0.00073,-527.5621337890625,-2.4029324054718018
31764,7,200.0,1130,223326,2038.94645908,0.030976811423897743,18.75152587890625,220325,0.00073,-543.5294189453125,-14.616714477539062
32057,7,200.0,1140,225326,2043.33605425,0.03109731711447239,15.272055625915527,222325,0.00073,-533.1672973632812,-1.7090697288513184
32348,7,200.0,1150,227326,2043.44786475,0.029717346653342247,16.249553680419922,224325,0.00073,-558.6008911132812,-11.459558486938477
32637,7,200.0,1160,229326,2039.2475115199998,0.031207559630274773,14.643075942993164,226325,0.00073,-525.1797485351562,-3.87138295173645
32925,7,200.0,1170,231326,2036.2117621600003,0.029989514499902725,15.112399101257324,228325,0.00073,-533.5852661132812,-8.99988079071045
33216,7,200.0,1180,233326,2047.68589833,0.03031001426279545,19.223892211914062,230325,0.00073,-533.56787109375,0.10376143455505371
