time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
7,759083,767.2192129700001,7830,108383,100.0,0.006282017566263676,0.2609208822250366,-396.8585510253906,0.00073,756082,0.8012135028839111
7,760083,764.4302283199999,7840,108537,100.0,0.006081045605242252,0.2880195081233978,-396.30645751953125,0.00073,757082,1.9017329216003418
7,761083,763.8316419900001,7850,108690,100.0,0.005836077965795994,0.18314743041992188,-396.3433532714844,0.00073,758082,2.5628390312194824
7,762083,764.0239412300001,7860,108847,100.0,0.006078531965613365,0.2326335310935974,-395.64581298828125,0.00073,759082,5.265212059020996
7,763083,766.7418624100001,7870,109001,100.0,0.005447410047054291,0.20187194645404816,-396.1276550292969,0.00073,760082,-1.6031594276428223
6,764083,767.3051186100002,7880,109156,100.0,0.005783428438007832,0.2509562373161316,-395.22314453125,0.00073,761082,-2.138835906982422
6,765083,767.37508174,7890,109310,100.0,0.005807913839817047,0.19565919041633606,-395.0190124511719,0.00073,762082,3.1910526752471924
6,766083,756.7845105800001,7900,109461,100.0,0.00734168104827404,0.3724101185798645,-395.60357666015625,0.00073,763082,9.699172019958496
6,767083,756.7413759000001,7910,109614,100.0,0.0063826399855315685,0.3348056972026825,-394.7784118652344,0.00073,764082,6.898147106170654
6,768083,756.6972013999999,7920,109768,100.0,0.0068661803379654884,0.23941466212272644,-396.2232666015625,0.00073,765082,7.307205677032471
6,769083,758.8236737499999,7930,109921,100.0,0.006969499867409468,0.3538486361503601,-396.43988037109375,0.00073,766082,2.040173292160034
6,770083,761.56277055,7940,110074,100.0,0.007147522643208504,0.25302159786224365,-397.22833251953125,0.00073,767082,-7.630434989929199
6,771083,763.7218793500001,7950,110226,100.0,0.00657023536041379,0.17120397090911865,-397.15911865234375,0.00073,768082,-3.1347506046295166
6,772083,763.3244759900001,7960,110377,100.0,0.007254791911691427,0.19346418976783752,-396.7442932128906,0.00073,769082,11.722557067871094
6,773083,762.85485918,7970,110530,100.0,0.006747135892510414,0.24153810739517212,-396.8872985839844,0.00073,770082,-4.207790851593018
6,774083,761.4860402000002,7980,110681,100.0,0.006329709198325872,0.23786386847496033,-397.70159912109375,0.00073,771082,-6.141387462615967
6,775083,761.38671837,7990,110832,100.0,0.00593253830447793,0.1755189299583435,-397.1236572265625,0.00073,772082,-1.832785725593567
6,776083,771.9745651199999,8000,110982,100.0,0.006705411709845066,0.16759689152240753,-396.6729736328125,0.00073,773082,2.115194320678711
6,777083,771.9781232000001,8010,111133,100.0,0.006089257076382637,0.1590481847524643,-396.7010192871094,0.00073,774082,4.9239420890808105
6,778083,772.0154559399999,8020,111285,100.0,0.005772284232079983,0.25283244252204895,-396.53302001953125,0.00073,775082,-2.3643293380737305
6,779083,771.9840426,8030,111438,100.0,0.005688478238880634,0.44152119755744934,-396.56024169921875,0.00073,776082,-2.5447092056274414
6,780083,771.96194103,8040,111593,100.0,0.006837181281298399,0.32413238286972046,-396.2341613769531,0.00073,777082,1.0376133918762207
6,781083,772.4107318399999,8050,111747,100.0,0.007318347226828337,0.2661162316799164,-396.8769226074219,0.00073,778082,2.597682237625122
6,782083,772.9126109100002,8060,111897,100.0,0.006400276906788349,0.31375160813331604,-397.49298095703125,0.00073,779082,-0.7153527736663818
6,783083,773.27452337,8070,112049,100.0,0.006387042347341776,0.2234135866165161,-397.2833251953125,0.00073,780082,4.658881664276123
6,784083,774.63061097,8080,112199,100.0,0.005838031880557537,0.28036028146743774,-396.91363525390625,0.00073,781082,1.424976110458374
6,785083,774.7458647499998,8090,112349,100.0,0.005391408689320087,0.14862000942230225,-397.2415771484375,0.00073,782082,4.459310054779053
6,786083,774.8083200599998,8100,112504,100.0,0.005357399117201567,0.29455822706222534,-396.70526123046875,0.00073,783082,3.433957815170288
6,787083,770.2156952700002,8110,112658,100.0,0.005667592864483595,0.27087193727493286,-396.5151062011719,0.00073,784082,8.020678520202637
6,788083,766.6027881899998,8120,112812,100.0,0.007258625701069832,0.2406250238418579,-396.99951171875,0.00073,785082,-15.93786907196045
6,789083,764.8235539299999,8130,112966,100.0,0.0069833421148359776,0.3217465877532959,-397.7001953125,0.00073,786082,5.24688720703125
6,790083,764.48509901,8140,113119,100.0,0.007117935921996832,0.2588564455509186,-398.04571533203125,0.00073,787082,4.486238479614258
6,791083,764.4015822199998,8150,113272,100.0,0.006565678399056196,0.18125155568122864,-397.8609619140625,0.00073,788082,-3.215259552001953
6,792083,764.47981909,8160,113425,100.0,0.006091873627156019,0.2547571361064911,-397.6202087402344,0.00073,789082,-1.0194603204727173
6,793083,764.4504380699999,8170,113578,100.0,0.0062935128808021545,0.24871593713760376,-397.390380859375,0.00073,790082,-7.170928955078125
6,794083,763.75031311,8180,113735,100.0,0.005843273364007473,0.2186255306005478,-398.0289306640625,0.00073,791082,12.919967651367188
6,795083,763.4219891800001,8190,113892,100.0,0.006202237214893103,0.18209990859031677,-397.67041015625,0.00073,792082,13.932933807373047
6,796083,763.3940225100002,8200,114046,100.0,0.00539301848039031,0.1929783821105957,-397.35784912109375,0.00073,793082,-12.315946578979492
6,797083,768.01609022,8210,114200,100.0,0.005224304273724556,0.16097211837768555,-396.9947204589844,0.00073,794082,-5.4408345222473145
6,798083,771.70336472,8220,114354,100.0,0.005366101861000061,0.2559029757976532,-396.1385803222656,0.00073,795082,-3.1430253982543945
6,799083,771.3299391200002,8230,114507,100.0,0.005015671718865633,0.21844792366027832,-395.7646484375,0.00073,796082,8.73267650604248
6,800083,770.6735093199998,8240,114660,100.0,0.006072879768908024,0.3071748912334442,-396.7462463378906,0.00073,797082,6.419954299926758
6,801083,758.9077485299999,8250,114813,100.0,0.007973089814186096,0.4265736937522888,-398.6665954589844,0.00073,798082,13.729382514953613
6,802083,757.5676102100001,8260,114969,100.0,0.007433332037180662,0.2378920018672943,-398.9691162109375,0.00073,799082,1.9968740940093994
6,803083,757.70475286,8270,115124,100.0,0.006454314570873976,0.28440171480178833,-398.1625061035156,0.00073,800082,-1.0945930480957031
6,804083,758.4044209799999,8280,115279,100.0,0.005528950598090887,0.21518519520759583,-397.3410339355469,0.00073,801082,-1.1238144636154175
6,805083,758.73995821,8290,115430,100.0,0.005669614765793085,0.1870751976966858,-396.2960510253906,0.00073,802082,-3.164924144744873
6,806083,758.7475552899999,8300,115582,100.0,0.00513916602358222,0.24786663055419922,-396.31982421875,0.00073,803082,2.683347225189209
6,807083,758.78949413,8310,115736,100.0,0.005509044509381056,0.28500673174858093,-396.0313720703125,0.00073,804082,2.167884111404419
6,808083,758.77075333,8320,115890,100.0,0.005499304737895727,0.16217079758644104,-396.4127197265625,0.00073,805082,-3.109882354736328
6,809083,760.9153637600002,8330,116045,100.0,0.005246390122920275,0.2536064088344574,-395.8788757324219,0.00073,806082,8.776704788208008
6,810083,762.0178602399999,8340,116202,100.0,0.005015066359192133,0.19960403442382812,-395.77410888671875,0.00073,807082,-8.04939079284668
6,811083,773.2317358500001,8350,116355,100.0,0.005229904782027006,0.46610507369041443,-395.329345703125,0.00073,808082,14.169443130493164
6,812083,773.99791303,8360,116509,100.0,0.005693428218364716,0.20915082097053528,-395.7493591308594,0.00073,809082,5.466127395629883
6,813083,774.02611672,8370,116663,100.0,0.005805626977235079,0.24851499497890472,-395.8474426269531,0.00073,810082,-5.879293441772461
6,814083,774.04680637,8380,116817,100.0,0.0054053375497460365,0.14310280978679657,-396.13165283203125,0.00073,811082,3.2633063793182373
6,815083,774.0505656999999,8390,116969,100.0,0.004944053012877703,0.12217848002910614,-396.2604675292969,0.00073,812082,4.167647361755371
6,816083,773.6188705799999,8400,117123,100.0,0.005214921198785305,0.3279075026512146,-396.322998046875,0.00073,813082,8.486661911010742
6,817083,773.5950842099999,8410,117274,100.0,0.005326404701918364,0.33624282479286194,-395.9482116699219,0.00073,814082,-5.405738353729248
6,818083,773.58945049,8420,117426,100.0,0.0056390827521681786,0.3486660122871399,-396.0085754394531,0.00073,815082,9.281089782714844
6,819083,767.90612683,8430,117579,100.0,0.011450560763478279,0.6868185997009277,-398.6459045410156,0.00073,816082,13.277009010314941
6,820083,735.61958281,8440,117730,100.0,0.01417982392013073,1.2447102069854736,-413.294189453125,0.00073,817082,-12.609153747558594
