iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
43,1.333129644393921,-539.0942630339168,4.424539463945525,-531.7323547081676,-556.329081291478,0.0,0.5393030372892833,0.1,0.0411984920501709,0.20245647430419922,0.050645016,0.19868843,-541.1217793668541,-0.13881052633048033,-2.48673889782618,0.0,1680,0.3827505111694336,8.304189158763667e-05,7.987351396119027e-05,-535.9144652271044,0.0
44,1.3374216556549072,-538.6664981854543,3.612387634210154,-529.6905972791545,-551.9371330361528,0.0,0.5408142274039236,0.1,0.025700807571411133,0.27702832221984863,0.050165877,0.17372978,-540.8762512487141,-0.13874349079655954,-2.484596284821205,0.0,1652,0.393160343170166,9.476742894589386e-05,8.809415443010541e-05,-536.4852010989922,0.0
45,1.2849721908569336,-538.6412267388533,4.5669681849311985,-529.7623589402549,-557.6559872520464,0.0,0.5613962635148197,0.1,0.02086615562438965,0.20916342735290527,0.050006766,0.16314025,-540.652748797728,-0.13616513647870374,-2.484494811769955,0.0,1677,0.3413724899291992,9.644417846156825e-05,8.749932008956581e-05,-537.9352290798082,0.0
46,1.280663251876831,-539.0855263438607,4.5062103183323465,-530.1730614702159,-561.0206989892043,0.0,0.5561131681722077,0.1,0.011006355285644531,0.28091979026794434,0.051413044,0.1714846,-540.4960265523413,-0.13435544745348343,-2.4866466999337806,0.0,1728,0.3837759494781494,0.00011308429896632796,9.734977790521539e-05,-537.945630490512,0.0
47,1.6361243724822998,-538.7500281320878,3.6080751457010196,-530.403951751975,-547.517779379287,0.0,0.5348818446356364,0.1,0.025918960571289062,0.30320119857788086,0.049464524,0.19026834,-540.3214267103159,-0.13788913296528085,-2.4849762704705767,0.0,1701,0.4025874137878418,9.209911640579765e-05,8.25041192236376e-05,-537.5374745683891,0.0
48,1.3836166858673096,-540.1595538109374,4.734942827998474,-531.1100641924204,-560.0871163613494,0.0,0.5425585567702976,0.1,0.009975671768188477,0.28744029998779297,0.050669692,0.16315281,-540.305239420378,-0.13622117646922982,-2.492055023642519,0.0,1768,0.4820902347564697,9.76182474925924e-05,8.702882178746412e-05,-538.5620068051152,0.0
49,1.3036160469055176,-539.077527215771,4.946499668098952,-530.1422623931061,-561.4204101076377,0.0,0.5398765481870386,0.1,0.026796340942382812,0.29737114906311035,0.0507503,0.18818098,-540.1824681999174,-0.13723459713099356,-2.4866180769986137,0.0,1702,0.3808448314666748,9.845765724710953e-05,8.791138267205831e-05,-539.0010291980274,0.0
50,1.32228684425354,-538.1293741926196,3.999982047631412,-530.4125730620307,-551.4896444097716,0.0,0.5360113146387296,0.1,0.038779258728027344,0.2490701675415039,0.050134756,0.19038536,-539.9771587991876,-0.1346476628538535,-2.4820164545970766,0.0,1671,0.3929102420806885,9.919264965778046e-05,8.924501544205587e-05,-538.4660863955268,0.0
51,1.2982661724090576,-539.4537492497017,3.868704274887521,-530.4012268133304,-557.2633797152627,0.0,0.56303594335087,0.1,0.023847103118896484,0.27065157890319824,0.04953671,0.16991529,-539.924817844239,-0.13510836044800253,-2.488531440183864,0.0,1760,0.4410126209259033,8.282564620963477e-05,7.377487870947767e-05,-538.3300561530791,0.0
52,1.438951015472412,-538.8209916768436,3.8058681563385703,-531.425735049205,-553.0059126213616,0.0,0.533864589385338,0.1,0.03861856460571289,0.26315951347351074,0.049825035,0.18461984,-539.8144352274994,-0.13531724804330816,-2.485401585414372,0.0,1721,0.39081597328186035,9.042930355716043e-05,8.299224374744087e-05,-538.3878705616265,0.0
