time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates
750,100.0,75000,9436,-296.3418467000001,7,0.005908660124987364,0.00073,1.1473578214645386,81.03721618652344,1.2768856287002563,71999
760,100.0,76000,9569,-293.39435085,7,0.005526626016944647,0.00073,0.9661174416542053,80.22401428222656,-10.006264686584473,72999
770,100.0,77000,9702,-291.0704818,7,0.005514535121619701,0.00073,0.9694336652755737,83.5867919921875,5.185232162475586,73999
780,100.0,78000,9835,-289.08617763999996,7,0.005335792433470488,0.00073,0.917026162147522,85.67459869384766,3.159945487976074,74999
790,100.0,79000,9967,-285.47931797999996,7,0.005448586773127317,0.00073,0.8420150279998779,87.84406280517578,-2.1993865966796875,75999
800,100.0,80000,10100,-284.2940793199999,7,0.005153600126504898,0.00073,0.8883527517318726,87.80105590820312,1.9323058128356934,76999
810,100.0,81000,10232,-283.98290077999997,7,0.005128700286149979,0.00073,0.7904366254806519,89.29127502441406,-5.721107482910156,77999
820,100.0,82000,10364,-285.24220043,7,0.0051012542098760605,0.00073,0.7602245807647705,90.64237213134766,-12.072298049926758,78999
830,100.0,83000,10496,-284.01327051,7,0.004925740882754326,0.00073,0.8579161167144775,92.8983383178711,-4.424068450927734,79999
840,100.0,84000,10628,-285.25199598,7,0.0047903344966471195,0.00073,0.8428351283073425,93.33702087402344,-7.19270133972168,80999
850,100.0,85000,10760,-282.99681977,7,0.004889149684458971,0.00073,0.6456934213638306,94.41146087646484,-7.828683853149414,81999
860,100.0,86000,10892,-283.19238921,7,0.004653133451938629,0.00073,0.802655816078186,94.51911926269531,1.8290674686431885,82999
870,100.0,87000,11025,-281.22601526,7,0.0045853485353291035,0.00073,0.7361866235733032,96.4190902709961,-14.883749008178711,83999
880,100.0,88000,11159,-280.93609015,7,0.004556862637400627,0.00073,0.7248328924179077,97.1777572631836,1.6234018802642822,84999
890,100.0,89000,11293,-280.18953626999996,7,0.004479152616113424,0.00073,0.5513632893562317,99.14036560058594,-2.8948755264282227,85999
900,100.0,90000,11426,-282.31000499000004,7,0.004627709276974201,0.00073,0.7954410910606384,98.62525177001953,-4.211362361907959,86999
910,100.0,91000,11558,-280.42777708,7,0.004438380710780621,0.00073,0.7294051051139832,99.09264373779297,16.936208724975586,87999
920,100.0,92000,11691,-277.3664477,7,0.004384764935821295,0.00073,0.5624319314956665,100.48210144042969,3.9506044387817383,88999
