rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
760.9403170800001,52784,6,100.0,367000,3670,2.220285177230835,363999,0.0007175116916187108,0.07925698161125183,-394.3473815917969,0.00073
761.0787853500001,52935,6,100.0,368000,3680,3.0223774909973145,364999,0.000998851377516985,0.062084734439849854,-394.9195861816406,0.00073
760.60037424,53085,6,100.0,369000,3690,-2.219050168991089,365999,0.0008061594562605023,0.05862729251384735,-394.6728515625,0.00073
761.4166687999999,53235,6,100.0,370000,3700,-2.555818796157837,366999,0.0007177495281212032,0.021715017035603523,-394.5651550292969,0.00073
760.2532177899999,53384,6,100.0,371000,3710,0.2745053470134735,367999,0.0006433834787458181,0.02177818864583969,-394.9423828125,0.00073
759.9408955800001,53533,6,100.0,372000,3720,2.018465280532837,368999,0.0012401783606037498,0.09472282230854034,-393.98577880859375,0.00073
761.3264596599998,53681,6,100.0,373000,3730,-0.6361142992973328,369999,0.0007453477592207491,0.06308981031179428,-394.5031433105469,0.00073
760.7183450900001,53830,6,100.0,374000,3740,1.1201679706573486,370999,0.0006123732309788465,0.06392684578895569,-394.0953063964844,0.00073
762.2602683800001,53978,6,100.0,375000,3750,6.927968978881836,371999,0.0008028231677599251,0.020049016922712326,-393.8936767578125,0.00073
762.67507433,54127,6,100.0,376000,3760,-9.170140266418457,372999,0.0007797289290465415,0.012414675205945969,-394.7740478515625,0.00073
761.52742258,54276,6,100.0,377000,3770,-4.30421257019043,373999,0.0008159990538842976,0.062126874923706055,-394.5041198730469,0.00073
762.7658314600002,54426,6,100.0,378000,3780,1.6549886465072632,374999,0.0006842056754976511,0.027796927839517593,-394.5459899902344,0.00073
763.17321187,54575,6,100.0,379000,3790,-0.8458632826805115,375999,0.0006451010121963918,0.04820080101490021,-394.67437744140625,0.00073
762.4116843200001,54723,6,100.0,380000,3800,3.7016868591308594,376999,0.0008258072193711996,0.05077948421239853,-394.3315124511719,0.00073
762.73301615,54871,6,100.0,381000,3810,0.45100975036621094,377999,0.0006872318917885423,0.08744456619024277,-394.52655029296875,0.00073
763.91502062,55020,6,100.0,382000,3820,0.8642821907997131,378999,0.0005723331705667078,0.03129182755947113,-394.5367736816406,0.00073
763.6718453300002,55169,6,100.0,383000,3830,0.4738200902938843,379999,0.0008600218570791185,0.07381051778793335,-394.3382873535156,0.00073
764.0302613699998,55319,6,100.0,384000,3840,1.4106483459472656,380999,0.0006756372167728841,0.012120913714170456,-394.43121337890625,0.00073
764.43354987,55469,6,100.0,385000,3850,-4.024609088897705,381999,0.0005785367102362216,0.03327786549925804,-394.7291259765625,0.00073
763.7856161699998,55619,6,100.0,386000,3860,3.32753849029541,382999,0.0008007891592569649,0.026536844670772552,-394.1340026855469,0.00073
765.2500930499998,55769,6,100.0,387000,3870,-4.673069477081299,383999,0.0007804486667737365,0.10328200459480286,-394.7655029296875,0.00073
764.7854418500001,55920,6,100.0,388000,3880,-4.265987396240234,384999,0.0007675594533793628,0.1127452701330185,-394.3797912597656,0.00073
764.7517548900001,56070,6,100.0,389000,3890,-3.2981274127960205,385999,0.0007263926672749221,0.18318402767181396,-394.9096984863281,0.00073
