rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
41.48,1304448,7,29930,-193.39826881000005,183243,0.00073,5.203685760498047,0.0235675610601902,1301447,17.096088409423828,84.73140716552734
40.76,1304849,7,29940,-193.57934082000003,183298,0.00073,-8.2572660446167,0.023200543597340584,1301848,16.849349975585938,94.49111938476562
40.43,1305316,7,29950,-190.52159831999998,183363,0.00073,4.045777797698975,0.023280460387468338,1302315,17.26348876953125,95.66441345214844
39.13,1305651,7,29960,-187.14724855,183410,0.00073,-3.798034191131592,0.023808754980564117,1302650,18.507946014404297,92.64517211914062
38.49,1305986,7,29970,-187.32825513,183456,0.00073,3.854193687438965,0.023439517244696617,1302985,15.153522491455078,99.71550750732422
37.92,1306321,7,29980,-185.81573349,183503,0.00073,5.113901615142822,0.0235148873180151,1303320,16.11271858215332,94.857177734375
37.93,1306722,7,29990,-184.12922421,183558,0.00073,-8.112828254699707,0.024561041966080666,1303721,16.25436782836914,94.14010620117188
38.92,1307188,7,30000,-183.72107857999995,183623,0.00073,-9.154157638549805,0.02408473566174507,1304187,15.878087043762207,102.01530456542969
38.85,1307552,7,30010,-180.61314944999998,183673,0.00073,-7.083940029144287,0.02356884256005287,1304551,16.438011169433594,101.4627685546875
39.58,1307989,7,30020,-180.72039203000003,183733,0.00073,2.4679510593414307,0.023855263367295265,1304988,23.696640014648438,91.36355590820312
38.75,1308323,7,30030,-179.80243755999993,183780,0.00073,-11.576972961425781,0.02369118109345436,1305322,18.81447982788086,92.67757415771484
38.38,1308687,7,30040,-180.12140155,183830,0.00073,-0.5273382663726807,0.023747891187667847,1305686,19.05545997619629,98.61580657958984
37.72,1309088,7,30050,-181.53191487,183886,0.00073,-3.060450553894043,0.023918375372886658,1306087,17.946941375732422,100.54692077636719
39.06,1309557,7,30060,-180.53217951,183951,0.00073,-0.35822510719299316,0.024265477433800697,1306556,19.53805923461914,89.64506530761719
39.36,1309922,7,30070,-181.20362072,184002,0.00073,-0.9380607604980469,0.024790294468402863,1306921,18.71855354309082,93.04297637939453
39.68,1310289,7,30080,-182.24488040000003,184053,0.00073,4.282281875610352,0.023931153118610382,1307288,17.51270866394043,96.81053924560547
39.33,1310655,7,30090,-183.24962058,184103,0.00073,10.46499252319336,0.02365831285715103,1307654,16.50987434387207,94.81217193603516
39.13,1311101,7,30100,-189.09239586,184166,0.00073,5.158547878265381,0.023501895368099213,1308100,19.935657501220703,94.87069702148438
39.78,1311530,7,30110,-193.72293816,184226,0.00073,-6.791543483734131,0.023696858435869217,1308529,17.71282386779785,96.92305755615234
39.1,1311899,7,30120,-195.20730812000002,184278,0.00073,-6.573823928833008,0.023417018353939056,1308898,26.33880043029785,101.37129974365234
40.08,1312331,7,30130,-192.46673624,184339,0.00073,5.202682971954346,0.023855512961745262,1309330,21.06083869934082,96.4188461303711
40.77,1312764,7,30140,-189.74472594999995,184398,0.00073,0.6022458076477051,0.02420833893120289,1309763,23.34113883972168,90.46530151367188
39.76,1313064,7,30150,-190.58398954000003,184440,0.00073,-9.42336654663086,0.02413279563188553,1310063,20.557403564453125,90.61063385009766
39.68,1313525,7,30160,-190.80251536999995,184504,0.00073,-8.453511238098145,0.024660233408212662,1310524,25.46375846862793,107.73260498046875
40.18,1313940,7,30170,-192.53011944,184562,0.00073,-3.7803707122802734,0.024531014263629913,1310939,16.861055374145508,100.90872192382812
