time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
7,8.069514579999998,65.73,30331,3792,1180,0.00073,27330,1.3943421840667725,-4162.21435546875,11988.640625,0.009921953082084656
7,10.039309159999997,63.41,30724,3844,1190,0.00073,27723,1.2998473644256592,-4022.657470703125,13581.740234375,-0.15221349895000458
7,8.25436217,60.47,30979,3879,1200,0.00073,27978,1.2270480394363403,-3855.279541015625,61669.50390625,0.1761886179447174
7,5.345672709999998,57.43,31363,3932,1210,0.00073,28362,1.2377148866653442,-3735.741943359375,11775.2197265625,0.4191136658191681
7,3.4176186399999984,55.22,31912,4007,1220,0.00073,28911,1.122376799583435,-3536.711181640625,15595.41796875,-0.06866620481014252
7,0.9213354099999984,49.08,32230,4049,1230,0.00073,29229,1.02898108959198,-3465.95947265625,7579.74462890625,-0.03622383251786232
7,-2.0566401400000007,48.3,32977,4151,1240,0.00073,29976,0.976227343082428,-3287.265380859375,8040.50927734375,0.01199478842318058
7,-5.42999514,47.3,33413,4209,1250,0.00073,30412,0.8979874849319458,-3192.11669921875,7540.27978515625,-0.06681761145591736
7,-2.502630489999999,51.25,34052,4296,1260,0.00073,31051,0.8330652713775635,-3022.891357421875,7958.5263671875,-0.2956775724887848
7,-2.206308079999998,50.28,34826,4401,1270,0.00073,31825,0.7742756605148315,-2777.2490234375,5826.666015625,0.4099101126194
7,-0.04185853999999857,49.66,35297,4465,1280,0.00073,32296,0.70334392786026,-2606.63232421875,5609.8037109375,0.9181487560272217
7,-2.2091251000000014,52.62,35986,4558,1290,0.00073,32985,0.674583911895752,-2420.311279296875,4585.0185546875,-0.9768794775009155
7,-1.7728559700000013,55.75,36554,4636,1300,0.00073,33553,0.5919175148010254,-2268.86962890625,4406.5146484375,-0.3640744686126709
7,-3.840573579999999,57.55,37118,4713,1310,0.00073,34117,0.5454906821250916,-2175.708740234375,4612.84765625,-1.2233293056488037
7,-6.1066417,57.05,37617,4781,1320,0.00073,34616,0.490175724029541,-2052.0419921875,4800.671875,0.45085468888282776
7,-7.824115850000001,60.95,38325,4877,1330,0.00073,35324,0.46277618408203125,-1885.024169921875,7542.43994140625,0.8965067267417908
7,-4.698328309999999,59.92,38969,4964,1340,0.00073,35968,0.41151654720306396,-1723.9246826171875,3178.846435546875,-0.6583302617073059
