iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
23,1.286221981048584,-544.7920096757899,6.229219535402373,-534.1490766463895,-571.8059875254723,0.0,0.5043117450989235,0.1,0.040444374084472656,0.18733620643615723,0.05093295,0.20398965,-546.5809117184546,-0.15468235065156566,-2.5151925778861846,0.0,1694,0.24964356422424316,0.00037156071220185576,0.0003347895883142635,-566.7238800677641,0.0
24,1.639233112335205,-544.2070404632838,4.904460025041385,-534.7609164026551,-570.0357288944233,0.0,0.540040007189801,0.1,0.18467235565185547,1.5034406185150146,0.050418474,0.18284146,-546.3435245929375,-0.15150740832051143,-2.5122196415909044,0.0,1686,0.3150331974029541,0.0002739143701952851,0.00022554748572880962,-556.3941775984866,0.0
25,1.280897617340088,-543.4754005572757,4.477920976853494,-535.0264198890752,-558.5175747946786,0.0,0.5573200756948956,0.1,0.17039251327514648,1.654310703277588,0.050972737,0.19234973,-546.0567121893713,-0.15173724779059652,-2.5085023562635222,0.0,1665,0.21265125274658203,0.00022775540653469746,0.0001933148815863838,-543.7442099155265,0.0
26,1.458613395690918,-542.4697828993297,4.094729828410842,-534.7866463784668,-555.1682210605537,0.0,0.505401660604097,0.1,0.1291646957397461,0.7829818725585938,0.048427846,0.20644152,-545.6980192603671,-0.14707696720041744,-2.50354539394744,0.0,1639,0.221160888671875,0.00019877005339380565,0.00016773086723273899,-539.2124165379915,0.0
27,1.6611473560333252,-542.631815815539,3.9904964925591457,-534.2389264016747,-557.4659721835573,0.0,0.514127548021664,0.1,0.04577231407165527,0.2965810298919678,0.050648864,0.18161276,-545.3913989158843,-0.14610831126418822,-2.5042913810914778,0.0,1664,0.32439422607421875,0.00019672656677169158,0.00016022635806316315,-540.8258546763026,0.0
28,1.6322088241577148,-542.1265077536578,4.418587827324136,-533.8531054619674,-555.5450537999822,0.0,0.5213240755294228,0.1,0.06725573539733887,0.5282750129699707,0.05059667,0.19493951,-545.0649097996617,-0.1435487357580472,-2.5018595469154516,0.0,1667,0.266742467880249,0.0001600556900255156,0.00014109151958012904,-540.60857773564,0.0
29,1.2592175006866455,-540.702011037132,3.8796992447035565,-533.3386399048317,-555.6494006243692,0.0,0.5234733702390727,0.1,0.004769086837768555,0.3080143928527832,0.05108636,0.19893886,-544.6286199234087,-0.14055740337416722,-2.4946690094136157,0.0,1628,0.27829670906066895,0.00016710486390391518,0.00013287206281964234,-554.0930449769412,0.0
30,1.257493495941162,-540.7583245173164,3.2421489636097696,-534.0019099114376,-550.8495135344137,0.0,0.5394844349056053,0.1,0.09258413314819336,0.8992726802825928,0.05021596,0.18646038,-544.2415903827995,-0.14256854743434066,-2.4949676683150233,0.0,1636,0.39508509635925293,0.0001276181778508601,0.00011397498569685144,-546.3701009700305,0.0
31,1.2698187828063965,-541.2218835238781,4.450448424611547,-532.3261855114608,-557.2789282260081,0.0,0.49278087520066777,0.1,0.035074710845947266,1.1417872905731201,0.04933233,0.19527017,-543.9396196969074,-0.14693124703791616,-2.4973532953629474,0.0,1646,0.4034993648529053,0.00013382613351881208,0.00012024042131190548,-546.6208155120672,0.0
32,1.6689040660858154,-541.1583838130466,3.939189256220232,-533.2512815796385,-553.8073276273146,0.0,0.5318608210092991,0.1,0.040871381759643555,0.29789066314697266,0.04999839,0.1762303,-543.6614961085213,-0.14160057491931471,-2.496995636374173,0.0,1685,0.3309965133666992,0.0001168649518748947,0.00010317058197985643,-547.0049391035635,0.0
33,1.3943493366241455,-540.2827349983247,3.2697367888545177,-531.7863445704273,-549.1222783749162,0.0,0.500639867616222,0.1,0.004919528961181641,0.16425561904907227,0.0499664,0.19843689,-543.3236199975016,-0.14101292391171913,-2.492618053042206,0.0,1659,0.27862119674682617,0.0001370035081419327,0.00012707228887285475,-558.2416230049929,0.0
34,1.7347650527954102,-540.6620081928913,5.026385408402261,-531.9337657661824,-567.2214669916918,0.0,0.5076384515743985,0.1,0.005205631256103516,0.11431145668029785,0.04997739,0.20494351,-543.0574588170406,-0.1400994908299018,-2.494555108940423,0.0,1668,0.3218114376068115,0.00010992072995586013,0.00010694897379703936,-549.2360305610503,0.0
35,1.8067197799682617,-539.5880347586341,3.9900207036433124,-529.8145270241923,-554.592094849099,0.0,0.4930360600750473,0.1,0.0462644100189209,1.0760416984558105,0.05114777,0.19140692,-542.7105164111999,-0.13943447469720707,-2.489221712359331,0.0,1624,0.2374274730682373,0.00011212348696454864,9.97939859824346e-05,-564.0319380502215,0.0
