time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates
16908,42.08,-24.74149625,8,1891,510,0.00073,-8.509993553161621,-42.75869369506836,0.011788700707256794,1.519775629043579,13907
17408,42.08,-24.60035035,8,1957,520,0.00073,-3.9895119667053223,-36.81926727294922,0.010822388343513012,0.8974099159240723,14407
17880,41.8,-24.387567149999995,8,2020,530,0.00073,-4.124316692352295,-31.81717300415039,0.009659066796302795,3.4341328144073486,14879
18322,42.21,-27.073174629999997,8,2079,540,0.00073,-1.9692243337631226,-28.38229751586914,0.009335707873106003,3.492403745651245,15321
18792,44.6,-28.175025559999998,8,2142,550,0.00073,-21.48257064819336,-25.634613037109375,0.008858236484229565,1.1909101009368896,15791
19288,46.3,-28.70385333,8,2208,560,0.00073,3.6294572353363037,-26.178335189819336,0.00845708791166544,1.434746265411377,16287
19763,46.28,-27.50577614,8,2270,570,0.00073,-3.329965353012085,-19.372562408447266,0.008138028904795647,0.6441980600357056,16762
20214,46.11,-24.352390630000006,8,2330,580,0.00073,4.003623008728027,-20.218868255615234,0.007796066347509623,1.0440278053283691,17213
20608,46.32,-25.146828109999998,8,2382,590,0.00073,-2.225830316543579,-19.76005744934082,0.008205600082874298,1.3975238800048828,17607
21053,46.29,-24.672595049999998,8,2441,600,0.00073,-5.713409423828125,-16.85249900817871,0.0076878913678228855,1.3108491897583008,18052
21384,44.76,-22.771031039999997,8,2485,610,0.00073,-2.040254592895508,-18.467485427856445,0.007872850634157658,1.2148517370224,18383
21721,43.13,-20.139441729999998,8,2529,620,0.00073,2.8073322772979736,-19.10390281677246,0.008098644204437733,0.8417246341705322,18720
22170,42.9,-19.40440515,8,2589,630,0.00073,-9.148892402648926,-18.0773983001709,0.0078379325568676,0.840939462184906,19169
22613,42.91,-17.88039496,8,2648,640,0.00073,-12.199277877807617,-17.90376091003418,0.008133885450661182,1.0183240175247192,19612
23013,42.21,-16.44438929,8,2701,650,0.00073,-1.1305803060531616,-19.15656852722168,0.007871833629906178,1.3529200553894043,20012
23444,41.56,-16.907293709999998,8,2758,660,0.00073,-13.704904556274414,-16.22667121887207,0.00820430088788271,2.0732548236846924,20443
23783,40.2,-16.81320787,8,2804,670,0.00073,-0.20370614528656006,-22.18435287475586,0.008491783402860165,0.7968686819076538,20782
24146,39.32,-17.52747533,8,2852,680,0.00073,-6.532094478607178,-24.05219078063965,0.008237452246248722,0.7868069410324097,21145
24598,39.9,-14.986270079999999,8,2912,690,0.00073,0.9990789890289307,-21.65491485595703,0.008229497820138931,0.570141077041626,21597
24998,39.45,-14.029644949999998,8,2965,700,0.00073,11.118919372558594,-20.550737380981445,0.007854967378079891,0.5480588674545288,21997
25364,39.8,-12.924410990000002,8,3013,710,0.00073,-6.469688892364502,-22.629867553710938,0.007662612944841385,1.1803960800170898,22363
25787,40.66,-12.307328440000001,8,3068,720,0.00073,-17.346393585205078,-18.396949768066406,0.007431389763951302,1.2377809286117554,22786
26087,39.17,-10.586837619999999,8,3108,730,0.00073,-14.711447715759277,-22.239587783813477,0.007325455546379089,7.170350551605225,23086
26355,37.42,-9.57308849,8,3143,740,0.00073,13.737638473510742,-23.17330551147461,0.0074259559623897076,1.444680094718933,23354
26709,36.96,-10.073219459999997,8,3190,750,0.00073,-11.901180267333984,-21.313339233398438,0.007697009947150946,0.8489814400672913,23708
27145,37.01,-7.1545640100000005,8,3248,760,0.00073,15.455676078796387,-23.20929718017578,0.0075445594266057014,2.35709810256958,24144
27499,37.16,-7.4604218899999974,8,3295,770,0.00073,10.267659187316895,-23.76779556274414,0.007846874184906483,1.1292381286621094,24498
27820,36.74,-7.6648128700000004,8,3337,780,0.00073,-8.021293640136719,-21.11952781677246,0.00804052222520113,1.8685046434402466,24819
28125,35.27,-8.59983499,8,3378,790,0.00073,-4.526782512664795,-28.44927978515625,0.008029215969145298,1.835132360458374,25124
28447,34.49,-8.30606241,8,3420,800,0.00073,14.887429237365723,-25.260637283325195,0.008253549225628376,4.009801864624023,25446
28840,34.76,-10.14422474,8,3472,810,0.00073,-16.12291717529297,-30.2083797454834,0.009258296340703964,1.1145520210266113,25839
29241,34.54,-10.63558628,8,3525,820,0.00073,2.9253854751586914,-37.17729187011719,0.009381233714520931,1.3728084564208984,26240
29656,35.69,-10.20235942,8,3580,830,0.00073,1.2223536968231201,-35.18254470825195,0.01005778182297945,1.828357219696045,26655
30081,37.26,-9.385466150000001,8,3637,840,0.00073,4.901517868041992,-42.15369415283203,0.010352891869843006,2.470954656600952,27080
30362,36.53,-8.439656,8,3674,850,0.00073,0.99657142162323,-41.848018646240234,0.010742157697677612,1.4998173713684082,27361
30652,35.07,-2.6032113700000004,8,3712,860,0.00073,8.794905662536621,-48.813255310058594,0.011030711233615875,3.5638275146484375,27651
