time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss
85000,850,11706,7,761.56804557,100.0,0.00073,81999,-1.3021010160446167,-393.20855712890625,0.004155023954808712,0.12895174324512482
86000,860,11849,7,762.02907719,100.0,0.00073,82999,-0.5679064393043518,-393.7854919433594,0.004266987554728985,0.20930951833724976
87000,870,11993,7,763.8880424399999,100.0,0.00073,83999,-1.4378552436828613,-393.8064270019531,0.00427262531593442,0.16216611862182617
88000,880,12139,7,763.9939651899999,100.0,0.00073,84999,-3.9518775939941406,-393.60260009765625,0.004112816881388426,0.11881579458713531
89000,890,12285,7,764.6496741499998,100.0,0.00073,85999,-1.685425877571106,-393.2156982421875,0.004068595357239246,0.1254638433456421
90000,900,12433,7,766.1212423999999,100.0,0.00073,86999,-2.9476873874664307,-393.47833251953125,0.004121384117752314,0.08791258931159973
91000,910,12580,7,766.13949976,100.0,0.00073,87999,2.491135597229004,-392.6206970214844,0.0038505627308040857,0.19614045321941376
92000,920,12727,7,766.84484757,100.0,0.00073,88999,-3.9277241230010986,-393.47662353515625,0.003951430786401033,0.19692373275756836
93000,930,12877,7,766.6127864599999,100.0,0.00073,89999,1.819100260734558,-393.37310791015625,0.004115086514502764,0.2398870587348938
94000,940,13026,7,767.8180030199998,100.0,0.00073,90999,-1.0622773170471191,-393.37213134765625,0.0038455259054899216,0.1325455605983734
95000,950,13174,7,769.1219101499998,100.0,0.00073,91999,1.9034790992736816,-393.98638916015625,0.003682609647512436,0.16035258769989014
96000,960,13322,7,768.8688321599999,100.0,0.00073,92999,-2.2341017723083496,-393.80218505859375,0.003570999950170517,0.18370535969734192
97000,970,13468,7,767.44115113,100.0,0.00073,93999,-0.6362851858139038,-393.2896423339844,0.003681543981656432,0.10832658410072327
98000,980,13617,7,768.18157323,100.0,0.00073,94999,2.0089354515075684,-393.2781982421875,0.003704365808516741,0.12149491161108017
99000,990,13766,7,768.80400124,100.0,0.00073,95999,1.012941598892212,-394.20538330078125,0.0036974302493035793,0.08309240639209747
100000,1000,13914,7,769.3885838199999,100.0,0.00073,96999,4.164615154266357,-392.465576171875,0.0037046095822006464,0.17113780975341797
101000,1010,14062,7,770.6595479600002,100.0,0.00073,97999,2.9068150520324707,-392.8887023925781,0.003400988643988967,0.12920135259628296
102000,1020,14210,7,767.97403136,100.0,0.00073,98999,-2.1827473640441895,-394.01824951171875,0.003609358798712492,0.11792588233947754
103000,1030,14358,7,768.23819723,100.0,0.00073,99999,2.165281295776367,-393.58154296875,0.0036269116681069136,0.13458245992660522
104000,1040,14507,7,767.38521429,100.0,0.00073,100999,0.5787365436553955,-393.87506103515625,0.003252434078603983,0.09496381878852844
105000,1050,14654,7,766.4330012800002,100.0,0.00073,101999,3.4278626441955566,-394.0095520019531,0.0036421488039195538,0.14819128811359406
