time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
4596,8,37319,57.04,-316.3944663,870,0.14995241165161133,0.00073,34318,-228.17514038085938,0.4283207654953003,248.89772033691406
4653,8,37747,55.23,-306.15349135,880,0.14652809500694275,0.00073,34746,-222.7540740966797,2.892894744873047,285.5030822753906
4727,8,38297,54.37,-309.53970542,890,0.14958304166793823,0.00073,35296,-219.84214782714844,0.6669595241546631,260.78118896484375
4783,8,38726,53.94,-302.43066704999995,900,0.14630749821662903,0.00073,35725,-235.06903076171875,7.350567817687988,279.9036865234375
4878,8,39439,56.22,-305.11905595,910,0.14448904991149902,0.00073,36438,-274.37908935546875,6.112185955047607,304.9432373046875
4958,8,40045,56.24,-311.12522729000005,920,0.15367703139781952,0.00073,37044,-239.6347198486328,3.471853733062744,329.6861572265625
5025,8,40551,55.26,-315.85561608000006,930,0.15819349884986877,0.00073,37550,-204.83462524414062,-3.9020938873291016,252.49078369140625
5102,8,41140,55.11,-301.57625561000003,940,0.15936700999736786,0.00073,38139,-283.83447265625,-0.10423195362091064,319.01043701171875
5187,8,41784,56.64,-295.86971112,950,0.1675122082233429,0.00073,38783,-317.4418640136719,0.8979729413986206,420.85345458984375
5276,8,42458,57.13,-309.73752827000004,960,0.16881200671195984,0.00073,39457,-275.236572265625,0.4996994137763977,363.3734130859375
5367,8,43139,58.2,-309.81197514,970,0.17612561583518982,0.00073,40138,-324.857177734375,2.2276711463928223,473.89501953125
5434,8,43647,59.0,-318.1640033599999,980,0.17838552594184875,0.00073,40646,-312.28692626953125,-1.7082815170288086,379.47552490234375
5515,8,44263,59.66,-324.86638007,990,0.1788564771413803,0.00073,41262,-319.3533935546875,-0.3564492464065552,414.1025390625
5592,8,44844,61.18,-323.04619779,1000,0.18054170906543732,0.00073,41843,-347.9382019042969,3.2339048385620117,481.9271545410156
5655,8,45324,58.85,-313.56535965,1010,0.18153800070285797,0.00073,42323,-319.84344482421875,-6.097902297973633,544.8305053710938
5738,8,45952,59.07,-313.98218732000004,1020,0.18845492601394653,0.00073,42951,-348.699951171875,1.6081106662750244,498.1161804199219
5831,7,46647,60.96,-314.18869581,1030,0.2000095546245575,0.00073,43646,-388.4677734375,-2.243907928466797,550.3973388671875
5893,7,47120,59.8,-322.57941944,1040,0.20272353291511536,0.00073,44119,-418.5059814453125,1.3668797016143799,592.4795532226562
5940,7,47483,56.99,-329.25028287000004,1050,0.20531371235847473,0.00073,44482,-401.78570556640625,1.5053791999816895,810.50390625
6015,7,48042,55.84,-303.22856881,1060,0.205518439412117,0.00073,45041,-400.19720458984375,5.032772541046143,715.7935791015625
6111,7,48761,56.22,-290.17263563999995,1070,0.2105828821659088,0.00073,45760,-434.555908203125,0.6209611892700195,672.3422241210938
6207,7,49487,58.4,-285.36818101,1080,0.2389960139989853,0.00073,46486,-457.34967041015625,0.6027387380599976,944.1451416015625
6291,7,50115,58.52,-285.18535223,1090,0.24826988577842712,0.00073,47114,-476.05340576171875,-2.2618496417999268,724.7145385742188
6390,7,50852,60.08,-296.40944226999994,1100,0.25159457325935364,0.00073,47851,-525.07421875,3.62774920463562,884.8536376953125
6469,7,51399,60.75,-294.68243583000003,1110,0.25774717330932617,0.00073,48398,-546.7998657226562,-4.510012626647949,826.9500122070312
6543,7,51963,60.11,-282.70839085999995,1120,0.26052388548851013,0.00073,48962,-595.6346435546875,6.369198799133301,1039.447509765625
6631,7,52629,59.82,-280.36527241000005,1130,0.2725517153739929,0.00073,49628,-626.1428833007812,0.6100033521652222,998.9669799804688
6706,7,53192,60.72,-282.08696347,1140,0.2693977355957031,0.00073,50191,-560.7052001953125,-1.0965781211853027,1065.6708984375
6767,7,53648,61.65,-281.69394249,1150,0.2649646997451782,0.00073,50647,-562.2303466796875,4.609750747680664,961.9630126953125
6841,7,54208,61.66,-289.16436256000003,1160,0.24888695776462555,0.00073,51207,-534.1666870117188,-0.31268852949142456,789.7149047851562
6923,7,54831,60.7,-304.40383394,1170,0.24467594921588898,0.00073,51830,-575.7398681640625,-1.17472505569458,811.012939453125
6994,7,55366,58.79,-297.72694167000003,1180,0.238653302192688,0.00073,52365,-586.22265625,5.102519512176514,646.9393310546875
7066,7,55912,57.97,-285.77501858999995,1190,0.22888429462909698,0.00073,52911,-457.7334289550781,-3.475003242492676,645.5272216796875
7149,7,56542,56.9,-281.91222399,1200,0.21934069693088531,0.00073,53541,-505.1006164550781,-4.9790358543396,581.2835693359375
7243,7,57249,58.5,-289.60938724,1210,0.20579807460308075,0.00073,54248,-457.41021728515625,-3.1715683937072754,593.4733276367188
7314,7,57793,58.3,-300.55892898999997,1220,0.1936769336462021,0.00073,54792,-455.7060546875,1.169264793395996,503.6586608886719
7382,7,58299,56.7,-294.72515485,1230,0.18984171748161316,0.00073,55298,-477.6217956542969,3.412508487701416,573.9479370117188
7476,7,59000,58.08,-286.94051706000005,1240,0.1838718056678772,0.00073,55999,-425.92510986328125,0.7732881307601929,462.415283203125
7575,7,59742,60.94,-277.9589282,1250,0.174055814743042,0.00073,56741,-402.13238525390625,1.6810182332992554,441.349365234375
