time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss
7,92000,100.0,767.5254758600001,12609,920,-392.6806335449219,0.00073,0.0056100585497915745,0.18658986687660217,88999,-0.4737589955329895
7,93000,100.0,766.40742323,12754,930,-392.83612060546875,0.00073,0.005828735884279013,0.14138489961624146,89999,-0.6352213025093079
7,94000,100.0,766.0666810399999,12899,940,-393.0068664550781,0.00073,0.006011612247675657,0.21195657551288605,90999,-1.0351966619491577
7,95000,100.0,764.7849484599999,13043,950,-392.86297607421875,0.00073,0.005413651000708342,0.1421898752450943,91999,0.9005571603775024
7,96000,100.0,765.87864658,13188,960,-393.3597106933594,0.00073,0.005769691895693541,0.18051274120807648,92999,-0.20000137388706207
7,97000,100.0,765.44210899,13331,970,-393.91461181640625,0.00073,0.005493148695677519,0.16847877204418182,93999,-0.48612624406814575
7,98000,100.0,765.7210500499998,13475,980,-392.8883056640625,0.00073,0.005835284944623709,0.1368478238582611,94999,-0.2117515504360199
7,99000,100.0,765.30729259,13618,990,-392.5389404296875,0.00073,0.005159717984497547,0.11784084886312485,95999,-1.3451324701309204
7,100000,100.0,766.01796404,13762,1000,-393.2029113769531,0.00073,0.005279594101011753,0.14134368300437927,96999,-0.043174684047698975
7,101000,100.0,765.9594549000001,13908,1010,-393.6064758300781,0.00073,0.0050328634679317474,0.23780882358551025,97999,-4.0530877113342285
7,102000,100.0,765.4386882399999,14050,1020,-393.5152587890625,0.00073,0.004936060402542353,0.26445162296295166,98999,-1.4287903308868408
7,103000,100.0,766.51332317,14195,1030,-393.30047607421875,0.00073,0.004979110322892666,0.22041963040828705,99999,-1.168477177619934
7,104000,100.0,766.9444065700002,14341,1040,-394.2738342285156,0.00073,0.004838652443140745,0.15686877071857452,100999,-1.03905189037323
7,105000,100.0,768.0337320499999,14486,1050,-393.4316101074219,0.00073,0.004529397934675217,0.18842783570289612,101999,-0.756548285484314
7,106000,100.0,769.0551096099999,14630,1060,-393.87628173828125,0.00073,0.004512421321123838,0.18373613059520721,102999,-3.1429555416107178
7,107000,100.0,768.0868936999999,14773,1070,-393.55419921875,0.00073,0.0043430207297205925,0.18505652248859406,103999,-0.4534083604812622
7,108000,100.0,768.1533161,14917,1080,-393.5419006347656,0.00073,0.004647720605134964,0.10198740661144257,104999,0.9322166442871094
7,109000,100.0,768.6455954499999,15065,1090,-393.4238586425781,0.00073,0.004382499027997255,0.13512980937957764,105999,2.539503335952759
7,110000,100.0,767.88852514,15211,1100,-393.0935363769531,0.00073,0.004586422350257635,0.21822677552700043,106999,0.5502312183380127
7,111000,100.0,769.3226226799999,15355,1110,-393.3330078125,0.00073,0.004519767127931118,0.1249818205833435,107999,-0.1971675157546997
7,112000,100.0,768.9735633800001,15501,1120,-393.1618347167969,0.00073,0.004293632693588734,0.1593182384967804,108999,-0.02524435520172119
7,113000,100.0,768.9486928100002,15646,1130,-393.6119689941406,0.00073,0.004166827537119389,0.15020278096199036,109999,0.49670928716659546
7,114000,100.0,769.8464109299999,15793,1140,-393.39337158203125,0.00073,0.004291187040507793,0.19188493490219116,110999,1.1526117324829102
7,115000,100.0,768.91140147,15936,1150,-394.13177490234375,0.00073,0.004214656073600054,0.2235431671142578,111999,-0.9205622673034668
7,116000,100.0,768.82435189,16082,1160,-393.9178466796875,0.00073,0.004311705939471722,0.10177348554134369,112999,-0.22134822607040405
7,117000,100.0,769.8352395499999,16226,1170,-394.3017883300781,0.00073,0.004141508135944605,0.11402755975723267,113999,0.1122613400220871
7,118000,100.0,770.9913010099999,16371,1180,-393.66558837890625,0.00073,0.0042230007238686085,0.2942294478416443,114999,2.6136536598205566
7,119000,100.0,771.7327375799999,16516,1190,-393.9410095214844,0.00073,0.00408101687207818,0.1670885980129242,115999,-1.9200516939163208
7,120000,100.0,772.3703422699999,16661,1200,-394.3086853027344,0.00073,0.004064453300088644,0.163650244474411,116999,2.125230312347412
7,121000,100.0,771.7594152899999,16807,1210,-394.27178955078125,0.00073,0.0040403129532933235,0.23311451077461243,117999,0.04854831099510193
7,122000,100.0,772.68225756,16953,1220,-394.1020812988281,0.00073,0.004266346804797649,0.27841776609420776,118999,1.013694167137146
7,123000,100.0,772.92042739,17098,1230,-394.15252685546875,0.00073,0.0046636201441287994,0.11280041933059692,119999,-2.8877756595611572
7,124000,100.0,772.12670761,17243,1240,-393.88043212890625,0.00073,0.004312906879931688,0.1851462423801422,120999,-0.7376213073730469
7,125000,100.0,773.0156171000001,17390,1250,-393.61859130859375,0.00073,0.004540179390460253,0.23684599995613098,121999,4.158719539642334
7,126000,100.0,772.9440547099999,17535,1260,-394.25811767578125,0.00073,0.0042493026703596115,0.22820094227790833,122999,-0.15978661179542542
7,127000,100.0,773.3473124999999,17681,1270,-394.1587219238281,0.00073,0.0038061016239225864,0.14805060625076294,123999,0.6201385259628296
7,128000,100.0,773.0422107100002,17825,1280,-394.8893737792969,0.00073,0.003848791355267167,0.17101985216140747,124999,-2.2077579498291016
7,129000,100.0,772.3343579,17971,1290,-393.82879638671875,0.00073,0.0037990608252584934,0.13919347524642944,125999,4.590795516967773
7,130000,100.0,772.66733738,18117,1300,-393.7187805175781,0.00073,0.003930492792278528,0.20600077509880066,126999,0.9267906546592712
7,131000,100.0,771.65094784,18264,1310,-393.41632080078125,0.00073,0.003793147159740329,0.20429693162441254,127999,5.1365838050842285
7,132000,100.0,771.59929098,18409,1320,-395.053955078125,0.00073,0.003683598479256034,0.1331522911787033,128999,-1.480672836303711
7,133000,100.0,770.80937734,18555,1330,-393.9724426269531,0.00073,0.003694425569847226,0.13898104429244995,129999,-1.1174520254135132
7,134000,100.0,771.61095884,18700,1340,-393.8078918457031,0.00073,0.0034400022123008966,0.5360763072967529,130999,2.7113523483276367
7,135000,100.0,772.4328090900001,18844,1350,-394.3592834472656,0.00073,0.0036456116940826178,0.15237855911254883,131999,-0.8621963858604431
7,136000,100.0,773.06475582,18989,1360,-394.92462158203125,0.00073,0.0038110902532935143,0.1625659316778183,132999,0.9229656457901001
7,137000,100.0,772.4545764,19133,1370,-393.8116149902344,0.00073,0.003909324295818806,0.15499769151210785,133999,-0.49918752908706665
7,138000,100.0,771.52524172,19278,1380,-394.72760009765625,0.00073,0.003795146243646741,0.10799029469490051,134999,-3.9479517936706543
7,139000,100.0,771.69402958,19424,1390,-393.75927734375,0.00073,0.003650073427706957,0.335776150226593,135999,1.5750724077224731
7,140000,100.0,771.57831292,19569,1400,-394.19964599609375,0.00073,0.0036330060102045536,0.15527702867984772,136999,-0.4596971273422241
7,141000,100.0,773.86417736,19713,1410,-394.70013427734375,0.00073,0.003588602179661393,0.10948364436626434,137999,-3.211923122406006
7,142000,100.0,774.1155298600002,19857,1420,-394.509765625,0.00073,0.0035239262506365776,0.14098897576332092,138999,-3.201488971710205
7,143000,100.0,774.4360676800002,20002,1430,-394.5782775878906,0.00073,0.0033642665948718786,0.17192772030830383,139999,-3.4008030891418457
7,144000,100.0,773.2179364100001,20147,1440,-394.89996337890625,0.00073,0.0033250036649405956,0.10050171613693237,140999,-2.056272268295288
7,145000,100.0,772.71222299,20291,1450,-393.96044921875,0.00073,0.0036515877582132816,0.10373029112815857,141999,2.8708648681640625
7,146000,100.0,772.33090656,20437,1460,-393.91094970703125,0.00073,0.0034680587705224752,0.1133527159690857,142999,4.265009880065918
7,147000,100.0,772.6342753799998,20580,1470,-394.14251708984375,0.00073,0.0034637388307601213,0.08877135813236237,143999,0.742595911026001
7,148000,100.0,773.2912176799999,20724,1480,-394.69879150390625,0.00073,0.0034433763939887285,0.09860722720623016,144999,-2.2005772590637207
7,149000,100.0,772.6683416300001,20867,1490,-394.1672668457031,0.00073,0.0034268833696842194,0.16761627793312073,145999,2.4256391525268555
7,150000,100.0,771.7358430799999,21012,1500,-394.6540832519531,0.00073,0.0032520759850740433,0.10172136127948761,146999,0.1544961929321289
7,151000,100.0,771.4454904900001,21157,1510,-393.5489807128906,0.00073,0.0033585221972316504,0.12157449871301651,147999,2.349616527557373
7,152000,100.0,771.94709255,21302,1520,-394.777587890625,0.00073,0.003440382657572627,0.16746953129768372,148999,-1.1301836967468262
7,153000,100.0,770.90234121,21448,1530,-394.7753601074219,0.00073,0.003636557376012206,0.09754140675067902,149999,-2.8219025135040283
7,154000,100.0,771.78585834,21593,1540,-394.14849853515625,0.00073,0.003781282575801015,0.14309276640415192,150999,0.8532321453094482
7,155000,100.0,771.96075195,21741,1550,-394.5810546875,0.00073,0.0037010323721915483,0.07917630672454834,151999,-3.5345754623413086
7,156000,100.0,772.28003422,21886,1560,-394.7837829589844,0.00073,0.0032439434435218573,0.24244020879268646,152999,0.6506826877593994
7,157000,100.0,771.81726381,22031,1570,-394.8861999511719,0.00073,0.0031445424538105726,0.10945471376180649,153999,0.3955649137496948
7,158000,100.0,770.9602206799999,22177,1580,-394.66058349609375,0.00073,0.00335360923781991,0.0985121876001358,154999,1.0414899587631226
7,159000,100.0,771.91390488,22322,1590,-394.27276611328125,0.00073,0.0033167614601552486,0.09708912670612335,155999,1.8988516330718994
7,160000,100.0,772.70413575,22466,1600,-394.73199462890625,0.00073,0.0032917740754783154,0.10154874622821808,156999,1.3960833549499512
7,161000,100.0,772.0031792999999,22611,1610,-393.9001159667969,0.00073,0.003200375009328127,0.11539608985185623,157999,0.46013036370277405
