time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/actor_loss
8,700,28050,3369,66.89,18.070246429999994,20.372512817382812,0.00073,25049,-1.2387652397155762,0.06313131004571915,-37.470638275146484
8,710,28633,3447,65.8,15.474486550000002,19.361347198486328,0.00073,25632,-0.6194398403167725,0.06171417608857155,-29.79790496826172
8,720,29280,3533,65.66,21.32555108,19.50238037109375,0.00073,26279,-0.8367970585823059,0.06434450298547745,-31.55040740966797
8,730,29907,3616,65.06,20.13906315,22.254615783691406,0.00073,26906,-2.8725037574768066,0.06599705666303635,-38.49856185913086
8,740,30623,3709,66.74,53.44761928,19.455490112304688,0.00073,27622,0.40207791328430176,0.06915228813886642,-44.787498474121094
8,750,31372,3807,67.74,62.98026951999999,17.56624984741211,0.00073,28371,4.987603187561035,0.06873725354671478,-43.179718017578125
8,760,32002,3890,66.94,58.065245510000004,20.154884338378906,0.00073,29001,4.527981758117676,0.06768502295017242,-57.5533447265625
8,770,32604,3969,66.64,48.30482423,20.62021255493164,0.00073,29603,-1.1482945680618286,0.07020372152328491,-64.33060455322266
8,780,33266,4056,66.38,47.93940305,22.595134735107422,0.00073,30265,-1.1048754453659058,0.06839361786842346,-50.80118942260742
8,790,34016,4156,66.49,77.41785494000001,17.403553009033203,0.00073,31015,0.3240711987018585,0.06779070198535919,-66.85478973388672
8,800,34710,4247,66.6,84.53703776,24.015676498413086,0.00073,31709,4.5239434242248535,0.07246143370866776,-63.92721939086914
8,810,35421,4341,67.88,100.98718853999999,21.440998077392578,0.00073,32420,-2.385596513748169,0.07367285341024399,-74.60846710205078
8,820,36129,4434,68.49,111.94250364000001,27.5605525970459,0.00073,33128,0.8433130979537964,0.0758710503578186,-78.05835723876953
8,830,36872,4533,69.65,145.06459671,21.98082733154297,0.00073,33871,0.6278645992279053,0.07614172995090485,-73.65419006347656
8,840,37592,4628,69.69,146.018353,23.325031280517578,0.00073,34591,6.891711711883545,0.0798007920384407,-108.31158447265625
8,850,38301,4721,69.29,156.72938295,24.05617332458496,0.00073,35300,-5.656026840209961,0.08017516881227493,-90.97468566894531
8,860,39030,4817,70.28,174.87492546000001,25.766613006591797,0.00073,36029,-3.138688802719116,0.08128364384174347,-101.10868072509766
8,870,39780,4916,71.76,221.89051353000002,26.67058563232422,0.00073,36779,2.882284641265869,0.08452403545379639,-105.79065704345703
8,880,40528,5015,72.62,244.1331151,20.378389358520508,0.00073,37527,-1.7865138053894043,0.08266714215278625,-111.20259094238281
8,890,41278,5115,72.62,250.04825423,23.321548461914062,0.00073,38277,4.6430487632751465,0.08454703539609909,-124.94871520996094
8,900,41964,5206,72.54,264.44726943,24.541858673095703,0.00073,38963,0.45904433727264404,0.08775971829891205,-122.1312255859375
8,910,42714,5306,72.93,284.34331224,22.20850944519043,0.00073,39713,-2.212167501449585,0.08330923318862915,-118.07353973388672
8,920,43433,5402,73.04,291.21748279999997,18.24593734741211,0.00073,40432,-3.4661502838134766,0.08146446198225021,-127.38692474365234
8,930,44171,5502,72.99,291.65858442,22.568347930908203,0.00073,41170,-0.2769123911857605,0.08033312112092972,-136.36700439453125
8,940,44921,5603,73.29,316.06364006,17.65258026123047,0.00073,41920,3.296401023864746,0.07852032035589218,-120.75167083740234
8,950,45611,5696,73.1,322.30689512999993,18.962139129638672,0.00073,42610,0.8751549124717712,0.0799781009554863,-131.84544372558594
7,960,46306,5788,72.76,319.02357395999996,18.44091033935547,0.00073,43305,4.597376823425293,0.07861143350601196,-129.87823486328125
7,970,46984,5878,72.04,303.27446782999994,26.19760513305664,0.00073,43983,-3.925093412399292,0.07829350978136063,-129.40846252441406
7,980,47734,5976,72.06,316.28364953,18.26288604736328,0.00073,44733,-2.973804473876953,0.07953760027885437,-139.07418823242188
7,990,48436,6070,71.58,303.99756175,18.825489044189453,0.00073,45435,-2.071389675140381,0.08113272488117218,-130.5777587890625
7,1000,49186,6170,72.22,311.26518099,23.8129825592041,0.00073,46185,5.313847064971924,0.08211605995893478,-146.6393280029297
7,1010,49830,6256,71.16,283.37876780000005,21.853496551513672,0.00073,46829,-2.8565568923950195,0.08188605308532715,-144.5782928466797
7,1020,50545,6352,71.12,289.22507864000005,18.299514770507812,0.00073,47544,-2.835585594177246,0.08083435893058777,-143.5063934326172
7,1030,51295,6452,71.24,299.35437358,20.28791046142578,0.00073,48294,-8.099689483642578,0.08137346059083939,-155.64230346679688
7,1040,52045,6551,71.24,304.35127807000003,23.680755615234375,0.00073,49044,7.505793571472168,0.0842667669057846,-141.13827514648438
7,1050,52787,6649,71.76,298.49704701999997,19.96548080444336,0.00073,49786,3.8871378898620605,0.08032363653182983,-156.77833557128906
7,1060,53537,6749,72.31,310.50984664,20.346874237060547,0.00073,50536,-0.7929380536079407,0.08150172233581543,-146.1208953857422
7,1070,54215,6840,72.31,315.33376380000004,21.444826126098633,0.00073,51214,-0.28953245282173157,0.07979297637939453,-146.97573852539062
7,1080,54965,6939,72.31,305.50598173000003,21.469329833984375,0.00073,51964,-0.9749855399131775,0.0798153504729271,-147.68380737304688
7,1090,55715,7039,72.79,327.25474240000005,22.66417694091797,0.00073,52714,4.079286575317383,0.07979203760623932,-148.76148986816406
7,1100,56465,7138,72.79,337.64620423,14.79169750213623,0.00073,53464,-4.893780708312988,0.08090654760599136,-159.566650390625
7,1110,57132,7228,73.02,361.5543595500001,16.9290714263916,0.00073,54131,-4.4868083000183105,0.08058604598045349,-165.85342407226562
7,1120,57864,7325,73.19,364.60247311,20.520261764526367,0.00073,54863,3.2420361042022705,0.07875990122556686,-176.41766357421875
7,1130,58614,7427,73.19,370.12142871000003,16.6624813079834,0.00073,55613,-0.16896364092826843,0.07797598093748093,-159.6459197998047
7,1140,59364,7528,73.19,366.23110231,22.620058059692383,0.00073,56363,-1.681579828262329,0.07885713130235672,-163.59300231933594
7,1150,60114,7629,73.27,379.25542240999994,16.430208206176758,0.00073,57113,-1.4831953048706055,0.07710817456245422,-160.35450744628906
7,1160,60676,7704,71.39,353.26525502,21.42890167236328,0.00073,57675,0.9009794592857361,0.07803209125995636,-156.92506408691406
7,1170,61372,7797,71.57,345.71572867,19.702312469482422,0.00073,58371,-1.093762755393982,0.07908087968826294,-170.79730224609375
7,1180,62095,7895,71.3,350.43304330000007,17.847999572753906,0.00073,59094,5.610280990600586,0.07971297949552536,-159.1638946533203
7,1190,62837,7995,71.22,341.4671144200001,19.045215606689453,0.00073,59836,2.3343563079833984,0.07634305953979492,-159.85208129882812
7,1200,63563,8092,70.98,328.44787993000006,19.416156768798828,0.00073,60562,2.4439897537231445,0.07436966150999069,-151.27992248535156
7,1210,64313,8192,71.81,344.73860120000006,21.482324600219727,0.00073,61312,4.264309406280518,0.07673719525337219,-159.91452026367188
7,1220,65063,8293,71.99,357.9984101499999,18.267545700073242,0.00073,62062,3.659691333770752,0.07650331407785416,-165.63925170898438
7,1230,65813,8393,71.99,361.3002688499999,15.665654182434082,0.00073,62812,2.608018398284912,0.07617808133363724,-173.2068328857422
7,1240,66419,8474,70.55,334.4087572899999,19.365970611572266,0.00073,63418,0.8417348265647888,0.07430785894393921,-181.26341247558594
