time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss
7,727.7550796700001,12808,99136,1220,100.0,0.03803875297307968,96135,6.348971843719482,-289.5522155761719,0.00073,8.063714981079102
7,731.90298322,12944,100136,1230,100.0,0.038935497403144836,97135,-1.8837497234344482,-287.5113525390625,0.00073,5.158750534057617
7,733.1406006899998,13082,101136,1240,100.0,0.037844013422727585,98135,-3.3750572204589844,-289.3788146972656,0.00073,4.203879356384277
7,758.4338992099998,13219,102136,1250,100.0,0.0379035659134388,99135,5.205853462219238,-293.56915283203125,0.00073,7.6552510261535645
7,765.56313506,13355,103136,1260,100.0,0.037912361323833466,100135,2.9549665451049805,-292.72039794921875,0.00073,4.625197887420654
7,766.33223761,13493,104136,1270,100.0,0.037548840045928955,101135,5.925033092498779,-292.17449951171875,0.00073,4.232396125793457
7,766.6329575799999,13630,105136,1280,100.0,0.03797616437077522,102135,-3.0073344707489014,-292.16796875,0.00073,3.922337532043457
7,766.7704782999998,13767,106136,1290,100.0,0.03771752119064331,103135,-0.27717989683151245,-291.12872314453125,0.00073,5.4998779296875
7,767.2327792399999,13903,107136,1300,100.0,0.037495940923690796,104135,3.1203370094299316,-296.1617126464844,0.00073,5.30327033996582
7,767.5219458200002,14039,108136,1310,100.0,0.03758345544338226,105135,2.3519206047058105,-294.8654479980469,0.00073,4.919281482696533
7,767.5718935599999,14174,109136,1320,100.0,0.03737978637218475,106135,3.2982592582702637,-297.11016845703125,0.00073,3.788703441619873
7,767.48988237,14311,110136,1330,100.0,0.0374566875398159,107135,5.146617889404297,-298.67437744140625,0.00073,4.989170551300049
7,767.5529179999999,14448,111136,1340,100.0,0.03771306946873665,108135,-4.233926296234131,-299.59979248046875,0.00073,4.012383460998535
7,767.3639866799999,14585,112136,1350,100.0,0.03661816194653511,109135,1.7889909744262695,-298.19757080078125,0.00073,4.971673488616943
7,769.1334357000001,14721,113136,1360,100.0,0.03713160380721092,110135,6.00485372543335,-299.1668701171875,0.00073,4.031979560852051
7,769.04090941,14858,114136,1370,100.0,0.036550458520650864,111135,-2.127469062805176,-299.2605895996094,0.00073,6.786877632141113
7,768.42489156,14994,115136,1380,100.0,0.03793617710471153,112135,-7.017432689666748,-301.3347473144531,0.00073,4.441920280456543
7,768.44361016,15132,116136,1390,100.0,0.03725314140319824,113135,-3.9963502883911133,-301.30755615234375,0.00073,3.426633834838867
7,768.4515479900001,15270,117136,1400,100.0,0.0367887057363987,114135,1.151513934135437,-299.91021728515625,0.00073,5.528195381164551
7,768.5304683800001,15407,118136,1410,100.0,0.03686334565281868,115135,-2.2438790798187256,-303.4920654296875,0.00073,7.034562587738037
7,768.5621652900002,15544,119136,1420,100.0,0.03709353134036064,116135,-2.2231295108795166,-304.154296875,0.00073,3.954861640930176
7,768.69125029,15680,120136,1430,100.0,0.0370662659406662,117135,1.511152744293213,-302.69403076171875,0.00073,3.296666145324707
7,768.5776872900001,15816,121136,1440,100.0,0.03673913702368736,118135,-0.7159804105758667,-301.71405029296875,0.00073,3.9821479320526123
7,768.33640375,15952,122136,1450,100.0,0.03789932653307915,119135,-1.7328474521636963,-305.0036926269531,0.00073,3.2637581825256348
7,767.9328679599998,16088,123136,1460,100.0,0.03651908412575722,120135,7.397642135620117,-305.9551086425781,0.00073,11.171323776245117
7,767.83497631,16223,124136,1470,100.0,0.036898624151945114,121135,-3.2307541370391846,-304.5845642089844,0.00073,4.90595006942749
7,768.11288779,16361,125136,1480,100.0,0.03727937862277031,122135,-2.0829086303710938,-305.91436767578125,0.00073,23.823848724365234
7,768.0485307400002,16496,126136,1490,100.0,0.03618934005498886,123135,-2.2755260467529297,-309.4291687011719,0.00073,4.510783672332764
