time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates
550,1151,21.0,11055,-13.543811910000002,9,0.008649798110127449,0.3982754349708557,0.00073,-3.467543601989746,-45.86259460449219,8054
560,1181,21.2,11283,-13.53068689,9,0.007988006807863712,0.3340708613395691,0.00073,-3.0501549243927,-33.81904983520508,8282
570,1208,21.48,11482,-13.487072390000002,9,0.007559803314507008,0.31594210863113403,0.00073,-2.8602559566497803,-31.25453758239746,8481
580,1247,22.09,11777,-13.654868060000002,9,0.00708503182977438,0.2651869058609009,0.00073,-2.9456658363342285,1.6607109308242798,8776
590,1279,21.81,12005,-13.568364,9,0.006864700932055712,0.19862812757492065,0.00073,-2.2334375381469727,-20.21956443786621,9004
600,1304,21.49,12192,-13.189933289999999,9,0.006547077093273401,0.27819812297821045,0.00073,-2.6010184288024902,5.635496139526367,9191
610,1337,21.94,12442,-13.050569300000001,9,0.006245980504900217,0.2855256199836731,0.00073,-2.0258703231811523,-4.300273418426514,9441
620,1369,21.94,12680,-12.748475989999998,9,0.006004747934639454,0.1861705482006073,0.00073,-1.4303375482559204,-19.67017364501953,9679
630,1401,22.34,12913,-12.560570180000003,9,0.0056504360400140285,0.19574031233787537,0.00073,-1.2542431354522705,-8.845131874084473,9912
640,1433,22.91,13152,-12.404824859999998,9,0.005362815223634243,0.22747033834457397,0.00073,-0.44247761368751526,-2.536898374557495,10151
650,1470,23.71,13426,-12.38763482,9,0.005203229375183582,0.18327558040618896,0.00073,-0.7347825765609741,-13.159232139587402,10425
660,1499,23.61,13644,-12.191782459999997,9,0.005136833526194096,0.1717025637626648,0.00073,-0.5986984968185425,-14.492447853088379,10643
670,1530,23.91,13873,-12.136793099999998,9,0.004877751227468252,0.1673050820827484,0.00073,-0.44713208079338074,-11.056611061096191,10872
680,1556,22.91,14068,-11.94703918,9,0.004672523587942123,0.15881630778312683,0.00073,-0.36351078748703003,-19.148778915405273,11067
690,1582,22.55,14260,-11.88608086,9,0.0044351122342050076,0.13594740629196167,0.00073,0.5517033338546753,-13.373873710632324,11259
700,1607,22.55,14447,-12.25190408,8,0.004227112513035536,0.21309992671012878,0.00073,0.645749568939209,-5.725671291351318,11446
710,1637,22.31,14673,-12.23862089,8,0.003999888896942139,0.15303796529769897,0.00073,0.835932731628418,-0.9756457805633545,11672
720,1672,22.56,14936,-12.282164320000003,8,0.0039272368885576725,0.15152838826179504,0.00073,0.6899948120117188,3.5657668113708496,11935
730,1700,22.3,15143,-12.30256497,8,0.003897200571373105,0.15255025029182434,0.00073,0.9970921277999878,1.0394285917282104,12142
740,1728,22.0,15352,-12.041165999999999,8,0.0037175645120441914,0.11135739088058472,0.00073,1.555200457572937,-12.620532035827637,12351
750,1759,21.55,15581,-11.694626099999999,8,0.0034757936373353004,0.11261247098445892,0.00073,1.5517584085464478,-11.685592651367188,12580
760,1782,21.06,15750,-11.815492099999998,8,0.0033695148304104805,0.11507147550582886,0.00073,1.4278773069381714,-2.1051013469696045,12749
770,1812,20.98,15971,-11.88029974,8,0.003377145854756236,0.10270164906978607,0.00073,1.7957720756530762,0.9112091064453125,12970
780,1839,21.07,16175,-11.69343028,8,0.003217119723558426,0.10216264426708221,0.00073,1.862028956413269,0.640292763710022,13174
790,1868,21.34,16394,-11.767008350000001,8,0.0031695212237536907,0.102737195789814,0.00073,1.8657231330871582,6.664565086364746,13393
800,1901,21.88,16635,-11.61675983,8,0.0031235741917043924,0.08274966478347778,0.00073,1.8203474283218384,5.52235221862793,13634
810,1927,21.56,16829,-11.402462409999998,8,0.003004715545102954,0.10986445099115372,0.00073,2.1413891315460205,-12.270806312561035,13828
820,1954,20.92,17028,-11.00370984,8,0.002896962920203805,0.08163511753082275,0.00073,2.282360792160034,3.901580810546875,14027
830,1983,20.98,17241,-10.7245963,8,0.0026675222907215357,0.07222697138786316,0.00073,2.464649200439453,-9.713123321533203,14240
840,2017,21.38,17490,-11.007713239999998,8,0.0026017872150987387,0.06567443907260895,0.00073,2.4011776447296143,8.260152816772461,14489
850,2052,21.66,17747,-11.301899039999999,8,0.002577156526967883,0.0665200799703598,0.00073,2.3840513229370117,7.824649333953857,14746
860,2076,21.77,17927,-11.029792160000001,8,0.002659205114468932,0.06454687565565109,0.00073,2.464360237121582,5.699407577514648,14926
870,2102,21.51,18122,-10.871125710000001,8,0.002585120964795351,0.07037797570228577,0.00073,2.6665689945220947,-4.728043556213379,15121
880,2125,21.17,18292,-10.93269421,8,0.00260880496352911,0.0720662772655487,0.00073,2.8220338821411133,-25.66164207458496,15291
890,2167,22.03,18597,-11.326570809999998,8,0.0022539300844073296,0.06772454082965851,0.00073,2.857489585876465,-3.355222702026367,15596
900,2200,22.09,18844,-11.533855649999998,8,0.002210695529356599,0.057633645832538605,0.00073,2.9993090629577637,-3.2465901374816895,15843
910,2224,21.98,19027,-11.4616659,8,0.00220759236253798,0.05115140974521637,0.00073,3.0147340297698975,5.415284156799316,16026
920,2248,21.78,19206,-11.414061550000003,8,0.0022015131544321775,0.06111343950033188,0.00073,3.1385631561279297,-0.34946250915527344,16205
930,2275,21.65,19406,-11.617556969999995,8,0.002092381939291954,0.07725144922733307,0.00073,3.0944480895996094,-0.33266353607177734,16405
940,2305,21.38,19628,-11.448316980000001,8,0.0019873997662216425,0.05073510855436325,0.00073,3.1522483825683594,-5.6353583335876465,16627
950,2329,20.57,19804,-11.136663909999998,8,0.001991274766623974,0.0580369234085083,0.00073,3.2460007667541504,-13.916625022888184,16803
960,2353,20.54,19981,-11.221135339999996,8,0.001903132419101894,0.05599799007177353,0.00073,3.4327056407928467,3.29990553855896,16980
970,2378,20.45,20167,-11.25637538,8,0.001873300177976489,0.04360819235444069,0.00073,3.346820831298828,12.087993621826172,17166
980,2406,20.78,20370,-11.139244889999997,8,0.0018765275599434972,0.04796469211578369,0.00073,3.333845615386963,4.026838302612305,17369
990,2435,19.89,20586,-10.663891220000004,8,0.0018209363333880901,0.04806448519229889,0.00073,3.6468231678009033,-1.0584070682525635,17585
1000,2465,19.67,20811,-10.41142925,8,0.0017956654774025083,0.04837361350655556,0.00073,3.7224836349487305,13.20046615600586,17810
1010,2499,20.32,21059,-10.63243638,8,0.001737794023938477,0.04909432306885719,0.00073,3.6589620113372803,-3.570591449737549,18058
1020,2544,21.52,21358,-11.155736519999998,8,0.001874831854365766,0.05678757280111313,0.00073,3.6459267139434814,0.26320576667785645,18357
1030,2575,21.53,21559,-11.24223478,8,0.001824593753553927,0.043649256229400635,0.00073,3.7617149353027344,4.576024532318115,18558
1040,2605,21.24,21752,-11.348272099999999,8,0.0016979525098577142,0.04673159494996071,0.00073,3.7307932376861572,24.56879997253418,18751
1050,2629,21.21,21925,-11.358072429999998,8,0.001728542847558856,0.05405294895172119,0.00073,3.5500974655151367,-12.637946128845215,18924
1060,2659,21.69,22150,-11.458354370000002,8,0.001636122353374958,0.032745882868766785,0.00073,3.5461909770965576,-9.887422561645508,19149
1070,2690,22.19,22386,-11.550360709999998,8,0.0016252356581389904,0.04697999358177185,0.00073,3.626763105392456,-15.949000358581543,19385
1080,2723,22.63,22633,-11.62274243,8,0.0015738381771370769,0.04448464512825012,0.00073,3.660088539123535,-17.682514190673828,19632
