time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
5493,8,-275.89180274,440,100.0,44000,0.0039428481832146645,-6.118912696838379,40999,87.07847595214844,0.6690064668655396,0.00073
5627,7,-273.74053539,450,100.0,45000,0.003702956484630704,-0.4916081428527832,41999,88.97828674316406,0.5751919746398926,0.00073
5760,7,-273.46318282,460,100.0,46000,0.0036437208764255047,17.65287971496582,42999,89.99103546142578,0.6519803404808044,0.00073
5893,7,-273.34429939999995,470,100.0,47000,0.0036996030248701572,19.64946746826172,43999,89.9656753540039,0.5753711462020874,0.00073
6027,7,-270.4003077,480,100.0,48000,0.003573243273422122,5.120412349700928,44999,91.61665344238281,0.5895278453826904,0.00073
6160,7,-271.57769983,490,100.0,49000,0.003322608768939972,2.240445137023926,45999,93.24465942382812,0.5056775212287903,0.00073
6294,7,-266.63773032999995,500,100.0,50000,0.0033895019441843033,6.27814245223999,46999,94.2767105102539,0.5511638522148132,0.00073
6429,7,-266.38835171,510,100.0,51000,0.003280681325122714,-4.623869895935059,47999,94.69529724121094,0.4735935628414154,0.00073
6562,7,-261.50481235999996,520,100.0,52000,0.0033035455271601677,-1.2147066593170166,48999,95.83326721191406,0.47788524627685547,0.00073
6695,7,-259.07912776,530,100.0,53000,0.003287077881395817,4.96896505355835,49999,96.77095794677734,0.40803176164627075,0.00073
6828,7,-261.77305357,540,100.0,54000,0.0033115558326244354,-7.790294170379639,50999,96.50991821289062,0.5168614387512207,0.00073
6963,7,-259.70450023999996,550,100.0,55000,0.0032718467991799116,5.417064666748047,51999,98.37847900390625,0.40451979637145996,0.00073
7096,7,-255.99395687999996,560,100.0,56000,0.0033664973452687263,-0.6733062267303467,52999,96.6297607421875,0.37695741653442383,0.00073
7228,7,-254.36091230000002,570,100.0,57000,0.0033374030608683825,-2.002476453781128,53999,97.94683074951172,0.5469727516174316,0.00073
7361,7,-251.81244035,580,100.0,58000,0.003228203859180212,-0.8644313812255859,54999,98.46361541748047,0.43816810846328735,0.00073
7494,7,-246.50002396,590,100.0,59000,0.003155003534629941,-2.053363800048828,55999,97.86138916015625,0.44789618253707886,0.00073
7627,7,-243.67911904999994,600,100.0,60000,0.0030982717871665955,12.573272705078125,56999,99.19342803955078,0.42054659128189087,0.00073
7759,7,-240.76322495999997,610,100.0,61000,0.003110499121248722,4.337879657745361,57999,99.29963684082031,0.4344642162322998,0.00073
7892,7,-242.86723618999997,620,100.0,62000,0.00328130554407835,7.275051116943359,58999,99.22037506103516,0.43211913108825684,0.00073
8025,7,-238.31899714,630,100.0,63000,0.003160178428515792,12.478602409362793,59999,98.84151458740234,0.3334149718284607,0.00073
8159,7,-232.66765096,640,100.0,64000,0.0031131950672715902,4.931276321411133,60999,98.96035766601562,0.31916552782058716,0.00073
8293,7,-230.16549489000005,650,100.0,65000,0.0030186872463673353,4.418558597564697,61999,99.08658599853516,0.4579712748527527,0.00073
8426,7,-227.33706732,660,100.0,66000,0.0030008824542164803,-3.7762229442596436,62999,99.23663330078125,0.42691612243652344,0.00073
8561,7,-221.94421292000004,670,100.0,67000,0.0032445683609694242,17.760562896728516,63999,99.4454345703125,0.32114702463150024,0.00073
8696,7,-218.28038192,680,100.0,68000,0.003100941190496087,2.0163354873657227,64999,98.26841735839844,0.30920302867889404,0.00073
8829,7,-213.45913676,690,100.0,69000,0.003113481681793928,3.256631851196289,65999,97.15266418457031,0.276486873626709,0.00073
8961,7,-207.48320953999996,700,100.0,70000,0.0030750478617846966,5.140292167663574,66999,97.2904281616211,0.26867976784706116,0.00073
9095,7,-199.59090848999998,710,100.0,71000,0.003234812757000327,7.233248710632324,67999,96.1192626953125,0.24701061844825745,0.00073
9228,7,-189.43973282,720,100.0,72000,0.003359587164595723,17.863418579101562,68999,95.22332763671875,0.24198868870735168,0.00073
9360,7,-183.11815207,730,100.0,73000,0.0032941827084869146,5.004671573638916,69999,93.06634521484375,0.21187929809093475,0.00073
9495,7,-176.10086618000003,740,100.0,74000,0.003406061790883541,-2.1114895343780518,70999,90.33732604980469,0.2724530100822449,0.00073
9628,7,-168.68100723999999,750,100.0,75000,0.003341770963743329,-20.141162872314453,71999,88.41222381591797,0.21567443013191223,0.00073
9761,7,-162.09117701000002,760,100.0,76000,0.0033617778681218624,-1.08356511592865,72999,87.75303649902344,0.22591575980186462,0.00073
9895,7,-156.22123037999998,770,100.0,77000,0.0032459176145493984,-12.851522445678711,73999,85.55111694335938,0.2163691520690918,0.00073
10028,7,-150.78299207,780,100.0,78000,0.0032167776953428984,4.3741455078125,74999,84.84858703613281,0.199934184551239,0.00073
10163,7,-147.4158441,790,100.0,79000,0.0031236247159540653,7.850914478302002,75999,83.88458251953125,0.17641326785087585,0.00073
10298,7,-145.33191295999998,800,100.0,80000,0.003152565797790885,8.866159439086914,76999,82.99211883544922,0.1917274296283722,0.00073
10434,7,-143.55773577000002,810,100.0,81000,0.003064577467739582,-0.09717082977294922,77999,82.07768249511719,0.17350535094738007,0.00073
10569,7,-142.40368451999998,820,100.0,82000,0.0029479735530912876,7.2886762619018555,78999,82.56854248046875,0.15639352798461914,0.00073
10704,7,-141.29908289000002,830,100.0,83000,0.0030758485663682222,-0.7534341812133789,79999,82.0741195678711,0.1544564962387085,0.00073
10838,7,-140.21247584000002,840,100.0,84000,0.002995608374476433,7.189545631408691,80999,81.03844451904297,0.16662447154521942,0.00073
10972,7,-139.6663749,850,100.0,85000,0.002994387410581112,3.5889408588409424,81999,81.31653594970703,0.16796422004699707,0.00073
11108,7,-139.22472095000003,860,100.0,86000,0.00290389871224761,-0.6108741760253906,82999,81.00230407714844,0.17163144052028656,0.00073
11243,7,-138.73377357,870,100.0,87000,0.0028632436878979206,10.04826545715332,83999,81.32157897949219,0.1417272984981537,0.00073
11377,7,-138.23294266999997,880,100.0,88000,0.0028243991546332836,-5.0081634521484375,84999,79.81344604492188,0.1692698895931244,0.00073
11511,7,-137.57155239,890,100.0,89000,0.0028760144487023354,-3.190145492553711,85999,80.82628631591797,0.1579570174217224,0.00073
11646,7,-136.73938300999998,900,100.0,90000,0.0028324630111455917,3.325700283050537,86999,79.56784057617188,0.12660761177539825,0.00073
11782,7,-135.8433052,910,100.0,91000,0.00273791397921741,6.965567111968994,87999,79.23889923095703,0.11222197115421295,0.00073
11917,7,-135.06029962,920,100.0,92000,0.002695638919249177,2.0196473598480225,88999,78.7190933227539,0.12536662817001343,0.00073
12051,7,-134.55891461,930,100.0,93000,0.0027044632006436586,-5.001399517059326,89999,77.91874694824219,0.1186712235212326,0.00073
12187,7,-132.5436877,940,100.0,94000,0.002813585102558136,2.8168528079986572,90999,78.46092224121094,0.11555489897727966,0.00073
12321,7,-129.79125769,950,100.0,95000,0.0033853056374937296,-3.3960251808166504,91999,78.67340850830078,0.15534202754497528,0.00073
12456,7,-108.4011885,960,100.0,96000,0.006824413314461708,16.40074920654297,92999,69.00798034667969,0.3388861417770386,0.00073
12591,7,-90.83801100000001,970,100.0,97000,0.00980586651712656,0.9747945666313171,93999,49.741363525390625,0.9528639316558838,0.00073
12728,7,-80.29567819,980,100.0,98000,0.012714609503746033,8.951681137084961,94999,17.616016387939453,1.6179895401000977,0.00073
12865,7,-63.28635824999999,990,100.0,99000,0.014531352557241917,5.41054630279541,95999,-6.672311305999756,2.4422240257263184,0.00073
13004,7,-31.460036100000007,1000,100.0,100000,0.015192903578281403,3.5127086639404297,96999,-27.426362991333008,1.7456436157226562,0.00073
13139,7,10.889571419999996,1010,100.0,101000,0.017362799495458603,7.440761089324951,97999,-40.00511932373047,1.6666357517242432,0.00073
13273,7,28.119643599999996,1020,100.0,102000,0.01936301402747631,-0.15555262565612793,98999,-58.739803314208984,2.3050007820129395,0.00073
13409,7,55.45776241000001,1030,100.0,103000,0.01777222380042076,-8.074292182922363,99999,-67.8154296875,2.5602848529815674,0.00073
13544,7,90.04246592000001,1040,100.0,104000,0.017096295952796936,-9.804953575134277,100999,-66.51499938964844,2.8952412605285645,0.00073
13680,7,129.51438457999998,1050,100.0,105000,0.017683228477835655,-1.2161306142807007,101999,-72.64925384521484,2.5433197021484375,0.00073
13817,7,151.30403977,1060,100.0,106000,0.016685305163264275,-3.785210609436035,102999,-70.47193908691406,1.7309297323226929,0.00073
13953,7,175.13114743999998,1070,100.0,107000,0.01727694272994995,4.040254592895508,103999,-71.3386001586914,2.307201862335205,0.00073
14089,7,204.95712918000004,1080,100.0,108000,0.017994172871112823,6.076163291931152,104999,-76.01815032958984,2.1108784675598145,0.00073
14225,7,230.66778773,1090,100.0,109000,0.01756591722369194,-2.7866435050964355,105999,-77.67172241210938,2.1062533855438232,0.00073
14363,7,241.55437418999998,1100,100.0,110000,0.01720993034541607,4.41014289855957,106999,-81.53275299072266,2.218724250793457,0.00073
14499,7,241.86068612,1110,100.0,111000,0.016629425808787346,-2.5180063247680664,107999,-77.820556640625,1.7803106307983398,0.00073
14636,7,252.85903118,1120,100.0,112000,0.015910496935248375,-8.136022567749023,108999,-73.5133056640625,1.9607118368148804,0.00073
14773,7,268.13673167,1130,100.0,113000,0.015799377113580704,5.971075534820557,109999,-71.51470184326172,2.062685251235962,0.00073
14910,7,275.1538916,1140,100.0,114000,0.015982499346137047,3.5233869552612305,110999,-64.9027328491211,1.5347864627838135,0.00073
15047,7,276.24361044,1150,100.0,115000,0.015994658693671227,4.963696002960205,111999,-72.06244659423828,1.8546710014343262,0.00073
15184,7,276.36711581000003,1160,100.0,116000,0.015830107033252716,-1.2920818328857422,112999,-74.74761199951172,1.7208991050720215,0.00073
15319,7,277.64840497999995,1170,100.0,117000,0.01558622345328331,-2.9201643466949463,113999,-76.97692108154297,1.2801506519317627,0.00073
15458,7,280.16350028,1180,100.0,118000,0.016433032229542732,-10.315810203552246,114999,-74.29911804199219,1.4556844234466553,0.00073
15594,7,278.11191649,1190,100.0,119000,0.016621055081486702,0.48659640550613403,115999,-74.812255859375,1.339097261428833,0.00073
15731,7,276.42852033,1200,100.0,120000,0.016241472214460373,1.0354981422424316,116999,-73.82613372802734,1.4642144441604614,0.00073
15867,7,277.01746232,1210,100.0,121000,0.016704624518752098,4.908639907836914,117999,-78.97920989990234,1.5658230781555176,0.00073
16004,7,291.74653303,1220,100.0,122000,0.01698789931833744,10.596094131469727,118999,-76.57170867919922,1.1533839702606201,0.00073
16141,7,292.11324511,1230,100.0,123000,0.016902823001146317,-3.7352213859558105,119999,-85.98438262939453,1.2784850597381592,0.00073
16278,7,292.10034847,1240,100.0,124000,0.017663205042481422,1.6384674310684204,120999,-85.27362060546875,1.1687979698181152,0.00073
16415,7,292.46052951,1250,100.0,125000,0.018299926072359085,1.5436662435531616,121999,-86.76557922363281,1.3487591743469238,0.00073
16549,7,271.6117686,1260,100.0,126000,0.016939058899879456,-9.916277885437012,122999,-85.72856140136719,1.1711512804031372,0.00073
16685,7,271.41852025000003,1270,100.0,127000,0.014724132604897022,-0.02039426565170288,123999,-81.91748046875,0.9530971050262451,0.00073
16820,7,271.23662119999995,1280,100.0,128000,0.015753278508782387,-6.777803421020508,124999,-77.34375,1.0618864297866821,0.00073
16955,7,273.28172132,1290,100.0,129000,0.016047930344939232,-3.3076412677764893,125999,-79.98988342285156,1.2671133279800415,0.00073
