rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss
-260.49588827,51.57,2159,8,500,18594,0.00073,65.82566833496094,15593,7.338779449462891,0.025621863082051277,7.840298175811768
-268.98262936,54.85,2244,8,510,19212,0.00073,55.88664245605469,16211,6.27638053894043,0.026999497786164284,2.7783122062683105
-267.2603902,59.0,2341,8,520,19927,0.00073,57.3031005859375,16926,7.095909118652344,0.02644355408847332,-3.8679919242858887
-260.68711285000006,60.18,2431,8,530,20598,0.00073,54.26279067993164,17597,7.585535049438477,0.027750404551625252,7.926334381103516
-257.53734472,60.58,2518,8,540,21245,0.00073,55.193233489990234,18244,6.482306480407715,0.02624436281621456,-0.7050243020057678
-241.00243765,61.26,2608,8,550,21911,0.00073,51.31985092163086,18910,6.5705790519714355,0.026823386549949646,-8.181328773498535
-234.69845822000002,60.69,2660,8,560,22293,0.00073,50.11354446411133,19292,6.661567687988281,0.02744939737021923,3.192979097366333
-232.80858016,60.13,2721,8,570,22750,0.00073,46.12395477294922,19749,8.333860397338867,0.02812172845005989,4.195381164550781
-227.6399123,61.29,2822,8,580,23500,0.00073,45.34935760498047,20499,8.043689727783203,0.028688859194517136,-0.737138032913208
-214.06577303999998,63.42,2917,8,590,24204,0.00073,44.439998626708984,21203,7.458250045776367,0.02888048253953457,3.9930262565612793
-214.29197720999997,59.66,2965,8,600,24560,0.00073,40.68674850463867,21559,6.858893394470215,0.028945839032530785,-0.3927915096282959
-205.25025086999997,59.48,3046,8,610,25160,0.00073,46.512107849121094,22159,8.291388511657715,0.028328608721494675,2.735490083694458
-197.15479907999995,59.59,3143,8,620,25886,0.00073,43.96620178222656,22885,8.872554779052734,0.030762813985347748,-4.970721244812012
-196.03108197999998,60.27,3243,8,630,26625,0.00073,41.70911407470703,23624,7.84538459777832,0.03218942880630493,4.479250907897949
-173.71587746,61.3,3343,8,640,27375,0.00073,31.647974014282227,24374,8.026276588439941,0.03279651328921318,2.1195292472839355
-171.60505450999997,61.91,3441,8,650,28102,0.00073,30.938133239746094,25101,7.691215515136719,0.033562071621418,-2.950371026992798
-174.63330443000004,61.68,3492,8,660,28461,0.00073,20.53668975830078,25460,14.289461135864258,0.032652728259563446,11.19122314453125
-172.56703349,62.42,3567,8,670,28992,0.00073,25.42447853088379,25991,11.656768798828125,0.032069575041532516,8.514350891113281
-171.42679139,62.32,3667,8,680,29732,0.00073,22.61888313293457,26731,10.120526313781738,0.033385731279850006,-4.396214485168457
-166.43769831,62.65,3767,8,690,30469,0.00073,18.4578857421875,27468,7.774238586425781,0.03416479006409645,-2.307743787765503
-157.17471378000002,66.59,3869,8,700,31219,0.00073,9.655022621154785,28218,9.773788452148438,0.034997403621673584,-4.46406888961792
-147.28077758999999,67.66,3965,8,710,31926,0.00073,4.057641983032227,28925,6.776833534240723,0.036031246185302734,-6.896172046661377
-152.97016236,65.03,4028,8,720,32389,0.00073,8.616414070129395,29388,10.336999893188477,0.0347420796751976,-1.6408486366271973
-145.42124692,63.16,4102,8,730,32941,0.00073,11.387950897216797,29940,9.157258987426758,0.032396137714385986,-2.985889434814453
-154.59920368999997,62.98,4202,8,740,33673,0.00073,5.986371994018555,30672,9.251205444335938,0.033674269914627075,-3.2674238681793213
-146.18755656000002,63.21,4308,7,750,34423,0.00073,6.393748760223389,31422,10.894606590270996,0.03472500294446945,6.497133731842041
-126.86096741,67.12,4411,7,760,35173,0.00073,3.7129886150360107,32172,7.570030212402344,0.03601581230759621,4.493577003479004
-113.40166928999999,68.81,4505,7,770,35873,0.00073,0.37370026111602783,32872,7.888654708862305,0.0346459299325943,-2.321348190307617
