time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/critic_loss
20601,7,761.80931874,100.0,147000,1470,-393.03314208984375,0.00073,143999,-2.1286277770996094,0.0018470744835212827,0.11059799790382385
20755,7,761.7655907599999,100.0,148000,1480,-393.20477294921875,0.00073,144999,3.525723934173584,0.001614320557564497,0.14459514617919922
20909,7,762.63561069,100.0,149000,1490,-393.4680480957031,0.00073,145999,-2.5782151222229004,0.0017125129234045744,0.13648846745491028
21063,7,763.31938981,100.0,150000,1500,-393.0184326171875,0.00073,146999,4.204623222351074,0.0018902374431490898,0.08601273596286774
21215,7,762.66240715,100.0,151000,1510,-393.3685607910156,0.00073,147999,2.6221764087677,0.0017729977844282985,0.0479622557759285
21365,7,762.8756259400001,100.0,152000,1520,-393.5350646972656,0.00073,148999,-3.639266014099121,0.0018475158140063286,0.10288186371326447
21516,7,763.1883831299998,100.0,153000,1530,-393.0263366699219,0.00073,149999,0.032843708992004395,0.0016140688676387072,0.19156676530838013
21667,7,764.18978532,100.0,154000,1540,-393.51727294921875,0.00073,150999,-1.1007553339004517,0.0019452739506959915,0.1033121794462204
21818,7,764.2460597400002,100.0,155000,1550,-393.0492248535156,0.00073,151999,-3.2228240966796875,0.0018071378581225872,0.03960304707288742
21965,7,765.23578918,100.0,156000,1560,-393.8230895996094,0.00073,152999,0.015422224998474121,0.0018485670443624258,0.045103371143341064
22114,7,765.9574241000003,100.0,157000,1570,-394.3586120605469,0.00073,153999,-4.146178245544434,0.0018002428114414215,0.054228026419878006
22261,7,765.58092504,100.0,158000,1580,-394.1015319824219,0.00073,154999,-2.7006330490112305,0.0016049359692260623,0.07011771202087402
22409,7,765.28280652,100.0,159000,1590,-393.8473815917969,0.00073,155999,-0.5541366338729858,0.0018440779531374574,0.09763313829898834
22557,7,763.77449964,100.0,160000,1600,-393.8685302734375,0.00073,156999,-2.586108684539795,0.001844033133238554,0.09354297816753387
22703,7,765.19067463,100.0,161000,1610,-394.1912841796875,0.00073,157999,-1.6624473333358765,0.0016936538740992546,0.07526646554470062
