rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
25.11,7,42003,-12.53553804,1710,5360,0.20807981491088867,1.6678414344787598,0.00073,39002,4.892899513244629,0.004396203905344009
27.03,7,42405,-13.47706403,1720,5414,0.21587815880775452,2.4531664848327637,0.00073,39404,-23.000350952148438,0.003952821251004934
27.07,7,42690,-13.392806739999996,1730,5453,0.2010040581226349,2.404188871383667,0.00073,39689,6.835287570953369,0.003862024052068591
26.57,7,42926,-13.355954359999998,1740,5485,0.2223130762577057,2.4885711669921875,0.00073,39925,1.7930655479431152,0.0037389385979622602
26.78,7,43188,-13.499099800000002,1750,5521,0.20012027025222778,2.2675039768218994,0.00073,40187,-3.8088245391845703,0.0036780626978725195
27.41,7,43479,-13.786203469999998,1760,5560,0.17266789078712463,2.791022300720215,0.00073,40478,-14.289872169494629,0.0035386024974286556
27.18,7,43745,-13.605343389999998,1770,5596,0.24395087361335754,2.8522186279296875,0.00073,40744,-13.805944442749023,0.003441485343500972
26.66,7,43981,-13.354165550000003,1780,5628,0.21265101432800293,3.0718696117401123,0.00073,40980,7.167927265167236,0.0033768704161047935
27.99,7,44352,-13.91063901,1790,5679,0.1812053769826889,3.123964309692383,0.00073,41351,24.81667137145996,0.0032899805810302496
28.58,7,44663,-14.170969559999998,1800,5722,0.15458756685256958,2.9426584243774414,0.00073,41662,7.889172554016113,0.0032421324867755175
29.21,7,44924,-14.011962200000003,1810,5758,0.17589542269706726,3.4299020767211914,0.00073,41923,5.182794570922852,0.002980430144816637
27.12,7,45117,-12.759521979999999,1820,5784,0.16541741788387299,3.237577438354492,0.00073,42116,1.3789522647857666,0.0030335860792547464
26.8,7,45370,-12.524119800000001,1830,5818,0.13174733519554138,3.5088047981262207,0.00073,42369,-5.405322074890137,0.002779389964416623
26.59,7,45585,-12.273852,1840,5847,0.14037427306175232,3.508432388305664,0.00073,42584,-11.424936294555664,0.0027443370781838894
25.99,7,45787,-12.010398149999999,1850,5875,0.12607041001319885,3.354048013687134,0.00073,42786,4.510154724121094,0.002641010796651244
25.35,7,46014,-11.578824130000001,1860,5906,0.12705275416374207,3.606011390686035,0.00073,43013,0.5318431854248047,0.002643994754180312
24.62,7,46207,-11.307938380000001,1870,5932,0.1397497057914734,3.6027286052703857,0.00073,43206,13.077400207519531,0.002624519867822528
24.97,7,46478,-11.44693746,1880,5969,0.1281607747077942,3.713228702545166,0.00073,43477,-0.8415812253952026,0.0025054512079805136
24.51,7,46803,-11.26566266,1890,6013,0.122081458568573,3.962416887283325,0.00073,43802,-1.4073596000671387,0.002464217832311988
23.98,7,47061,-10.85722692,1900,6049,0.15483416616916656,3.579420328140259,0.00073,44060,-8.883182525634766,0.0023155268281698227
23.47,7,47271,-10.751802409999998,1910,6078,0.10835899412631989,4.03253173828125,0.00073,44270,-7.927444934844971,0.002293280092999339
23.5,7,47467,-10.921814589999999,1920,6104,0.11626911163330078,4.0455451011657715,0.00073,44466,4.404013156890869,0.002152377041056752
22.83,7,47653,-10.89494305,1930,6129,0.10914155840873718,4.17086935043335,0.00073,44652,4.300312042236328,0.00213875574991107
22.81,7,47866,-10.830192550000001,1940,6157,0.1085713803768158,3.9839000701904297,0.00073,44865,-3.0724024772644043,0.0021343484986573458
23.53,7,48140,-10.646552340000001,1950,6195,0.09815867245197296,4.128654956817627,0.00073,45139,-10.300731658935547,0.002100123558193445
25.44,7,48558,-11.203957479999996,1960,6249,0.1009838730096817,4.368974685668945,0.00073,45557,-3.9079132080078125,0.002023369772359729
26.47,7,48854,-11.314332530000001,1970,6288,0.09270733594894409,4.297209739685059,0.00073,45853,-7.892112731933594,0.001996990293264389
26.27,7,49105,-11.028017730000004,1980,6322,0.11242270469665527,4.286151885986328,0.00073,46104,-2.128739356994629,0.0018834724323824048
26.08,7,49411,-10.68680748,1990,6363,0.08969513326883316,4.528179168701172,0.00073,46410,-2.103433847427368,0.0018190306145697832
26.1,7,49671,-10.428143730000002,2000,6398,0.08019022643566132,4.4480180740356445,0.00073,46670,-1.4376535415649414,0.0017889232840389013
26.53,7,49924,-10.46507983,2010,6432,0.07367672026157379,4.42644739151001,0.00073,46923,-10.090795516967773,0.0017695003189146519
27.14,7,50181,-10.57536216,2020,6467,0.08267783373594284,4.337473392486572,0.00073,47180,3.16904354095459,0.0017729791579768062
28.07,7,50460,-10.7621577,2030,6505,0.11291536688804626,4.501940727233887,0.00073,47459,-7.640270233154297,0.0017271471442654729
28.77,7,50743,-10.935730390000002,2040,6543,0.08808719366788864,4.574587345123291,0.00073,47742,-10.69970417022705,0.001713083009235561
28.42,7,50982,-10.904206520000002,2050,6576,0.074912428855896,4.525627613067627,0.00073,47981,13.776641845703125,0.0016546586994081736
26.2,7,51178,-10.082902840000001,2060,6603,0.07087890058755875,4.4324750900268555,0.00073,48177,-1.851503610610962,0.0017768300604075193
24.98,7,51352,-10.0623729,2070,6626,0.09047580510377884,4.594788551330566,0.00073,48351,3.1887919902801514,0.0017396105686202645
