rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
46.2,8497,1570,7,65486,-243.85865722,0.00073,0.013202989473938942,2.9839420318603516,3.716704845428467,110.72540283203125,62485
46.03,8558,1580,7,65933,-238.62527436000005,0.00073,0.013253172859549522,4.968340873718262,5.0091872215271,110.39539337158203,62932
45.73,8617,1590,7,66383,-240.72119244,0.00073,0.013020380400121212,5.204298973083496,3.9986658096313477,109.3836898803711,63382
45.76,8680,1600,7,66839,-244.9660564,0.00073,0.013120872899889946,1.5067684650421143,4.865391731262207,115.21483612060547,63838
46.22,8745,1610,7,67312,-240.33127237999997,0.00073,0.013320839032530785,-7.8780317306518555,4.235265254974365,109.30198669433594,64311
46.36,8810,1620,7,67792,-228.50437978000002,0.00073,0.013590287417173386,-7.885184288024902,3.6151297092437744,106.69953155517578,64791
46.45,8873,1630,7,68252,-236.54231958999998,0.00073,0.013216695748269558,3.1736068725585938,5.248970031738281,111.37197875976562,65251
46.08,8935,1640,7,68705,-238.32501264,0.00073,0.013416176661849022,4.628158092498779,4.975551605224609,111.48210144042969,65704
45.95,9000,1650,7,69180,-244.84898761,0.00073,0.013670620508491993,-8.438139915466309,4.173650741577148,110.93116760253906,66179
45.94,9063,1660,7,69648,-244.06655512,0.00073,0.013720815069973469,-2.2203145027160645,3.8655543327331543,111.1758804321289,66647
46.35,9129,1670,7,70121,-240.42512326999997,0.00073,0.013305393047630787,1.2949509620666504,4.150798320770264,111.74803161621094,67120
46.51,9192,1680,7,70584,-241.88146584000003,0.00073,0.013462566770613194,-9.274381637573242,3.825453281402588,114.15982055664062,67583
46.26,9250,1690,7,71009,-245.66740343,0.00073,0.013522949069738388,-14.140353202819824,4.289237976074219,107.61801147460938,68008
46.5,9317,1700,7,71489,-240.12809326,0.00073,0.01404900848865509,4.702291011810303,3.8913636207580566,114.78562927246094,68488
46.09,9376,1710,7,71921,-244.71891293999997,0.00073,0.01350383646786213,-3.2248823642730713,4.543950080871582,112.87236022949219,68920
46.06,9442,1720,7,72398,-252.07543975000002,0.00073,0.0135604003444314,-6.164996147155762,3.9901089668273926,106.74403381347656,69397
46.32,9509,1730,7,72884,-240.57208041,0.00073,0.014054971747100353,5.8719682693481445,4.151617527008057,113.39112854003906,69883
46.69,9575,1740,7,73374,-237.44492055999996,0.00073,0.013717158697545528,-2.8055367469787598,4.227016925811768,108.75850677490234,70373
46.67,9640,1750,7,73847,-236.32949313,0.00073,0.01359544601291418,6.088701248168945,4.26881217956543,107.55758666992188,70846
46.85,9706,1760,7,74333,-234.42495766999997,0.00073,0.013834193348884583,-4.307123184204102,4.212130546569824,107.5628433227539,71332
46.77,9769,1770,7,74798,-237.51165002000002,0.00073,0.013830011710524559,2.065789222717285,4.500362396240234,109.1428451538086,71797
46.97,9836,1780,7,75281,-236.68476411999995,0.00073,0.014373045414686203,-0.8499878644943237,3.9232239723205566,109.37165069580078,72280
47.57,9903,1790,7,75766,-230.34861426,0.00073,0.014825420454144478,2.5204458236694336,4.159024715423584,112.80453491210938,72765
47.59,9968,1800,7,76248,-227.56483555000003,0.00073,0.014378317631781101,13.112825393676758,4.466878890991211,110.9376220703125,73247
47.77,10030,1810,7,76698,-227.56711703000005,0.00073,0.014480816200375557,7.843099594116211,3.6464924812316895,113.71900939941406,73697
47.66,10093,1820,7,77164,-225.42708533000004,0.00073,0.014237535186111927,-2.312342882156372,4.102901458740234,106.58114624023438,74163
47.44,10157,1830,7,77628,-224.69638639000001,0.00073,0.01457664929330349,7.781275749206543,4.471401214599609,110.70610046386719,74627
47.01,10219,1840,7,78075,-225.11897483999996,0.00073,0.01444923970848322,-2.7133336067199707,3.7980141639709473,108.53152465820312,75074
47.24,10287,1850,7,78571,-219.35129466,0.00073,0.014926907606422901,6.981707572937012,4.562997341156006,111.27951049804688,75570
47.05,10352,1860,7,79038,-216.3908547,0.00073,0.014086754992604256,-3.012524127960205,3.912374496459961,114.57617950439453,76037
47.06,10416,1870,7,79504,-212.33834743999995,0.00073,0.01405350398272276,1.7069686651229858,4.120114326477051,107.1538314819336,76503
47.12,10483,1880,7,79993,-212.42439470999997,0.00073,0.01366448774933815,6.832895278930664,4.502143859863281,111.74618530273438,76992
47.16,10550,1890,7,80482,-211.50439159,0.00073,0.013876013457775116,0.2635449469089508,4.13133430480957,109.225830078125,77481
47.22,10617,1900,7,80970,-213.00486231000002,0.00073,0.013715365901589394,-0.31334376335144043,4.121093273162842,114.4007797241211,77969
47.56,10683,1910,7,81454,-204.94016734000002,0.00073,0.013928149826824665,0.04901123046875,5.33582067489624,110.25210571289062,78453
47.53,10747,1920,7,81917,-201.69451109999997,0.00073,0.013637572526931763,5.044496059417725,4.453753471374512,111.87081146240234,78916
47.7,10813,1930,7,82398,-202.35800625999997,0.00073,0.013885822147130966,5.438960075378418,3.7702527046203613,110.19967651367188,79397
47.86,10877,1940,7,82861,-201.96792117,0.00073,0.013856567442417145,3.4066572189331055,3.867067575454712,109.76165771484375,79860
47.76,10946,1950,7,83347,-198.13584443,0.00073,0.014148883521556854,-6.745640754699707,3.053433895111084,110.3805160522461,80346
47.6,11010,1960,7,83798,-199.40328092000004,0.00073,0.014078306965529919,-1.965914249420166,4.369805812835693,110.81918334960938,80797
47.85,11078,1970,7,84289,-198.29304244,0.00073,0.014386423863470554,-3.9695823192596436,3.98850154876709,109.40248107910156,81288
47.08,11135,1980,7,84701,-199.17777039,0.00073,0.014007494784891605,4.369410991668701,4.70644474029541,109.5266342163086,81700
47.0,11203,1990,7,85182,-196.87307866,0.00073,0.013956032693386078,-6.1647725105285645,3.5743918418884277,107.75821685791016,82181
46.86,11272,2000,7,85656,-194.17555800999995,0.00073,0.01362582016736269,-0.5401607751846313,4.49932861328125,114.27122497558594,82655
46.85,11340,2010,7,86139,-194.17347558,0.00073,0.013858542777597904,-8.05167007446289,3.480835437774658,113.00806427001953,83138
46.88,11404,2020,7,86605,-197.76496877999995,0.00073,0.01393288653343916,-4.667340278625488,3.8317770957946777,111.4416732788086,83604
46.97,11478,2030,7,87095,-193.78258112999995,0.00073,0.013939213007688522,8.094523429870605,4.135363578796387,111.21722412109375,84094
47.29,11546,2040,7,87590,-193.83709681,0.00073,0.014098702929913998,-8.145263671875,4.081996440887451,110.6977310180664,84589
