rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
-27.361817339999998,290,8133,742,10,33.1,0.06912577897310257,-25.469629287719727,12.621405601501465,-202.3175506591797,5132,0.00073
-27.030395409999997,300,8428,781,10,32.74,0.06315604597330093,-14.445356369018555,11.604015350341797,-193.48910522460938,5427,0.00073
-27.173258840000003,310,8803,831,10,33.3,0.05789877101778984,-13.256978988647461,7.240658760070801,-183.30191040039062,5802,0.00073
-29.209808989999996,320,9244,888,10,35.56,0.05295073240995407,-16.182207107543945,7.113976955413818,-171.58950805664062,6243,0.00073
-28.086438180000002,330,9711,949,10,35.48,0.05020458623766899,-5.89332914352417,5.209834098815918,-161.24288940429688,6710,0.00073
-27.381972450000006,340,10211,1014,10,35.75,0.04516855254769325,-21.769775390625,4.979137420654297,-151.61431884765625,7210,0.00073
-28.945643120000003,350,10510,1053,9,37.03,0.04076441749930382,-13.863700866699219,10.511086463928223,-144.489501953125,7509,0.00073
-29.977663590000002,360,10836,1096,9,38.12,0.03807418793439865,6.5894622802734375,4.677159309387207,-137.75250244140625,7835,0.00073
-29.003965329999996,370,11245,1151,9,37.21,0.03405733034014702,11.989297866821289,3.9254209995269775,-123.16859436035156,8244,0.00073
-28.985642010000003,380,11717,1213,9,37.87,0.031103434041142464,1.3349804878234863,2.172478199005127,-112.33308410644531,8716,0.00073
-30.403289009999998,390,12217,1281,9,40.84,0.03045833110809326,-5.873686790466309,3.249610424041748,-105.92791748046875,9216,0.00073
-30.354038530000008,400,12653,1339,9,42.25,0.026899339631199837,-6.076967716217041,2.1689603328704834,-99.39402770996094,9652,0.00073
-28.57286448,410,12815,1360,9,40.12,0.027294132858514786,-16.405553817749023,6.688628673553467,-97.82640075683594,9814,0.00073
-26.957395079999998,420,13090,1396,9,38.46,0.022263891994953156,-5.31887149810791,38.24395751953125,-91.6517562866211,10089,0.00073
-27.10353058,430,13467,1446,9,37.56,0.021655865013599396,-8.380745887756348,4.239177227020264,-82.32020568847656,10466,0.00073
-27.117089449999998,440,13967,1512,9,37.56,0.01859859935939312,-1.5426642894744873,1.1810129880905151,-73.47593688964844,10966,0.00073
-26.4760256,450,14467,1580,9,39.57,0.017092162743210793,-4.114039421081543,0.9691706895828247,-66.07817077636719,11466,0.00073
-26.03798455,460,14967,1646,9,41.31,0.014799859374761581,-2.738696575164795,1.1001932621002197,-57.76152038574219,11966,0.00073
-24.32419385,470,15402,1704,9,41.57,0.012826007790863514,-13.184130668640137,1.0144760608673096,-50.554847717285156,12401,0.00073
-23.35870658,480,15721,1746,9,40.04,0.011290880851447582,-26.567188262939453,0.5924454927444458,-45.28794479370117,12720,0.00073
-22.989336839999996,490,16221,1812,8,40.04,0.009927020408213139,3.602290630340576,0.4061582088470459,-36.60820770263672,13220,0.00073
-21.240354559999997,500,16689,1874,8,40.36,0.00804225541651249,0.6369110941886902,0.3628195524215698,-28.123380661010742,13688,0.00073
-20.915853130000002,510,17189,1940,8,43.74,0.006908773444592953,-10.280682563781738,0.22497770190238953,-20.3879451751709,14188,0.00073
-19.04358439,520,17689,2007,8,45.99,0.006249034311622381,-6.683709144592285,0.1398288756608963,-15.534170150756836,14688,0.00073
-15.57243159,530,18168,2070,8,47.01,0.0058462247252464294,-2.061469554901123,0.17103099822998047,-9.686323165893555,15167,0.00073
-12.80883945,540,18642,2132,8,46.75,0.005259181838482618,-2.0019748210906982,0.1641313135623932,-8.099800109863281,15641,0.00073
-11.06222818,550,18983,2177,8,45.16,0.004904876463115215,-14.157907485961914,1.5542411804199219,-6.333701133728027,15982,0.00073
