rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/actor_loss,train/n_updates
-11.093105020000007,14917,65.44,110926,7,1920,4.121114730834961,0.00073,0.0652756467461586,66.96814727783203,-133.129638671875,107925
-13.214897800000001,15006,65.17,111566,7,1930,-0.5392118692398071,0.00073,0.06447333842515945,56.10569763183594,-114.94981384277344,108565
-19.915564490000005,15097,64.12,112211,7,1940,-0.8534466028213501,0.00073,0.06429064273834229,58.53382873535156,-142.96688842773438,109210
-9.971965149999997,15183,65.14,112826,7,1950,-0.8309531211853027,0.00073,0.06583996117115021,81.52129364013672,-114.02931213378906,109825
-12.799567309999997,15265,64.3,113408,7,1960,-6.611396789550781,0.00073,0.06486471742391586,69.96604919433594,-120.1032943725586,110407
-14.637070040000001,15357,64.3,114074,7,1970,-5.740262031555176,0.00073,0.06486628204584122,58.32405090332031,-118.4913330078125,111073
-25.967611020000003,15444,63.94,114704,7,1980,3.2822017669677734,0.00073,0.06530807167291641,61.04663848876953,-133.1221160888672,111703
-24.358274700000003,15539,64.38,115384,7,1990,-3.1832921504974365,0.00073,0.0643223226070404,61.973392486572266,-127.19189453125,112383
-22.47268579,15619,63.5,115961,7,2000,5.332159042358398,0.00073,0.06397512555122375,77.92155456542969,-161.5384521484375,112960
-16.80335737,15714,64.02,116613,7,2010,1.6028311252593994,0.00073,0.06379768997430801,75.84870910644531,-124.8304443359375,113612
-11.56321132,15806,63.56,117282,7,2020,-4.254604816436768,0.00073,0.06448516249656677,68.62751007080078,-131.96957397460938,114281
-11.329292159999998,15900,63.91,117957,7,2030,-0.723325252532959,0.00073,0.06513739377260208,62.71446228027344,-114.19456481933594,114956
-27.06055246,15996,64.47,118658,7,2040,6.176796913146973,0.00073,0.06390442699193954,74.67549133300781,-144.8448486328125,115657
-26.81958142000001,16093,65.43,119369,7,2050,7.613397598266602,0.00073,0.06546121835708618,87.7572250366211,-157.5684814453125,116368
-27.026072009999996,16190,66.67,120075,7,2060,1.3827319145202637,0.00073,0.06504440307617188,69.88886260986328,-118.36280822753906,117074
